gross adj．总的，粗野的n．整个，全部
precognition n．预感,早知
astute adj.机敏的,精明的
flaccid adj．松驰的，软弱的
applicable adj．生效的，适合的，
genetics n．遗传学
resurgence n．复兴，再起
portable adj．轻便的,手提式的
revitalize v．使复活，使重新充满活力
exaggeration n.夸张
surreptitious adj．鬼鬼祟祟的，保密的
luxuriant adj．繁茂的，肥沃的
quarantine n．隔离检疫期，隔离
impregnable adj．攻不破的，征服不了的
shard n．（陶器等）碎片，破片
debauch v．使放荡，堕落
motivation n．动机，目的
omission n．遗漏，省略
iniquity n．邪恶，不公正
embryo n．胚胎
substratum n．基础，根据
oblation n．宗教的供品，祭品
eloquent adj.雄辩的,演说动人的
rack v.折磨，使痛苦
discordant adj．不一致的，不调和的
furlough n．休假
transform v．将…变形，变化
rabid adj．患狂犬病的，疯的，失去理性的
compact adj.结实的，简洁的
dogmatic adj．教条的，教义的
loquacious adj．多嘴的，饶舌的
deficit n．不足，赤字
quantum n．定量
titillate v.使觉得痒，使……兴奋
subsidy n．补助金
subsidy n．补助金
coma n.昏迷状态
immense adj．极大的，无限的
hack n.雇佣文人
specious adj．似是而非的，华而不实的
traitor n．卖国贼，叛徒
inveigle v．诱骗，诱使
ballroom n.大午厅
trepidation n．恐惧，惶恐
petrifaction n．石化，目瞪口呆
lustre n．光亮，光泽
infallible adj．绝不会错的，绝对可靠的
sleight n．巧妙手法，巧计，灵巧（分割
schematic adj．扼要的，图解的
blunder v．犯大错n．愚蠢之举
insomnia n．失眠症
emit v．放射(光热,味等)
sever v．切断，脱离
integrated adj．整合的,完整的
crease n．折缝，皱痕
splinter n．尖片，裂片
indolent adj．懒惰的，懒洋洋的
gleeful adj．欢乐的，欣喜的
jargon n．行话
rookie n．新兵，新球员
piracy n.非法翻印，海盗行为
marginal adj．书页空白处的，不重要的
rendering n．演出，翻译
loathe v．赠恨，厌恶
allegiance n．忠诚，拥护
figment n．虚构的东西
anathema n（基督教的）咒诅
neolithic adj．新石器时代的
consummation n．达到极点，完成
sangfroid n．沉着，临危不惧
irritable adj．易怒的，易受刺激的
fracas n．喧嚷，吵闹
gobble v．贪婪地吃，吞没
tassel n．流苏，穗
rankle v．（怨恨，失望等）难以释怀
errant adj．错误的，脱离正途的
rip v．撕裂，撕破
onerous adj．繁重的、麻烦的
dissolute adj．放荡的，无节制的
equitation n．骑术
cacophony n．刺耳的声音
fussy adj．爱挑剔的
pendulum n．摆，钟摆．
retarded adj．智力迟钝的
abscond 潜逃，逃亡
presumption n．假定,冒昧
dynamo n．发电机
landlocked adj．被陆地包围的
festal adj．节日的，欢乐的
parenthesis n．插入语，括弧
intemperate adj．无节制的,放纵的
voluminous adj．长篇的，多产的，庞大的
lenient adj．宽大的，仁慈的
antic adj　古怪的，笨拙的
detest v．深恶，憎恶
beleaguer v．围攻
mistimed adj．不合时机的
undermine v．破坏，损坏
assertive adj．言语果断的，断言的
solicitation n．恳求，教唆
dissenter n．持异义者
flange n．（火车车轮的）凸缘，轮缘
pilgrim n．朝圣客，香客
solvency n．溶解力，还债能力
scorpion n．蝎子
fiendish adj．极凶恶的
hedonism n．享乐主义，享乐
bankrupt adj.破产的
twinge n．（生理，心理上的）剧痛，刺痛
sustained adj．持久的，经久不衰的
unseemly adj．不适当，不宜
fantastic adj．怪诞的,不实际的
hymn n．赞美诗
levy v．n．征税、征兵
progeny n．后代,子女
votary n．崇拜者，热心支持者
forfeiture n．（名誉等）丧失
engulf v．吞噬
respecter n．趋炎附势者，尊敬者
ballerina n.芭蕾舞女演员
tussle n．v．扭打，搏斗，争辩
suffocate v．（使）窒息而死
villein n.农奴
retinue n．侍从，随员
reprieve n．v．缓刑，暂时解救
hound n．猎狗。v．不断骚扰
satanic adj．穷凶极恶的
lusty adj．精力充沛的
dolt n．笨蛋，傻瓜
clammy adj.冷湿的，冷粘的
pastry n．糕点，点心
mingy adj.吝啬的，小气的
nautical adj．船员的，航海的
wrangle v．争论，激辩，吵架
senescent adj．衰老的、老化的
tub n．桶，浴盆
solicitation n．恳求，教唆
lucubrate v．刻苦攻读，埋头苦干
rhapsodize v．过份赞美
discordant adj．不一致的，不调和的
scythe n．大镰刀
adversary n对手，敌手
imbecility n．低能，愚蠢
fatuous adj．愚味而不自知的
tanner n．制革工人
frisk n．v．蹦跳，娱乐
onus n．义务，责任
nausea n．作呕，恶心
glamorous adj．迷人的，富有魅力的
agitation n．鼓动，焦虑
tined adj．尖端的
discernment n．眼光、洞察力
demean v．贬抑，降低
fascinate v．迷惑,迷住
cavil v．挑毛病，吹毛求疵
exhale v.呼出(气)
spinster n．未婚女人，老处女
envisage v．正视,想象
lure n．诱惑力，引诱
retribution n．报应，罚
gastric adj．胃的，胃部的
locust n．蝗虫，贪吃的人
integument n．（水果等)外壳,包在外面的皮．
indignation n．愤慨
stamina n．体力，耐力
bumble v．说话含糊
placid adj．安静的,平和的
immolate v．牺牲，焚祭
blare v．高声鸣叫
slapdash adj．草率的、马虎的
dissonant adj．不和谐的，不协调的
molest v．骚扰，干扰
totem n．图腾，崇拜物
invidious adj．惹人反感的，招人嫉妒的
sinewy adj．多腱的，强壮有力的
infamous adj．恶名昭彰的，邪恶的
pollen n．花粉
stipple 　v．点画，点描．
aver v.极力声明,断言
tiddler n.很小的鱼，小孩
truce n．停战，休战（协定）
warmonger n．好战者，战争贩子
conspicuous adj．显著的，显而易见的
abortive adj．无结果的，失败的
castigate v．惩治，严责
unwitting adj．无心的，不经意的
labyrinth n．迷宫
hideous adj．讨厌的，丑恶的
gale n．狂风，一阵（笑声）
falcon n．猎鹰
crooked adj．弯曲的，扭曲的
pediatrics n．小儿科
portent n．凶兆,异兆
veer v．转向，改变（话题等）
agnostic adj．不可知论的
meddlesome adj．爱管闲事的
iodine n．碘，碘酒
remainder n．剩余物
curmudgeon n．脾气暴躁之人
eminence n．卓越、杰出
ignorance n．无知
galactic adj．星系的，银河系的
slag n．炉渣，矿渣
rebuff v．断然拒绝
stupor n．昏迷，不醒人事
maneuver v．n．（军队）调遣，策略，操纵
compensate v.补偿，赔偿
inculcate v．灌输，谆谆教诲
gulch n．深谷，峡谷
moralist n．道德学家，卫道士
requite v．报答，报复
sibilant adj.发咝咝声的(
hexagon n．六角形，六边形
souse v．浸在水中，使湿透
ursine adj．熊的，像熊的
eulogy n.颂词，颂文
pedigree n.家谱，纯种系谱
caterpillar n．毛虫，蝴蝶的幼虫
incongruity n．不一致
mallet n．木槌，大头锤
humane adj．人道的，慈悲的
torpid adj．懒散的，死气沉沉的
doddle n.轻而易举之事
