indispensable adj．不可缺乏的
posit v．假定,认为
untoward adj．不幸的，（坏事）没料到的
syringe n．注射器
fractional adj．微小的，极小的
bale n.大包裹,灾祸,不幸
abracadabra n.咒语，胡言乱语
nonesuch n．无匹敌的人，无双的人
proselytize v．使……皈依
asseverate v.郑重声明，断言
solecism n．文法错误，举止失礼
pedant n．迂腐之人，书呆子
epitaph n．墓志铭
tempo n．（动作、生活的）步调，速度
adept adj．老练的，精通的
maze n．迷宫
congregate v．聚集，集合
resentment n．憎恨
exculpate v.开脱，申明无罪
pinion v.绑住，束缚
even adj.平坦的v.使平,使相等
empiricism n．经验主义
indignant adj．愤慨的，愤愤不平的
parquet n．镶木地板．
prototype n．原型,典型
liability n．倾向，债务
arbitrate v．仲裁，公断
integrate v．使成整体
raucous adj．（声音）沙哑的，粗糙的
riotous adj．暴乱的，蛮横的
expunge v．删除
buggy n．轻型马车，婴儿车
devour v．吞食，（一口气）读完
gadget n．小工具，小机械
minnow n．鲦鱼，小淡水鱼
proctor n．代理人,学监
suspense n．悬念，悬疑，挂念
malfunction n．故障，障碍
adopt v．收养，采纳
onerous adj．繁重的、麻烦的
imbecility n．低能，愚蠢
intrinsic adj．固有的，内在的
crafty adj．狡诈的
tycoon n．有钱有势的企业家，大亨
ulcerate v．溃烂，生恶疮
oration n．正式演说，演讲
beefy adj.强壮的，结实的
fawning adj．奉承的
fleeting adj．短暂的，飞逝的
requiem n．安魂弥撒
adorable adj．迷人的，可爱的
aggressive adj．好斗的，进取的
jeopardize v．危及，危害
tirade n．长篇的攻击性演说
gabble v．急促而不清楚地说
rummage n．翻寻
perverse adj．刚愎自用的，故意作对的
rudimentary adj．初步的，未充分发展的
insurgent adj．叛乱的,起事的n叛乱分子
elocution n.演说术
sunder v．分裂，分离
sheaf n．一捆、一束
expiration n.期满,终止
deign v．屈尊，惠允（做某事）
resort tov．求助于
requisite nadj．必需物，必要的
timorous adj．胆小的，胆怯的
scion n．嫩芽，子孙
biosphere n．生命层，生物圈
simultaneous adj．同时发生的
portable adj．轻便的,手提式的
analgesic n．镇痛剂，adj．止痛的
treason n．叛国罪
contraction n．收缩
extirpate 消灭,根除
bleachers n．（球场的）露天座位
lachrymose adj．好流泪的，引人落泪的
cynosure n．注意的焦点
groveler n．乞怜者．
dirge n．哀歌、凄凉之曲调
herbivorous adj．食草的
snappish adj．脾气暴燥的
disembodied adj．无实体的、空洞的
dyslexia n．阅读
noxious adj．有害的，有毒的
cinder n.余烬，矿渣
awl n.[钻皮革的]尖钻
aggregate v．集合，合计
imminent adj．即将发生的，逼近的
incongruity n．不一致
vivacious adj．活泼的，快活的
egress n.出去，出口
betray v．背叛，暴露
sunder v．分裂，分离
mote n．微粒，微尘
override v．不理会，推翻
hors d’oeuvren．（法）正菜前的开胃小菜
congestion n．充血，拥挤
lamentable adj．令人惋惜的，悔恨的
testify v．见证，证实
inimitable adj．无法仿效的，不可比拟的
gallop n．v．（马）飞奔，疾驰
panacea n．万灵药
logistics n．后勤学
pedestrian adj．徒步的，缺乏想像的n．行人
prolong v．延长，拉长
campanology n.钟学(研究铸钟及鸣钟术)
requisition n．要求，请求
repository n．贮藏室，仓库
embed v.牢牢插于,嵌于
primate n．灵长类(动物)
baffling adj.令人困惑的
austere adj.朴素的,(人)正经的
conflagration n．建筑物或森林大火
pistol n．手枪
blatant adj．喧哗的，无耻的
smattering n．略知，少数
splenetic adj．脾气暴的，易怒的
caricature n．讽刺画，滑稽模仿
uptight adj．焦虑不安的，紧张的
ineffaceable adj．抹不掉的，不能消除的
prudish adj．过分守礼的，假道学的
recriminate v．反责，反控
negotiable adj．可商量的，（支票）可兑现的
categorical adj．无条件的，绝对的
discursive adj．散漫的，无层次的
sinew n．腱，力量，精力
nippy adj.辛辣的，寒冷的
sequential adj．连续的，一连串的
wanton adj．顽皮的，放纵的
nebula n．星云，喷雾剂
dredge v．用挖泥机疏浚，疏通
equivalence n．相等，等值
internment n．拘禁
authentic adj.真正的,原作的
prone adj．俯卧的,易于…的
inculcate v．灌输，谆谆教诲
eerie adj.胆怯的，引起恐惧的
quisling n．卖国贼，内奸
tendentious adj．有偏见的，有倾向的
lounger n．游手好闲之人
wan adj．虚弱的，病态的
besiege v．围攻，困扰
deputy n．代理人，代表，副警长
repulsive adj．令人厌恶的，驱逐的
dilatory adj．慢吞吞的，磨蹭的
bless v．祝福，颂扬
sage adj．智慧的n．智者
somnolent adj．思睡的，催眠的
hauteur n．傲慢
annul v．宣告无效，取消
spasm n．痉挛，抽筋
spite n．怨恨，恶意
vitriolic adj．刻薄的，强烈的
blinds n．百页窗
outfox v．以机智胜过
intimate adj．亲密的n．密友
collate v.对照，核对
cleft n.裂缝
adjure v．郑重敦促（恳请）
errant adj．错误的，脱离正途的
hatchet n．短柄小斧v．扼杀
locust n．蝗虫，贪吃的人
peripatetic adj．巡游的
intriguing adj．引起极大兴趣的
grill v．烤，烤问，n．烤架
sanitary adj．卫生的，清洁的
obsolete adj．废弃的，过时的
verbiage n．罗嗦，冗长
solicit v．恳求，乞求，教唆
flippancy n．无礼，言语尖刻
specter n．鬼魂，幽灵，恐惧
pejorative adj．带有轻蔑意义的，贬低的
petrifaction n．石化，目瞪口呆
hypochondriac n．忧郁症患者的
haggard adj．憔悴的，消瘦的
feasible adj．可行的，可能的
derelict adj．荒废的，被弃置的
commiserate v.同情，怜悯
prolonged adj．长时期的
axle n.轮轴(连接二个车轮的轴)
grimace v．做鬼脸，面部歪扭
maladroit n．笨拙的
callous adj．结硬块的，无情的
magenta n．adj．紫红色[福www哇FｖａL小cＮ说]（的染料）
sophisticated adj．老于世故的，（仪器）精密的
garment n．衣服
sarcasm n．讥讽，讽刺，嘲笑
sport v．炫耀，卖弄
haunt v．常到，（鬼魂）出没。（事情）萦绕心头n．常去的地方
senescent adj．衰老的、老化的
centrifugal adj．离心的
restraint n．克制
woozy adj.糊里糊涂的，头昏的
complaisant adj.顺从的，讨好的
floppy adj．松软的，衰弱的
interregnum n．无王时期,
enchantment n．着魔，喜悦
comely adj.动人的，美丽的
executor n.遗嘱执行人
orifice n．小开口，小孔
frowzy adj．不整洁的，污秽的
broach v．开瓶，提出（题目）
carapace n．（蟹或龟等的）甲壳
treatise n．论文
autism n.孤独症，自我中心主义
scintillate v．闪烁、（淡吐）流露机智
uphold v．维护，支持
tactful adj．圆滑的，机敏的
reserve n．谨慎，话语不多，储备．
robust adj．健壮的
cantata n．清唱剧
garland n（作为胜利标志的）花环，奖品
imperious adj．傲慢的，专横的
cursory adj．粗略的，草率的
chagrin n．v．失望，懊恼
superimpose v．加在上面，附加
infamy n．恶名昭彰
incessant adj．无间断的，连续的
exaction n.强求，勒索
rescript n．公告，法令，重抄
affinity n．密切关系，吸引力
grateful adj．感激的
delude v．欺骗，哄骗
blunder v．犯大错n．愚蠢之举
daub v．涂抹，乱画
refrain v．抑制，避免n．歌曲的反复句，叠句
faddish adj．流行一时的,时尚的
fluster v．使困惑，慌乱
puritanical adj．极端拘谨的
riveting adj．非常精彩的
regale v．款待，使…享受
piazza n．阳台，广场，市场
abdomen n．腹，下腹（胸部到腿部的部份）
partition n．瓜分，隔开
slither v．（蛇）滑动，扭动前进
heckler n．诘问别人之人
colt n.小雄驹
petrology n．岩石学
nick n．小伤口，刻痕
seclusive adj．好隐居的
omnivorous adj．杂食的，兴趣广泛的
disinclined adj．不愿的
rapt adj.专注的
crooked adj．弯曲的，扭曲的
lapidary n．宝石工，宝石专家
prorogue v．休会,延期
strait 　n．海峡，adj．狭窄的
vendor n．小贩
purebred adj．(动物)纯种的
abacus n．算盘
wreak v.泄愤，报仇
nuptials n．婚礼
footloose adj．自由自在的，无拘束的
dulcet adj．（声音）悦耳的，美妙的
recriminate v．反责，反控
halt v.暂停前进，停止
rhetoric n．修辞学，浮夸的言语
shoddy n．劣质的，冒充好货的
materialize v．赋予形体，实现
galactic adj．星系的，银河系的
domesticity n．（喜欢）家庭生活
debunk v．揭穿真相，暴露
superb adj．上乘的，出色的
mortuary n．停尸间，太平间
rigidity n．固执，坚定，僵化
texture n．质地，结构
poise v．使相等,使平衡n．泰然自若,信心
voracious adj．狼吞虎咽的，贪婪的
stigmatize v．污蔑，玷污
fettered adj．被拘束的，没自由的
glossy adj．光泽的，光滑的
bedlam n.喧闹的地方，骚乱
scion n．嫩芽，子孙
meticulous adj．细心的，注意细节的
vernal adj．春季的，春季似的
gravel n．碎石，砂砾
serendipity n．善于发掘新奇事物的天赋
nausea n．作呕，恶心
undulate v．波动，起伏
broil n.v.争吵，怒骂
rectitude n．诚实，正直
disdainful adj．鄙视的
atheism n.无神论,不信神
amethyst n．紫水晶
exuberant adj．(人)充满活力的(植物)茂盛的
convertible adj．可转换的，n．敞篷车
deleterious adj．（对身心）有害的，有毒的
trifle n．微不足道，琐事
insufficiency n．缺乏，不足之处
reckless adj．轻率的，鲁莽的
tassel n．流苏，穗
oblation n．宗教的供品，祭品
upbraid v．斥责，责骂
lout n．粗人
perch v．（鸟）栖息n．鲈鱼
menagerie n.兽群，动物园
pallid adj．苍白的，没血色的
liquefy v．液化，溶解
oscillation n．振动，踌躇
dissimulate v．隐藏、掩饰
immure v．监禁
jesting adj．滑稽的，好笑的
indiscernible adj．看不清的
frowzy adj．不整洁的，污秽的
trickery n．欺骗，诡计
halo n．（日月等）晕，神像之光环
cohesive adj.凝聚的，凝结的
exhale v.呼出(气)
affected adj．不自然的，假装的
dandified adj．打扮得像花花公子的
aphasia n．失语症
repercussion n．反应，影响，回声
anguished adj．很痛苦的
mildew n．霉（因温湿而生）
pitch n．音调(音符之高低)
juggernaut n．摧毁一切的强大力量
pallid adj．苍白的，没血色的
mores n．风俗习惯，道德观念
carnation n．康乃馨（一种花）
forwardness n．大胆，鲁莽
altruism n．利他主义，不自私
phial n．小瓶（药水瓶）
idol n．神像、偶像
quisling n．卖国贼，内奸
clarification n.解释，澄清
spool n．（缠录音带等的）卷盘（轴）
avert v.避免,避开
flak n．高射炮，指责
solo adj．单独的，n．独唱
scalp n．头皮，战利品v．击败
bushed adj.疲倦的，迷路的
shunt v．使（火车）转到另一轨道，转移方向
inflated adj．充气的，骄傲的
filial piety孝心
knocker n．敲击的人，门环
ledger n．帐簿
indent v．切割成锯齿状
tined adj．尖端的
spectral adj．幽灵的，鬼魂的
pedantry n．迂腐
spiny adj．针状的，多刺的
grievance n．委屈，抱怨
pariah n．贱民，被社会遗弃者
exodus v.大批离去,成群外出
tableland n．高原，台地
repellent adj．令人厌恶的
measured adj．精确的，慎重的
sampler n．刺绣花样，取样员
hostage n．人质
flail n．连枷（打谷工具）v．打，打击
jurisprudence n．法律学，法学
reshuffle v．再洗牌，改组
pylon n．高压电线架，桥塔
calligraphy n．书法
fortuitous adj．偶然的，意外的
intimate v．暗示
offset v.抵销，补偿
asphyxia n．窒息
grandeur n．壮丽，伟大
skeptical adj．怀疑的
employ v．雇用,使用
resent v．憎恶，愤恨
nippers n．钳子，镊子
pith n．精髓,要点
flatulence n．肠胃气胀
elide v.省略(音、音节)
anonymity n．无名、匿名
invidious adj．惹人反感的，招人嫉妒的
convoke v．召集会议
obstetrics n．产科学，助产术
gadfly n．虻，牛虻
rapture n．狂喜，极高兴
quell v．制止、镇压
sere adj．干枯的，凋萎的
perishable adj．（食物）易坏的
attest v.证明
remit v．免除，宽恕，汇款
cloistered adj.隐居的
elasticity n.弹性伸缩力
apocalyptic adj预示灾祸的，启示的
testament n．遗嘱，证明
congregation n．集合在一起的群众
concoct v．调制，捏造
numismatic adj．钱币学的
scheme n．阴谋，（作品等）体系，结构
probation n．试用(期),试验
serpentine adj．似蛇般绕曲的，蜿蜒的
turgid adj．浮肿的，浮夸的
arrogance n．傲慢，自大
quell v．制止、镇压
exceedingly adv.过份地
drollery n．滑稽
recessive adj．隐性遗传的，后退的
sibyl n．女预言家，女先知
nomad n．流浪者，游牧部落的人分割
farce n．闹剧,胡闹
plenitude n．完全,大量
throaty adj．嗓子沙哑的
peculate v．挪用（公款）
contagious adj．传染的，有感染力的
truculence n．凶猛，粗暴
prefigure v．预示,预想
sabre n．军刀，击剑用刀
clot n.凝块，v.使凝成块
showy adj．鲜艳的，显眼的
prop n．支撑物，靠山v．支持
necessitous adj．贫困的，急需的
forwardness n．大胆，鲁莽
interim n．中间时期、过渡时期adj．暂时的
jolt n.颠簸，震摇
hymn n．赞美诗
omnivorous adj．杂食的，兴趣广泛的
antler n.鹿角，茸角
knocker n．敲击的人，门环
astray adj．迷路的，误入歧途的
barbarity n.残忍,残暴
inflammable adj．可燃的，易激怒的
wither v．枯萎，凋零
whisper v．耳语，低声说话
degenerate v．退步，堕落
panache n.夸耀，炫耀
moribund adj．即将结束的，垂死的
pretended adj．假的,虚伪的
rebus n．（以音、画等提示的）字谜，画谜
doff v．脱掉（外衣，帽子）
malodorous adj．有臭味的、不合法的
mast n．船桅，旗杆
avalanche n.雪崩
eloquence n.雄辩，口才
hoop n．（桶之）箍，铁环
sparing adj．节俭的，节约的
imperceptible adj．觉察不到的
libation n．奠酒（给神献酒），饮酒
scurry v．急跑，疾行
nefarious adj．违法的，邪恶的
chortle v．n.开心地笑
transition n．过渡时期，转变
complacent adj.自满的，得意的
perspective n．（判断事物的）角度，方法，透视法
hardy adj．耐寒的、强壮的
mists n．史前时代
ulcerate v．溃烂，生恶疮
bizarre adj．奇异的，古怪的
rotund adj．（人）圆胖的，（音声）洪亮的
weld v．焊接，熔接，结合
bibliography n.文献学，
turbid adj．混浊的，紊乱的
spurn v．拒绝，摈弃
interim n．中间时期、过渡时期adj．暂时的
adorn v．装饰
caterpillar n．毛虫，蝴蝶的幼虫
relict adj．残存的
doctrinaire n．空论家，adj．教条的，迂腐的
employ v．雇用,使用
lank adj．瘦削的，稀疏的
flunk v．考试不及格
dapper adj.衣冠楚楚的，干净的
wail v．哀号，痛哭
resuscitate v．使复活，使苏醒
incline n　斜坡v．倾斜，爱好
grievous adj．严重伤害的，引起痛苦的
symmetry n．对称，均衡
soak v．浸泡，渗透
spurious adj．假的，伪造的
palliation n．减轻，缓和
churl n．粗鄙之人
gargantuan adj．巨大的，庞大的
convertible adj．可转换的，n．敞篷车
shelve v．搁置
wreckage n．残骸，碎片
razzle n.狂欢聚会
poke v．刺,戳,嘲弄
credulous adj．轻信的，易信的
gulp v．吞食，咽下
foolhardy adj．鲁莽的，有勇无谋的
condolence n．吊唁，哀悼
blandishments n．甘言劝诱
prolific adj．多产的,多结果的
putrefy v．使腐烂
grudge v．吝啬，不满．
quaff v．畅饮
tapestry n．挂毯，丰富多采的画面
pertain v．属于，关于
assiduous adj．勤勉的，专心的
accentuate v．着重，强调
indolent adj．懒惰的，懒洋洋的
subordinate 　adj．附属的n．部下，下属
compute v．计算
searing adj．灼热的
informer n．告发者，告密者
interrogative adj．疑问的
stammer v．口吃，结巴
authorize v.授权,批准
enfranchise v．给予选举权,释放(奴隶)
adversity n．不幸，灾难
expendable adj.可耗尽的,可牺牲的
momentary adj．短暂的，瞬间的
dunce n．蠢材，笨人
exemption n.免除
compliment v.n.恭维，称赞
currish adj．下贱的，杂种的
denude v．脱去，剥蚀，剥夺
abnormal adj．不正常的，变态的
stunning adj．极富魅力的
emboss v．加浮雕花纹于,使凸出
pillory n．颈手枷，示众，嘲弄
exhortation n.劝告，规劝
nausea n．作呕，恶心
parry v．挡开，避开（武器，问题等）
duplicity n．欺骗，口是心非
counteract v．消除，抵消
bombastic adj．唱高调的
confrontation n．对抗
quash v．取消，拒绝接受
callow adj．（鸟）未生羽毛的，（人）未成熟的。
delectable adj．赏心悦目的，愉悦的
desecrate v．玷辱，亵渎
obnoxious adj．令人不愉快的，可憎的
niggardly adj．吝啬的，勉强的
paradox n．矛盾、似矛盾而正确的说法
pawnbroker n．典当商，当铺老板
propriety n．礼节，适当
irate n．发怒的．
ineffaceable adj．抹不掉的，不能消除的
huckster n叫卖小贩，零售商
mattress n．床垫
legerdemain n．手法，戏法
defection n．脱党，变节
slaver v．流口水，渴望n．口水
explicit adj.清楚明确的
laud v．称赞
emergence n．出现
wane v．减少，衰微
lament v．n．悲伤、哀悼
matriarchy n．母权制，妇女统治
landlocked adj．被陆地包围的
refulgence n．辉煌，光亮
peckish a.饿的，急躁的
impertinent adj．不恰当的，粗鲁的
catalyst n．催化剂，促使事情发展的因素
commensurate adj.同样大小的，相称的
lithe adj．柔软的，易弯曲的
hiss v．作嘘声，（蛇等）发出嘶嘶声
collage n.拼贴画
mentor n．导师
potent adj．强有力的
sedulous adj．聚精会神的、勤勉的
belabour v．（过份冗长地）做或说，痛打
rampant adj．蔓生的，猖獗的
funk n.恐惧，恐怖
stench n．臭气，恶臭
lair n．野兽的巢穴，躲藏处
hermetic adj．密封的，炼金术的
libellous adj．诽谤的
smuggle v．走私，私运
rubble n．（一堆）碎石，瓦砾
persistent adj．固执的，坚持的
immutable adj．不变的
devious adj．不正直的，弯曲的
clamp n.钳子，v.钳紧
bout n.一回合，一阵
immersion n．沉入，浸入
simian adj．猿的、猴的n．类人猴
trunk n．树干，大衣箱
victuals n．食物，饮食
mammal n．哺乳动物
