dual adj．双重的
orthodoxy n．正统学说
segment n．部分
cantankerous adj．脾气坏的，好争吵的
prurience n．好色,淫乱
sequential adj．连续的，一连串的
acquisitive adj．贪得的，物欲重的
intersperse v．散布,点缀
mortar n．小臼，乳钵，迫击炮
nonconformity n．不遵从（传统）
vermin n．害虫，寄生虫
twaddle n．胡说八道，瞎扯
peccadillo n．小过失
depose v．免职，废黜
siege n．包围，围攻
steer n．公牛，食用牛
iniquitous adj．邪恶的，不公正的
haughty adj．傲慢的，自大的
choreography n．舞蹈，舞蹈编排
clique n.朋党派系，小集团
mirth n．欢乐，欢笑
wanton adj．顽皮的，放纵的
lingering adj．拖延的，依依不舍的
hierarchy n．阶层，等级制度
disintegrate v．分裂成小片，瓦解
asparagus n．芦笋（可作蔬菜）
galvanize v．电镀，通电，激励
devious adj．不正直的，弯曲的
elongation n.延伸
smashing adj.极佳的，美妙的
seclusion n．隐遁，隔离
glade n．林中的空地
incessant adj．无间断的，连续的
cardigan n.羊毛上衣，羊毛衫(
pervasive adj．遍及的，弥漫的
glamour n．魅力，魔力
haven n．安息所，避难所
esoteric adj．秘传的，神秘的
monotonous adj．单调的，无聊的
scruple n．v．顾忌、迟疑
requital n．酬劳，报答．
lofty adj．崇高的，高尚的lofty　sentiments．
minnow n．鲦鱼，小淡水鱼
lumpish adj．笨拙的
repugnant adj．令人厌恶的
pestle n．杵，乳钵槌
impedimenta n．随身携带物，行李
massacre n．大屠杀，大败
ferret n．雪貂，v．搜寻
gruelling adj．繁重而累人的
colloquium n.学术讨论会
debunk v．揭穿真相，暴露
detractor v．贬低者
haggard adj．憔悴的，消瘦的
reprimand n．v．训诫，谴责
pirate n．海盗，剽窃者v．盗印,掠夺
lathe n．车床
carol n．赞美诗，颂歌
rapt adj.专注的
bereft of丧失，失去
fraudulent adj．欺骗的，不诚实的
slacken v．（使）松弛，放松
spunk n．勇气，胆量
tractable adj．易于驾御的，温顺的
olfactory adj．嗅觉的
philanthropist n．慈善家
redound v.提高，增加
retreat v．n．撤退，逃避，隐居
clot n.凝块，v.使凝成块
frieze n．（在墙顶与天花板间起装饰作用的）横条，饰带
anesthetic n．麻醉剂
unravel v．解开，拆散
terse adj．简洁的，简明的
assiduous adj．勤勉的，专心的
twinge n．（生理，心理上的）剧痛，刺痛
mollusk n．软体动物
mildew n．霉（因温湿而生）
domesticity n．（喜欢）家庭生活
scorn n．v．轻蔑、瞧不起
inundation n．淹没（
ransom n．赎金，赎身，v．赎回，解救
skit n.滑稽短剧
curt adj．（言词、行为）简略而草率的
dashing adj．有活力的，有朝气的
latitude n．言行自由，纬度
hostility n．敌对状态，敌意
quickie n.草草完成的劣品
urbane adj．温文尔雅的，懂礼的
veterinary adj．兽医的
mischievous adj．淘气的，有害处的
malleable adj．可塑的，易改变的
fare n．交通费，食物
hack n.雇佣文人
scads n．大量，巨额
imbibe v．饮，吸入
massacre n．大屠杀，大败
aperitif n.开胃酒
bust n．半身（雕）像
fumble v．摸索，搜寻
inordinate adj．过度的，过份的
pageant n．壮观的游行，露天历史剧
paragon n．模范，典型
rivet n．铆钉v．吸引（注意力）
gallop n．v．（马）飞奔，疾驰
douse v．把…浸入水中，用水泼
contentious adj．好辩的，喜争吵的
peckish a.饿的，急躁的
blizzard n．暴风雪
precedent n．先
potpourri n．混杂,杂文集,
spectral adj．幽灵的，鬼魂的
fumigate v．以烟熏消毒
mallet n．木槌，大头锤
slue v．（使）旋转
detoxicate vt．除毒，解毒
rotund adj．（人）圆胖的，（音声）洪亮的
persecute v．迫害，不断困扰
gastric adj．胃的，胃部的
linear adj．线的，成直线的
chimerical adj．荒诞不经的，梦幻的
reprove v责骂，申斥
expand v.扩大,膨胀
herbaceous adj．草本植物的
boggle v．畏缩不前，不敢想像
lesion n．伤口，损害
salacity n．好色，淫荡
starchy adj．含淀粉的，刻板的
adversary n对手，敌手
contrition n．悔罪，痛悔
pleonastic adj．赘语的,噜嗦的
theatrical adj．戏剧的，矫揉造作的
limnetic adj．湖泊的
allegation n．（无证据的）指控
aperture n．孔隙，窄的缺口
gaffe n．（社交上令人不快的）失言，失态
blandishments n．甘言劝诱
coercion n.强制，高压统治
benediction n．祝福，祈祷
truculence n．凶猛，粗暴
delete v．删除
convalesce v．（病）康复，复原
catholic adj．（兴趣等）广泛的，（人）宽厚的
postulate v．假定,要求
fresco n．壁画
cowardice n．胆小，懦弱
intrusion n．私闯，干扰
numerology n．命理学
inter v．埋葬
abode n．住处，住所
grope v．摸索，探索
loathe v．赠恨，厌恶
summarily adv．概括地，仓促的
artifice n．巧办法，诡计
stipulate 　v，要求以…为条件，约定
broil n.v.争吵，怒骂
hoary adj．（头发）灰白的，古老的
stern n．船尾
bellicose adj．好战的，好斗的
degrade v．降格，降级
cant n．隐语，术语
rancid adj．不新鲜的，变味的
herald n．传令官，预示
hepatic adj.肝的n.保肝药
elaborate adj.精致的、复杂的
combustion n.燃烧
querulous adj．抱怨的，多牢骚的
astrolabe n．星盘（古代星位观侧仪）
atone v.赎罪,补偿
shade n．阴影，细微差别
hexagon n．六角形，六边形
cloy n.(吃甜食)生腻，吃腻
extortion n．强取
opaque adj．不透明的，难懂的
chaff n．谷物的皮壳，米糠
discretion n．谨慎，审慎
recant v．改变，放弃（以前的信仰）
squash v．压碎，挤压，n．南瓜
tedium n．单调乏味
peregrination n．游历（尤指在国外）
salmon n．鲑鱼
sarcastic adj．讽剌的
cosmos n．宇宙（
motto n．座右铭，箴言
mutton n．羊肉
stoke v.添加燃料，司炉，激起
mediocrity n．平庸，碌碌之人
treatise n．论文
dilate v．（身体某部位）张大，扩大
expurgate v．净化，删去
staid adj．稳重的，沉着的
asseverate v.郑重声明，断言
gutter n．水槽，街沟
pithy adj．(讲话或文章)简练的
ore n．矿，矿石
crochet n．钩针织物v．用钩针编织
validate v．使…生效
hardihood n．大胆，鲁莽
captious adj．吹毛求疵的
deadlock n．相持不下，僵局
callus n．老茧，皮肤硬厚处。
preceptor n．教师
peek v．偷看
floppy adj．松软的，衰弱的
raucous adj．（声音）沙哑的，粗糙的
dowdy adj．不整洁的，过旧的
sonority n．响亮，宏亮
tugboat n．拖船
bland adj．（人）情绪平稳的，（食物）无味的
illumination n．照明，古书上的图案、装饰
lessee n．（房地产的）租户
elapse v.(光阴)消逝
quintessence n．典型，完美的榜样，精华
cavalcade n．骑兵队
opponent n．对手，敌手
disposition n．处理，天性、气质
aftermath n．不幸事件之后果，余波
abolition n．废除，革除
superimpose v．加在上面，附加
presumptuous adj．自大的,专横的,冒昧的
custodian n．管理员，监护人
bushed adj.疲倦的，迷路的
bellicose adj．好战的，好斗的
accrue v．（利息等）增大，增多
canopy n．蚊帐，华盖。
waft v．飘浮，飘荡
mimicry n．模仿，（动物等）拟态伪装
disguise v．假扮，掩饰
remittent adj．（病）间歇性的，忽好忽坏的
conciliate v．安抚，调和
crafty adj．狡诈的
vexation n．困扰，苦恼
hidebound adj．顽固的，心胸狭窄的
bravado n．故作勇敢，逞能
adopt v．收养，采纳
fomentation n．煽动，助长
capricious adj．变化无常的，任性的
intransigence n．不妥协，不让步
captivation n．吸引力，魅力
rumpus n.吵闹，喧闹
pry v．刺探,打听,撬开
baton n.指挥棒,警棍
acquiesce v．勉强同意，默认
aver v.极力声明,断言
eclecticism n．折衷主义
craving n．强烈的欲望
disposition n．处理，天性、气质
residence n．住宅，居留
scathing adj．苛刻的，严厉的
forager n．为动物寻找饲料的人
stodge n.乏味的食物，乏味的作品
insipid adj．乏味的，枯燥的
concussion n．脑震荡，震动
mistimed adj．不合时机的
strut v.昂首阔步地走
swell v．肿胀，肿大n．（人）丰满
commencement n.开始，(大学的)毕业典礼
presumable adj．可能的,可假定的
scalp n．头皮，战利品v．击败
repository n．贮藏室，仓库
excavate v.挖掘,挖出
skull n．头盖骨，脑壳
accessible adj．易达到的，易受影响的
pestle n．杵，乳钵槌
exhilarating adj.使人兴奋的
igneous adj．火的，火绒的
mermaid n．美人鱼
sensation n．知觉，轰动（的事）
scroll n．卷轴，纸卷，画卷
disquisition n．长篇演讲，专题论文
azure adj.天蓝色的n.碧空
conducive adj．有助于…的
divest (of)v．卸下盛装，剥夺
reclaim v．纠正，开垦（土地）
immaterial adj．无关紧要的，非实体的
bigot n．（宗教，政治等的）盲信者，顽固者
pulp n．果肉酱,纸浆
quadrangle n．四边形
peckish a.饿的，急躁的
forsake v．遗弃，放弃
literati n．文人，学者（复数）
derangement n．精神错乱
luscious adj．美味的，肉感的
sonority n．响亮，宏亮
matador n．斗牛士
allocation n．拨给，分配
snug adj．温暖的，舒适的
gravity n．严肃，一本正经
censorious adj．吹毛求疵的，苛求的
awe-inspiring adj.令人敬畏的
brazen adj．无耻的，厚脸皮的
conciliation n．安慰，安抚
muggy adj．（天气）闷热而潮湿的
vile adj．可恨的，可耻的
corporate adj．团体的，共同的
stab n．v．刺伤，戳
trinket n．小装饰品，不值钱的珠宝
hilarity n．欢乐，热闹
eucalyptus n.桉树
solitude n．孤独
impoverish v使成赤贫
circumspect adj.慎重的，仔细的
cluster n.串，束，群，v.成群，成串
amputate v．切除
abate v．减轻，降低
fabulous adj．难以置信的，寓言里的
burnish v．擦亮，磨光
turbulent adj．凶猛的，骚乱的
conciliation n．安慰，安抚
rife adj．流行的，普遍的
kangaroo n．袋鼠
bagatelle n.小事，琐事
pediatrics n．小儿科
ad-lib adj.即兴表演的
plankton n．浮游生物
scintillating adj．才气横溢的
momentous adj．极重要的，严重的
persecution n．迫害
plutocracy n．富豪,财阀统治
peculate v．挪用（公款）
sublimate v．（使）升华，净化
ineligible adj．没有资格的
genesis n．创始，起源
fatuity n愚蠢，愚味
balderdash n.胡言乱语
measles n．麻疹
explicit adj.清楚明确的
pollen n．花粉
replenish v．补充，再装满
incline n　斜坡v．倾斜，爱好
momentary adj．短暂的，瞬间的
profundity n．深奥,深刻
imaginary adj．虚构的
gloomy adj．阴暗的，没有希望的
throttle v．掐脖子，扼杀，n．节流阀
jaguar n．美洲虎
overhaul v．n．彻底检查，大修
hierarchy n．阶层，等级制度
joust v．马上长枪比武，竞争
shambles n.混乱之处，凌乱的地点
inquisitive adj．过份好问的，好奇的
interlace v．编织,交错
nominal adj．名义上的，有名无实的
detour n．弯路，绕行之路
pedestal n．（柱石或雕像的）基座
apprehensive adj．恐惧的，担心的
exude v.使慢慢流出,四溢
cute adj.逗人喜爱的，漂亮的
lukewarm adj．微温的，不热心的
effortless adj．不费力的
impose v．征税，强加
copious adj．丰富的，多产的
unalloyed adj．未掺杂的，纯粹的
putsch n.起义，叛乱
inscription n．铭刻，题献
loutish adj．粗鲁的
omniscient adj．无所不知的、博识的
scrutinize n．详细检查，细读
modish adj．时髦的
entrepreneur n．企业家，创业人
mendacious adj不真的，撒谎的
acquiesce v．勉强同意，默认
sallow n．柳树，adj．病黄色的
mire n．泥沼，困境
medal n．奖牌，勋章
armada n．舰队
sibyl n．女预言家，女先知
clique n.朋党派系，小集团
rubicund adj．（脸色）红润的
malevolent adj．有恶意的，恶毒的
polyandry n．一妻多夫制
hive n．蜂房，忙碌之地
brutal adj．残忍的，严酷的
rhythmic adj．有节奏的
dowdy adj．不整洁的，过旧的
gourmet n．美食家
presupposition n．预先假定,臆测
recreant n．懦夫，叛徒adj．胆怯的
simian adj．猿的、猴的n．类人猴
ascertain v．查明，确定
hospitality n．好客，殷勤
reprimand n．v．训诫，谴责
dexterous adj．灵巧的，熟练的
sidle v．（偷偷地）侧身而行
increment n．增值，增加
reptilian adj爬虫类的，卑下的
dyslexia n．阅读
stupefy v．（使）茫然，吓呆
expend v.花费,用光
niggle v.挑剔，吹毛求疵
theatrical adj．戏剧的，矫揉造作的
perfidy n．不忠，背叛
obtuse adj．愚笨的，不锐利的
coalition n.结合，联合
drizzle v．n．下毛毛雨，毛毛雨
concession n．让步，特许权
flux n．变迁，不断的变化
nippers n．钳子，镊子
illegality n．非法，违法
trenchant adj．一针见血的，精辟的
adjutant n．（军队的）副官，助手
stouthearted adj．勇敢的
increment n．增值，增加
didactics n．教学法
prospective adj．未来的,预期的
defile v．弄污，弄脏n．（山间）小道
hallow v．把…视为神圣，尊敬
extinct adj．绝种的,不存在的
hilt n．（剑或刀之）柄
ridge n．脊（如屋脊，山脊等），隆起物
flay v．剥皮，诈取，严厉指责
inanity n．无意义，无聊
scraggy adj.瘦而多骨的
stutter v．n.口吃，结巴
spacious adj．广阔的，宽敞的
rucksack n．（旅行等的）背包
salutary adj．有益的，有益健康的
fecund adj．肥沃的,多产的
verve n．（艺术作品的）神韵，（人）生机，精力
apprehend v．逮捕，恐惧
screed n．冗长的演说，长篇大论的文章
flinty adj．极坚硬的
buoyant adj．易浮的，快乐的．
herdsman n．牧人
pan v．严厉批评，n．平底锅
stark adj．（外表）僵硬的，完全的
unbidden adj．未经请求的，未经邀请的
destitute adj．贫乏的，穷困的
robust adj．健壮的
harrowing adj．悲痛的，难受的
skewer n．（烤肉用的）串肉杆v．用杆串好
paralyze v．使瘫痪，使无效
tepid adj．微温的
decipher v．解开（疑团），破译（密码）
trenchant adj．一针见血的，精辟的
crepuscular adj．朦胧的，微明的
diarrhoea n.腹泻
vagary n．奇想，异想天开
pungency n．刺激性,尖刻
incongruity n．不一致
caucus n．政党高层会议，核心人物
paranoid adj．偏执狂的，过份怀疑的
coagulant n.凝结剂
symposium n．专题讨论家，研讨会
bombastic adj．唱高调的
forfeiture n．（名誉等）丧失
transparent adj．透明的
elusive adj.难懂的
redress v．n．改正，修正
ramify v．分支，分叉
probe v．探索,探测
ostrich n．鸵鸟，不接受现实的人
travelogue n．旅行见闻，游
parasitic adj．寄生的
estuary n.河口,三角湾
flush n．v．脸红，奔流
peripheral adj．不重要的，外围的
beleaguer v．围攻
initiative n．主动，首创精神
consummate adj．完全的，完美的，v．完成
maneuverable adj．可移动的，可操纵的
satiny adj．光滑的，柔细的
creed n．信条，教义
rat v.背叛，背信
shoddy n．劣质的，冒充好货的
nuptials n．婚礼
resurrection n．复活
gaiety n．欢乐，快活
opponent n．对手，敌手
orchid n．兰花，称赞
affectation n．做作，虚假
impedimenta n．随身携带物，行李
disembodied adj．无实体的、空洞的
amenable adj．愿服从的，通情达理的
histrionics n．演戏，表演
ankle n．脚踝
vertiginous adj．令人眩晕的
anguished adj．很痛苦的
hypocrisy n．伪善，造作
continent adj．克制的，禁欲的
rankle v．（怨恨，失望等）难以释怀
dexterous adj．灵巧的，熟练的
abracadabra n.咒语，胡言乱语
reimburse v．偿还
proclivity n．倾向,癖性
parry v．挡开，避开（武器，问题等）
engulf v．吞噬
disfranchise v．剥夺…的权力（尤指选举权）
eaves n．屋檐
hiatus n．空隙，裂缝
moor n．旷野地，荒野v．使（船）停泊
mettle n．勇气，斗志
coagulant n.凝结剂
primordial adj．最初的
rivulet n．小溪，小河
laconic adj．（用字）简洁的
axle n.轮轴(连接二个车轮的轴)
sterilize v．使不育，杀菌
renowned adj．著名的
ideology n．意识，意识形态
countenance n．面容，表情v．支持，赞成
generosity n．慷慨、大方
livable adj．适于居住的，（人）可相处的
adornment n．装饰，装饰品
dermatology n.皮肤（病）学
bounteous adj．慷慨的，丰富的
pedagogy n．教育学，教学法
intoxicate v．使醉，陶醉
ravishing adj．令人陶醉的
boorish adj．粗野的
geniality n．和蔼，温和
pedigree n.家谱，纯种系谱
crochet n．钩针织物v．用钩针编织
trite adj．陈腐的，陈词滥调的
corpulence n．肥胖，臃肿
rack v.折磨，使痛苦
shed v．流出（眼泪），脱落（叶子）
virulent adj．剧毒的，恶毒的
stymie v．妨碍，阻挠
chagrin n．v．失望，懊恼
wallop v．n．重击，猛打
recuperative adj．有助恢复健康的
reactionary adj．保守的，反动的
stranded 　adj．搁浅的，进退两难的
anticipate v．预期，期待
sheath n．（刀、剑）鞘、套
haughtiness n．傲慢
pregnant adj．怀孕的,充满的
acoustics n．声学
infuriate v．使（人）极为愤怒
haven n．安息所，避难所
discourse n．演讲，论述
supposition n．猜想，推测
spruce n．云杉，adj．整洁的，潇洒的
rue n．后悔，遗憾．
cygnet n．小天鹅
exploration n.探险,研究
impair v．损害，使弱
acne n.粉刺
sling v．投掷，扔，n．吊腕带，吊索
imperative adj．急需的，必要的
jinx n.不祥的人(或物)
reticulation n．网目，网状
baneful adj.有害的,致祸的
feint v．n．佯攻，佯击
reproof n．斥责，责备
merchandise n．商品，货品
oblivion n．遗忘
laxative n．轻泻药adj．通便的，放松的
crooked adj．弯曲的，扭曲的
skinflint n．吝啬鬼
manikin n.侏儒，时装模特儿
broach v．开瓶，提出（题目）
explicit adj.清楚明确的
millinery n．女帽及其装饰物
imbroglio n．纠纷，纠葛
ally n．盟国，支持者
replicate v．重复，复制
parasite n．寄生虫，食客
disintegrate v．分裂成小片，瓦解
feminist n．女权运动者
antler n.鹿角，茸角
whine v．哀号，号哭
forsake v．遗弃，放弃
fascia n．饰带，(商店上挂的)招牌
conglomerate v．集聚，集团
anomalous adj．反常的，不规则的
optimism n．乐观主义
oscillate v．摆动，犹豫
pauper n．贫民，乞丐
ream n．令（纸张的张数单位）
unfounded adj．无事实根据的
yielding adj．弯曲自如的，灵活的
layabout n.懒汉
obsolete adj．废弃的，过时的
laxity n．松弛，放纵
satiate v．使饱足，生腻
divulge v．泄露，透露
impertinent adj．不恰当的，粗鲁的
incarnate adj．具有肉体的，化身的
taint n．v．玷污，败坏
wade v．涉水，水
conjurer n．魔术师
reverence n．崇敬，敬礼
mural adj．墙壁的n．壁画
lynch v．私刑处死
irritate v．激怒，刺激
scum n.泡沫，社会渣滓
kerfuffle n.混乱，动乱
trickle v．一滴滴地流，徐徐地流
recumbent adj．侧卧的，休息的
gosling n．小鹅，年轻无知的人
emolument n．报酬，薪水
civility n.彬彬有礼，斯文
plaque n.饰板，匾，(医)血小板
pastoral adj．田园生活的，宁静的
loft n．阁楼，顶楼
auspicious adj.幸运的,吉兆的
molar n．臼齿
novice n．生手，新手
pseudonym n．假名,笔名
rubbery adj．强韧的
emissary n．密使，特使
tenet n．信念，信条
sedate adj．安静的、镇静的
fumigate v．以烟熏消毒
habituate v．使习惯于
doctrinaire n．空论家，adj．教条的，迂腐的
growl v．（动物）咆哮，吼叫
fidget v．坐立不安n．烦躁之人
substratum n．基础，根据
scud v．疾行，疾驶
incoherent adj．（思想文字）不连贯的
confirmed adj.习惯的，积习的
legible adj．可辩认的，易读的
trickle v．一滴滴地流，徐徐地流
edify v．陶冶，启发
blithe adj．快乐的，无忧无虑的
mourn v．哀悼，哀伤
rescript n．公告，法令，重抄
tickler n．棘手的问题，难题
militant adj．好战的，好暴力的
roundabout adj．绕远道的，转弯抹角的
rubbery adj．强韧的
exhaustion n.疲备,耗尽
teetotal adj．滴酒不沾的
ambiguous adj．含糊的，不坦率的
appealing adj．　吸引人的，打动人心的
eloquent adj.雄辩的,演说动人的
sagacious adj．聪明的，睿智的
seasoning n．调味品、佐料
rivet n．铆钉v．吸引（注意力）
vessel n．血管，容器，船只
offensive adj．令人不快的，得罪人的
colossus adj.巨人，巨型雕像
locale n．事件发生的现场、地点
enactment n．颁布，扮演
liken v.把……比作，比拟
gambol n．雀跃，嬉戏
orthodoxy n．正统学说
truce n．停战，休战（协定）
hack n.雇佣文人
high-flown adj．夸张的，好高骛远的
capacious adj．容量大的，宽敞的，
pine n．松树v．（因疾病等）憔悴，衰退
epidermis n．表皮，外皮
pigment n．天然色素，干粉颜料
caulk v．填塞（隙缝）使不渗水
fathomless adj．深不可测的
ovation n．热烈的欢迎，鼓掌
rejoinder n．回答
nipping adj．尖酸的，剌骨的
bulb n．植物的球茎
incumbency n职责，义务
tatty adj.不整洁的，简陋的
tart adj．酸的，尖酸的
brindled adj.有斑纹的
lessee n．（房地产的）租户
