mortify v．使屈辱，使痛心
nettle n．荨麻，v．烦忧，激恼
lease n．租约，租期，v．出租
milieu n．（个人所处的）社会环境
anthology n．诗集，文选
cacophony n．刺耳的声音
accoutrements n．（军服，武器之外的）装备，配备（
perplexed adj．困惑的
hysteria n．歇斯底里症，过度兴奋
rebuke v．指责，谴责
eject v.喷出、逐出
vexation n．困扰，苦恼
consummate adj．完全的，完美的，v．完成
suffrage n．选举权，投票权
shrug v．耸肩（表示怀疑等）
lissom adj．姿态优雅的，柔软的
swank v．夸耀，炫耀
hasten v．催促，促进
perplexed adj．困惑的
fractious adj．（脾气）易怒的，好争吵的
delectation n．享受，愉快
ascetic adj．禁欲的n．苦行者
correlate n．相关的事物
gloom n．黑暗，忧郁
mote n．微粒，微尘
attest v.证明
sledgehammer n．长柄大锤
solicitation n．恳求，教唆
glutton n．贪吃者
tattered adj．衣衫褴褛的，破旧的
indiscernible adj．看不清的
sewer n．排水沟，下水道
crudity n．粗糙，粗野
hidebound adj．顽固的，心胸狭窄的
grandeur n．壮丽，伟大
etching n.蚀刻技术
hillbilly n.乡下人，乡巴佬
motivate v．促使，激发
peculate v．挪用（公款）
yacht n．帆船，游艇
anomaly n．异常、反常
access n．通路，途径
negotiable adj．可商量的，（支票）可兑现的
saliferous adj．含盐的，产盐的
anticipatory adj预期的
rail n．栏杆，铁轨，v．咒骂，猛烈指责
embezzle v.盗用,侵吞
spellbind v.吸引，迷惑
quill n．（豪猪等动物的）刺
surreptitious adj．鬼鬼祟祟的，保密的
disreputable adj．品格不端的，见不得人的
indemnification n．赔偿，赔偿金
antiseptic n．杀菌剂，adj　防腐的
presupposition n．预先假定,臆测
fatuity n愚蠢，愚味
paranoia n．偏执狂，多疑症
flex v．弯曲
gossamer n．蛛丝，薄纱，adj．轻而薄的
renaissance n．复兴，再生
lambaste v．痛打，痛骂
besmirch v.诽谤，玷污
dispassionate adj．平心静气的
opponent n．对手，敌手
authentic adj.真正的,原作的
resuscitate v．使复活，使苏醒
saccharin n．糖精
reactionary adj．保守的，反动的
coronation n.加冕，加冕礼
benighted adj.愚昧的
willow n．柳树
clannish adj.排他的，门户之见的
chop n．(用斧头等)砍，(风)突然改变方向
secede v．正式脱离或退出（组织）
quarantine n．隔离检疫期，隔离
altruism n．利他主义，不自私
propitiate v．讨好,抚慰
profligate adj．挥金如土的,n．挥霍者
nostalgia n．怀旧之情，思乡病
mash v．捣成糊状
portfolio n．文件夹,股份单
saturnalia n．纵情狂欢
discompose v．使失态，慌张
lounge v．懒散地斜靠，n．休息室
sapient adj．有智慧的
injunction n．命令，强制令
reincarnate v．使化身，转生
originality n．创造性，独特性
chandelier n．枝形吊灯（烛台）
adduce v．给予（理由），举出
aspersion n．诽谤，中伤
emolument n．报酬，薪水
indigenous adj．土产的，本地的
gusher n．滔滔不绝的说话者，喷油井
perishable adj．（食物）易坏的
nippy adj.辛辣的，寒冷的
hapless adj．不幸的
engaging adj．迷人的，美丽动人的
infest v．骚扰，扰乱
totter v．摇摇欲坠，步伐蹒跚
querulous adj．抱怨的，多牢骚的
obstruct v．阻塞，截断
prosecutor n．起诉人
prudence n．谨慎,小心
hors d’oeuvren．（法）正菜前的开胃小菜
privation n．丧失,贫困
weld v．焊接，熔接，结合
gull n海鸥，v．欺骗
sagacity n．聪慧，洞察力
heathen n.异教徒
dilution n．稀释、渗水
incompatible adj．不能和谐共存的
remiss adj．疏忽的，不留心的
hypodermic adj．皮下注射的
intransigence n．不妥协，不让步
coherent adj.连贯的，一致的
encroach v．侵占，蚕食
swindle v．诈骗，骗取
compulsion n．压力，难以抗拒的冲动
swarthy adj．（皮肤等）黝黑的
fallible adj．会犯错的,易犯错的
eucalyptus n.桉树
kitten n．小猫
feckless adj．无目标无计划的
contract n．契约，合同
ingress n．进入
precedent n．先
retribution n．报应，罚
gloom n．黑暗，忧郁
smuggle v．走私，私运
presenter n．主持人
expurgate v．净化，删去
arduous adj．费力的，艰难的
split v．n．分裂，裂开
sufficient adj．足够的
incisor n．门牙（
willow n．柳树
scathing adj．苛刻的，严厉的
recluse n．隐士v．隐居
frailty n．脆弱，弱点
consummate adj．完全的，完美的，v．完成
frivolity n．轻浮
domain n．领土，领域
abominate v．痛恨，痛恶
comportment n.举止
stymie v．妨碍，阻挠
unabashed adj．不畏惧的，不害躁的
cynosure n．注意的焦点
hinder v．阻碍，妨碍
oak n．橡树
contentious adj．好辩的，喜争吵的
discography n.唱片分类目录
amulet n.护身符
dispensable adj．不必要的，可有可无的
cloister n.修道院
fastidious adj．难取悦的,挑剔的
noncommittal adj．态度暖昧的，含糊的
collateral adj.平行的，旁系的
plaster n灰泥,石膏．v．抹泥
audit v.审计,核对,旁听
monolithic adj．巨石的，巨大的
scaffold n．脚手架（造房时搭的架子）
timbre n．（音乐）音色，音质
rooster n．公鸡
tyrannical adj．暴虐的，残暴的
daguerreotype n．（早期）银板照相
thatch n．茅草屋顶，茅草
lustrous adj．有光泽的
fulsome adj．虚情假意的，丰满的
pleat n．(衣服上的)褶
trench n．沟，壕沟
porcelain n．瓷,瓷器
inconceivable adj．难以想象的，不可能的（
clapper n.铃舌，响板
scorpion n．蝎子
regime n．政权，政治制度
rendering n．演出，翻译
supplicate v．恳求，乞求
aqueduct n．高架渠，渡槽
myriad adj．许多，无数
hygiene n．卫生学，卫生的
volubility n．健谈，流畅
trivial adj．琐细的，平庸的
synoptic adj．摘要的，高瞻远瞩的
ponder v．仔细考虑
chide v．叱责，指责
maroon v.使(人)处于孤独无助之境(
skunk n．臭鼬，黄鼠狼
joust v．马上长枪比武，竞争
honours n．勋位，优等成绩
unctuous adj．油腔滑调的
category n．类别，范畴
accumulate v．积聚，积累
clientele n.(医生、律师的)顾客，(商店的)常客
amass v．积聚
speleology n．洞穴学
infidelity n．不忠实，不贞
fertile adj．多产的，肥沃的
aegis n.保护，庇护
impede v．妨碍
abound v．充满，富于
seclusive adj．好隐居的
pregnancy n．怀孕,丰富
inverse adj．相反的，倒转的
enlightened adj．开明的,有见识的
snappish adj．脾气暴燥的
masonry n．石工技术，石屋
paradigmatic adj．作为示范的，典范的
