landlocked adj．被陆地包围的
star-crossed adj．时运不济的
hubris n．过份自傲，目中无人
aplomb n．沉着，镇静
levy v．n．征税、征兵
simper v．傻笑、假笑
palings n．篱笆，木栅栏
shiftless adj．没有决断力的，偷懒的
psychotic adj．n．精神病的,疯子
glimmer v．发微光，n．摇曳的微光
macabre adj．骇人的，可怖的
safeguard n．防卫措施，防范措施
deceit n．欺骗，欺诈
cornet n．短号．圆锥形蛋卷（cone）
mortify v．使屈辱，使痛心
lounger n．游手好闲之人
desiccant n．干燥剂
inculcate v．灌输，谆谆教诲
overwhelm v．泛滥，压倒
prop n．支撑物，靠山v．支持
ore n．矿，矿石
intimate v．暗示
attrition n.消磨,磨损
demote v．降级，降职
speculation n．思索，推测，投机
jingoism n．沙文主义，侵略主义
contravention n．违法
virtuosity n．精湛技巧，高超
colloquium n.学术讨论会
quiver n．箭筒，箭囊
perfume n．香味，香水
poignant adj．伤心的,尖锐的
introspection n．内省，反省
bedraggled adj．（衣服、头发等）弄湿的，凌乱不堪的
preconception n．先入之见
punctilious adj．谨小慎微的
hatchet n．短柄小斧v．扼杀
notched adj．有凹口的，有缺口的
probing adj．好探索的,尖锐的
kitten n．小猫
archaeology n．考古学
pabulum n．食物，精神食粮
transitory adj．短暂的，＝transient
foray v．n．突袭，偷袭
crossfire n．交叉火力
gloss n．光泽，注解
tamper v．窜改，玩弄
svelte adj．（女人）体态苗条的
inimical adj．为敌的，不友善的
contingent adj．意外的，视情况条件而定的
cleaver n.切肉刀
dietetics n．饮食学，营养学
savor n．味道，滋味，v．品尝，欣赏
encipher v．译成密码
unscrupulous adj．肆无忌惮的，无天理的
flummery n.假恭维
gratis adj.免费的
mimicry n．模仿，（动物等）拟态伪装
poser n.不易处理之事
locomotion n．运动，移位
sovereignty n．主权，统治权
unavailing adj．无结果的，徒劳无功的
sable n．黑貂，adj．黑色的
groveler n．乞怜者．
rambunctious adj．喧闹的，放纵的
haughty adj．傲慢的，自大的
berate v．猛烈责骂
hue n．色彩，色泽
parquet n．镶木地板．
axle n.轮轴(连接二个车轮的轴)
repellent adj．令人厌恶的
gneiss n．片麻岩（一种艰硬的岩石）
neutralize v．使无效，中和
personification n．典型，完美榜样
yarn n．纱线
conscript v．征兵，征召
sallow n．柳树，adj．病黄色的
jabber v．快而不清楚地说
mediocre adj．平庸的，平凡的
cavalier n．骑士，武士
remission n．宽恕，赦免
don v．穿衣，戴帽
pacifier n．调停者，和解人
upsurge n．（情绪）高涨
mortification n．耻辱，屈辱
succulent adj．多汁的，多水份的
rapine n.劫掠，掠夺
pastoral adj．田园生活的，宁静的
concussion n．脑震荡，震动
relict adj．残存的
interdict v．禁止,切断(补给线)n．禁令
cow v.恐吓，吓倒
sensuality n．淫荡、好色
carat n．（宝石重量单位）克拉，（金子）开
executor n.遗嘱执行人
boor n．举止粗野的人，乡下人
bum v.流浪，乞讨，adj.差劲的
persnickety adj．势利的，挑剔的
nomadic adj．游牧的，流浪的
prompt v．促使,激起adj．敏捷的，迅速的
tend v．照料，看顾
offset v.抵销，补偿
cohesion n.内聚力
probing adj．好探索的,尖锐的
arbiter n．权威人士，泰斗
lacklustre adj．无光泽的，呆滞的
pedantry n．迂腐
corrugation n．波浪形状，起皱纹
vandalize v．肆意破坏
exaggerate v.夸张,夸大
impunity n．免除惩罚
internment n．拘禁
eavesdrop v．偷听，窃听
arabesque n．蔓藤图饰
remodel v．重建，改变形状
abysmal adj．极深的，糟透的
lava n．熔岩
reckless adj．轻率的，鲁莽的
ontology n．实体论，本体论
ruminative adj．沉思默想的
traverse v．横过，扫过
subtlety n．狡猾，微妙（的感情）
deposition n．免职，沉积
frowzy adj．不整洁的，污秽的
refulgent adj．辉煌的，灿烂的
canonical adj．符合规定的，经典的
tambourine n．铃鼓，手鼓
podium n．讲坛,指挥台
entrenched adj．(权力,风俗等)确立的,确定的
arrogance n．傲慢，自大
tremor n．震动，地震
abstain v．自动戒绝，抑制
emblematic adj．作为象征的
profanity n．不敬,渎神
intrigue v．密谋，引起极大兴趣
titular adj．有名无实的，名义上的
canard n．谣言，假新闻
barbarity n.残忍,残暴
abridgment n．删节，节本
illuminating adj．启示性的，启发的
seascape n．海景
jettison v．向外抛弃，n．抛弃的货物
penetrate v．刺穿，渗入，了解
intransigence n．不妥协，不让步
sovereign n．最高统治者，元者
beat v.心跳,搅拌
treachery n．阴险，背叛
porcine adj．猪的,似猪的
enzyme n．酵素,酶
entreat v．恳求
poignant adj．伤心的,尖锐的
coma n.昏迷状态
ballyhoo n.大肆宣传
banter n.v.嘲弄，戏谑
screed n．冗长的演说，长篇大论的文章
satiety n．饱足，满足
scoff n．v．嘲笑，笑柄
compendious adj.简洁的，简要的com+pend(挂)+ium→挂在一起→概要
shabby adj．破烂的，卑鄙的
consequential adj．产生后果的，重要的
drudge v．劳碌，做苦差事，n．劳碌的人
overture n．前奏曲、序曲
lint n．保护伤口的软布
chimera n．神话怪物，梦幻
pecuniary adj．金钱上的，金钱的（
outfox v．以机智胜过
drenched adj．湿透的
accolade n．推崇备至，赞扬
eaves n．屋檐
indiscretion n．不谨慎的、鲁莽的
prudish adj．过分守礼的，假道学的
incarcerate v．下狱，监禁
rite n．（宗教的）仪式
exotic adj.珍奇的,来自异国的
fascination n．魅力,娇媚
beguiling adj．欺骗的，迷人的
jade n．疲惫的老马，玉，翡翠
syringe n．注射器
innuendo n．含沙射影，暗讽
gluttony n．暴饮暴食
