compatibility n.和谐共处，不矛盾
dotage n．老年糊涂，溺爱
willful adj．任性的，故意的
unscrupulous adj．肆无忌惮的，无天理的
loquacious adj．多嘴的，饶舌的
growl v．（动物）咆哮，吼叫
schematic adj．扼要的，图解的
legion n．兵团，一大群
hoodwink v．蒙混，欺骗
expendable adj.可耗尽的,可牺牲的
lapse n．失误，（时间等）流逝
boudoir n（女人的）化妆室，闺房
impertinent adj．不恰当的，粗鲁的
unaffected adj．自然的，不矫揉造作的
balm n.香油,药膏
aficionado n.爱好者
indisposed adj．不愿意的，身体不适的
protocol n．外交礼节,协议
obstinate adj．固执的，倔强的
propensity n．嗜好,习性
rifle n．步枪，v．洗劫，抢劫．
yeast n．酵母，兴奋
desist v.停止，中止
temporary adj．短暂的，暂时的
coercion n.强制，高压统治
calibre n．（枪等）口径，（人或事）品质，才能
reinforce v．加强力量，增援
ascend v．上升，攀登
orifice n．小开口，小孔
canary n．金丝雀，女歌星
ensign n．舰旗(船上表示所属国家的旗帜)
callous adj．结硬块的，无情的
jubilation n．喜悦，欢呼
incubation n．孵卵期，潜伏期
impressionable adj．易受影响的
nick n．小伤口，刻痕
magnification n．放大，扩大
divergence n．分歧，分开
soak v．浸泡，渗透
indiscriminate adj．不加选择的
euphonious adj.悦耳的
shred v.切成细条，撕成碎片
alchemy n．炼金术
falsification n．窜改
verdant adj．青葱的，翠绿的
truce n．停战，休战（协定）
wacky adj．（行为等）古怪的，愚蠢的
scenario n．剧情说明书，剧本
hobble v．蹒跚，跛行
antagonism n．对抗，敌对
percolate v．过滤出，渗透
menagerie n.兽群，动物园
narcissism n．自恋，自爱
bazaar n.集市,商店集中区
stoop 　v．俯身，降低身份
quirk n．奇事，怪癖
conjecture v．n．推测，臆测
convulse v．使震动，震惊
contemplate v．深思，（严肃）注视
maestro n．音乐大师
ignite v．发光，燃烧
schematize v．扼要表示
repentance n．悔恨
synapse n.突触(指一个神经元的轴突接触并影响另一个神经元的树突或胞体的部位)
helve n．斧柄
sketchy adj．概略的，粗略的
tenuous adj．细薄的，稀薄的，空洞的
estimable a.值得敬重的，可估计的
subvert v．颠覆，推翻
chorus n．合唱队，歌舞团
peek v．偷看
mandate n．命令，指令，v．批准
entreat v．恳求
advisory adj．劝告的
supernal adj．天堂的，天上的
pleat n．(衣服上的)褶
ensign n．舰旗(船上表示所属国家的旗帜)
truculent adj．残暴的，凶狠的
latitude n．言行自由，纬度
snips n．铁剪
dupe n．受骗的人，上当者
rapine n.劫掠，掠夺
abattoir n.屠宰场，角斗场
linear adj．线的，成直线的
entrepreneur n．企业家，创业人
suitor n．求婚者，（法律）原告
primeval n．原始的,早期的
stoic 　n．坚忍克己之人
acoustics n．声学
depute v．派…为代表或代理
opaque adj．不透明的，难懂的
imperil v．使陷于危险中，危及
dissemble v．隐藏、掩饰（感受，意图）
adopt v．收养，采纳
travail n．艰苦劳动，痛苦
brutal adj．残忍的，严酷的
elaboration n详细说明,细致的工作
derisive adj．嘲弄的
besiege v．围攻，困扰
tapestry n．挂毯，丰富多采的画面
cloy n.(吃甜食)生腻，吃腻
indoctrinate v．灌输思想
flatulence n．肠胃气胀
plod v．重步走,吃力干
doctrinaire n．空论家，adj．教条的，迂腐的
pinch v．捏，掐n．一撮，一点
cannibalism n．同类相食
egocentric adj．自我中心的，利己的
snooty adj.自大的，傲慢的
spontaneous adj．自发的，自然的
hinterland n．内地，穷乡僻壤
expenditure n.消耗,支出
saliferous adj．含盐的，产盐的
fleece n．生羊皮，羊毛
funk n.恐惧，恐怖
fallacious adj．欺骗的，谬误的
blithe adj．快乐的，无忧无虑的
disjointed adj．脱节的，杂乱的
uncharted adj．地图上没标明的
pamphlet n．小册子
legislate v．制定法律
debilitate v．使衰弱
pierce v．刺透，穿过
expropriate v．充公，没收
grotesque adj．怪诞的，古怪的
governance n．统治，支配
charades n．用动作等表演的字谜游戏
abnegation n．克己，自制
insignia n．徽章，袖章
unwitting adj．无心的，不经意的
crumple v．弄皱，扭弯
metaphysics n．形而上学，玄学
hibernation n．冬眠
stash v．藏匿，隐藏
nicotine n．尼古丁
apparel n．（精致的）衣服
larynx n．喉
poise v．使相等,使平衡n．泰然自若,信心
movement n．（交响乐）乐章
respiration n．呼吸
iguana n.美洲大蜥蜴
file n．锉刀v．锉平
timely adj．适时的，及时的
exultant adj．愉悦的
shrivel v．枯萎，皱缩
awl n.[钻皮革的]尖钻
scribble v．乱写、乱涂
self-assertion n．坚持己见，自信
retort v．反驳
infest v．骚扰，扰乱
idyll n．田园生活，田园诗
capitation 　n．人头税，丁税
vintner n．酒商
icing n．糖衣，糖霜
implacable adj．难以满足的、难平息的
convoluted adj．旋绕的，费解的
purgative n．泻药
mansion n．公馆，大厦
boost v．往上推，增加，提高
rubble n．（一堆）碎石，瓦砾
gosling n．小鹅，年轻无知的人
hoyden n．粗野的女孩，野丫头
wan adj．虚弱的，病态的
genuflect v．曲膝半跪（以示敬意），屈从．
rodent n．啮齿类动物（如鼠等）
plateau n．高原，平稳的状态
ersatz adj．代用的,假的
prospectus n.章程，内容简介
obtrude v．突出，强加
icon n．圣像，偶像
synonymous adj．同义的
storehouse 　n．宝库，见识广博之人
initiative n．主动，首创精神
outmoded adj．不再流行的，过时的
hoard v．n．贮藏，秘藏
oculist n．眼科医生
spiral n．螺旋，螺线
demeanor n．举止，行为
reticent adj．沉默不语的
hiatus n．空隙，裂缝
paranoid adj．偏执狂的，过份怀疑的
supplicant n．乞求者，恳求者
firmament n.苍穹，天空
compensate v.补偿，赔偿
pother n.烦恼，喧闹
onus n．义务，责任
therapeutic adj．治病的
saliva n．唾液，口水
absurdity n．荒谬
plead v．恳求,提出…为理由
vitiate v．削弱，损害
burlesque n．讽刺或滑稽的戏剧
tousle v．弄乱（头发）
ignorance n．无知
reflect v．反射，仔细考虑
preface n．序言,开端
lump n．一块，肿块，v．形成块状
pending adj．即将发生的，未决的
invincible adj．不可征服的，难以制服的
exhaustion n.疲备,耗尽
detonate v．（使）爆炸，引爆
lucre n．钱，利益
cavil v．挑毛病，吹毛求疵
cavalier n．骑士，武士
cravat n．领巾，领结
nebula n．星云，喷雾剂
dissemble v．隐藏、掩饰（感受，意图）
reversion n．返回（原状，旧习惯），逆转
glisten v．闪烁，闪耀．
vibrant adj．振动的，明快的，生气勃勃
senile adj．年老的
cravat n．领巾，领结
pullulate v．繁殖,剧增
traverse v．横过，扫过
labyrinth n．迷宫
fussy adj．爱挑剔的
internment n．拘禁
sapient adj．有智慧的
waffle v.胡扯，含糊其辞
iniquitous adj．邪恶的，不公正的
benighted adj.愚昧的
heir n．继承人
bamboozle v.欺骗，隐瞒
mettle n．勇气，斗志
niggardly adj．吝啬的，勉强的
infidel n．不信教者，异教徒
plenitude n．完全,大量
slumberous adj．昏昏欲睡的
espouse v．支持，拥护
contumacy n．抗命，不服从
woozy adj.糊里糊涂的，头昏的
infest v．骚扰，扰乱
cannibalism n．同类相食
razzle n.狂欢聚会
prowess n．勇敢,不凡的能力
satanic adj．穷凶极恶的
feedback n．（信息的）反馈
even adj.平坦的v.使平,使相等
compile v.汇集，编辑
stolid 　adj．无动于衷的，感情麻木的
scintilla n．一点，丝毫
humiliate v．使屈辱，使丢脸
mollycoddle v．过份爱惜，娇惯n．娇生惯养的人
entice v．纵恿，引诱
umpteen adj.汗多的，大量的
shibboleth n．陈旧语句，习俗
deference n．敬意，尊重
celerity n．快速，迅速
ferocity n．凶猛，残暴
treadmill n.踏车，单调乏味的工作
obloquy n．大骂，斥责
rationale n．基本原理，根据
garret n．阁楼、顶楼小室
gleaner n．拾落穗的人
quintessence n．典型，完美的榜样，精华
rubble n．（一堆）碎石，瓦砾
tenuous adj．细薄的，稀薄的，空洞的
hummock n．小园丘
bankrupt adj.破产的
purveyance n．粮食的供给
hummingbird n．蜂鸟
convert v．使改变（信仰等）n．改变信仰的人
plenitude n．完全,大量
abet v．教唆，协助（罪犯）
offense n．错事，得罪
deposition n．免职，沉积
ensconce v．安置,安坐
rent n．裂缝，（意见）分歧
remains n．遗址，废墟
showpiece n．陈列品、精品、样品
overdose n．（药物）过度剂量
cumbersome adj．笨重的
full-fledged adj．羽毛丰满的，成熟的
obstacle n．障碍，干扰
crayon n．彩色笔、粉笔或其绘画
refulgent adj．辉煌的，灿烂的
beatitude n．至福，十分幸福
ineffable adj．妙不可言的，说不出的
populace n．民众,老百姓
evanescent adj.短暂的,瞬息的
yeoman n．自耕农，乡下人
betray v．背叛，暴露
seine n．拉网，大捕鱼网
aphasia n．失语症
drizzle v．n．下毛毛雨，毛毛雨
vendetta n．世仇，宿怨
withdraw v．撤退，收回
vent v．发泄（情绪），开孔，n．孔、口
inconsolable adj．无所慰籍的，极度沮丧的
boisterous adj．喧闹的，欢闹的
reflective adj．深思熟虑的
rigor n．严厉，酷厉
amble n．v．漫步，缓行
fallacy n．谬误，错误
emaciated adj.瘦弱的
abridgment n．删节，节本
lance n．长矛、鱼叉
full-fledged adj．羽毛丰满的，成熟的
audit v.审计,核对,旁听
spiny adj．针状的，多刺的
bane n.祸根
vehicle n．交通工具，传播媒介
rawhide n．（牛的）生皮
dulcet adj．（声音）悦耳的，美妙的
scramble v．攀登，争夺
chrysanthemum n．菊，菊花
ascetic adj．禁欲的n．苦行者
gaiety n．欢乐，快活
salutation n．致敬，（信开头）称呼
baffling adj.令人困惑的
anthropology n．人类学
corrugate v．（使）起波浪形，起皱纹
fledgling n刚学飞的幼鸟，无经验的人
discrete adj．个别的，不连续的
staple n．钉书钉
cypress n．柏树
overreach v．做事过头
brilliant adj．辉煌的，才气焕发的
nymph n．年轻女神，少女
radiance n．发光，喜悦
alienated adj．疏远的，被隔开的
dilapidated adj．破旧的，倒塌的
canker n.溃疡，弊害
mendicant adj．行乞的n．乞丐
incoherent adj．（思想文字）不连贯的
frigate n.护航舰，大型驱逐舰
conceive v．怀孕，构想
cannibal n．食人者，食同类的动物
strait 　n．海峡，adj．狭窄的
lexical adj．词汇的、词典的
puerility n．稚气,幼稚
deign v．屈尊，惠允（做某事）
entrust v．委托,付托
interaction n．相互作用（影响）
gormandize v．拼命吃，贪吃
abide v．容忍，忍受
tributary adj．n．支流（的），进贡（的）
vendor n．小贩
personification n．典型，完美榜样
discretion n．谨慎，审慎
lope n．轻快的步伐，v．轻快地迈着大步
suffrage n．选举权，投票权
numinous adj．庄严的，神圣的
laity n．信徒，外行
scum n.泡沫，社会渣滓
portent n．凶兆,异兆
sieve n．筛，滤杓v．筛出、滤出
gnawing adj．痛苦的，折磨人的
flaring adj．火焰摇曳的，过份艳丽的
abduct v．绑架，拐走
clinch v.钉牢，彻底决定
aggregate v．集合，合计
sober adj．清醒的，庄重的
incriminate v．连累，牵连
pugilism n．拳击,搏击
pander v.迎合
propulsion n．推进力
poser n.不易处理之事
cub n．幼兽，年轻无经验的人
detachment n．分离、超然、公平
trigger n．板机，v．引发，导致
infringement n．违反，侵害
exorbitant adj.过份的,过度的
furlough n．休假
tardy adj．缓慢的，迟缓的
tattle v.闲谈，泄密
opulent adj．富裕的，充足的
ascend v．上升，攀登
closure n.关闭，中山
authoritative adj.权威性的,命令式的
subpoena n．（法律）传票，v．传讯
cripple n．跛子，v．（使）残废
fortress n．堡垒，防御工事
amalgam n．混合物
transition n．过渡时期，转变
fern n．羊齿植物，蕨
hoary adj．（头发）灰白的，古老的
inhumane adj不近人情的
pugnacious adj．好斗的
obloquy n．大骂，斥责
knave n.不诚实的人，无赖
allergic adj．过敏的，对…讨厌的
rehabilitate v．修复恢复（职位等）
purveyance n．粮食的供给
cornet n．短号．圆锥形蛋卷（cone）
miniature n．小画像，缩影
graphic adj．图表的，生动的
polish v．把…擦光亮n．上光剂,(态度等)优雅
usurious adj．放高利贷的
flunk v．考试不及格
polemic n．争论,论战
pristine adj．太古的,纯洁的,新鲜的
polarity n．极端性,二极分化
defunct adj．死亡的，过时的
tableland n．高原，台地
groggy adj．体弱的，不稳的
abstracted adj．心不在焉的
igneous adj．火的，火绒的
fealty n．效忠
parky adj.寒冷的，很冷的
puissant adj．强有力的,强大的
inflammable adj．可燃的，易激怒的
contrived adj．不自然的，人造的
cheetah n．猎豹
overwrought adj．紧张过度的，兴奋过度的
disgruntled adj.心境不佳的，不满的
quell v．制止、镇压
hierarchy n．阶层，等级制度
terrestrial adj．地球的，陆地的
sever v．切断，脱离
puritanical adj．极端拘谨的
halcyon adj．平静的，愉快的
quench v．熄灭（火），抑制（欲望）
deficiency n．缺陷，不足
nasal adj．鼻的，有鼻音的
countermand v．撤回（命令），取消（订货）
speculation n．思索，推测，投机
rudiments n．基础知识，入门
supplement v　n．增补，补充
compendium n.简要，概略
mournful adj．悲伤的
relinquish v．放弃，废除
surmount v.克服，战胜，越过
elocution n.演说术
perish v．死，暴卒．
caret n．加字符号（∨，∧）
fatuity n愚蠢，愚味
guy n．（铁塔等的）支索，牵索
pirouette n．v(舞蹈)脚尖立地的旋转
castigate v．惩治，严责
yaw v．（船，飞机等）偏航
viscous adj．粘的
tenor n．男高音，要点，要旨
starchy adj．含淀粉的，刻板的
gargantuan adj．巨大的，庞大的
liverish adj．患病的（尤指暴食所至），易怒的
susceptible adj　易受影响的，多情的
gratuity n．赏钱，小费
gustation n．品尝，味觉
petulant adj．性急的，暴躁的
exude v.使慢慢流出,四溢
dorsal adj．背部的，背脊的
turquoise n．绿松石，adj．碧绿的
philately n．集邮
prudence n．谨慎,小心
empirical adj．经验的、实证的
harridan n．凶恶的老妇，老巫婆
incite v激发，刺激
coalition n.结合，联合
immemorial adj．太古的，极古的
maturity n．成熟
warrant n．正当理由，逮捕证
granulate v．使成颗粒
narky adj.易生气的，讽刺的
insulin n．胰岛素
wizened adj．干皱的，干巴巴的
moat n．壕沟，护城河
garrulity n．唠叨，饶舌．
decelerate v．（使）减速
vermin n．害虫，寄生虫
overweening adj．自负的，过于自信的
unprovoked adj．（生气等）无缘无故的
percussion n．撞击，敲击
rodent n．啮齿类动物（如鼠等）
chipmunk n．花粟鼠(和中象松鼠的美洲小动物)
relict adj．残存的
helping n．一份或一客食物
forum n．辩论的场所，讲坛
baffle v.使困惑,难倒
lineal adj．直系的，嫡系的
granite n．花岗石gran（＝grain颗粒）＋ite→颗粒状石头→花岗岩．
nomenclature n．术语，命名系统
surrogate n．代替品，代理人
intaglio n.凹雕艺术
hapless adj．不幸的
mediate v．调停
sprinkler n．洒水装置，洒水车
vainglorious adj．自负的，虚荣心强的
legacy n．遗产，遗留之物
replicate v．重复，复制
rhythmic adj．有节奏的
epoch n．纪元,划时代的大事
autocracy n.独裁政体
liaison n．联系，暖昧关系
minnow n．鲦鱼，小淡水鱼
dehydrate v．除去水份，脱水
perplexity n．困惑，茫然
gall n．胆汁（bile），怨恨（hatred）
informer n．告发者，告密者
prevalent adj．普遍的,流行的
resignation n．听从，辞职
sifter n．筛子
ballad n.歌谣,小曲
plebeian n．adj．平民,平民的
negligible adj．可忽略的，无关紧要的
lassitude n．无力，没精打采
gusher n．滔滔不绝的说话者，喷油井
invoice n．v．发票，开发票
requite v．报答，报复
gall n．胆汁（bile），怨恨（hatred）
ferrous adj．含铁的
tantalize v．挑惹，挑逗
roan n.杂色马
effortless adj．不费力的
nestle v．舒适地安顿，依偎在
thicket n．树丛，灌木丛
dissenter n．持异义者
eclogue n．田园诗，牧歌
flange n．（火车车轮的）凸缘，轮缘
reconcile v．和解，调和
exertion n.努力，用力
potentate n．统治者,当权者
denominate v．命名，取名
acorn n．橡实，橡子
hasten v．催促，促进
primate n．灵长类(动物)
humanity n．人类，人文学科
swarm v．攀爬
wreak v.泄愤，报仇
retail v．n．零售
genial adj．愉快的，脾气好的．
exacting adj.苛求的，要求严格的
contiguity n．邻近，接壤
repletion n．充满，吃饱
broil n.v.争吵，怒骂
avaricious a.贪婪的,贪心的
discrepancy n．不同，矛盾
aseptic adj．无菌的，洁净的
reagent n．试剂（导致化学反应）
exotic adj.珍奇的,来自异国的
pare v.削去，剥去
tutelage n．监护，指导
taciturn adj．沉默寡言的
orientation n．定向
deposition n．免职，沉积
drudge v．劳碌，做苦差事，n．劳碌的人
spiny adj．针状的，多刺的
panacea n．万灵药
stencil n．（用以刻写图案，文字的）模板v．用模板刻写
extinction n．熄灭,消灭
lukewarm adj．微温的，不热心的
reflection n．反射
hipster n.赶时髦的人
flak n．高射炮，指责
diplomatic adj．外交的，圆滑的
firefly n．萤火虫
waspish adj．易怒的，尖刻的
oculist n．眼科医生
recreation n．娱乐，消遣
tuxedo n．礼服，无尾礼服
brim n．（杯）边，缘v．盈满
seedling n．幼苗
maverick n．独行者，想法与众不同的人
statute n．法规，法令
funk n.恐惧，恐怖
skirmish n．小战，小争吵
risque adj.下流的，淫猥的
molest v．骚扰，干扰
feasible adj．可行的，可能的
barge n.平底货船,驳船
appeasement n．平息，满足
latency n．潜伏期
allegation n．（无证据的）指控
roundabout adj．绕远道的，转弯抹角的
disfranchise v．剥夺…的权力（尤指选举权）
artillery n．大炮，炮兵
fascinate v．迷惑,迷住
regent n．摄政者（代国王统治者）
obstruction n．阻挠，障碍物
wilt v．使…凋谢，枯萎
fantasia n．幻想曲,组合乐曲
tribute n．贡物，赞辞
residue n．剩余（财产）
lucubration n．刻苦研究
haughtiness n．傲慢
avaricious a.贪婪的,贪心的
respite n．休息，中止，暂缓
pugilism n．拳击,搏击
paleolithic adj．旧石器时代的
figurative adj．比喻的，借喻的
premium n．保险费,奖金
watershed n.分水岭，流域
nestle v．舒适地安顿，依偎在
scribble v．乱写、乱涂
jeer v．嘲笑
fabricate v．控造,制造
expendable adj.可耗尽的,可牺牲的
suffice v．足够，（食物）满足
warp n．v．翘起，弯曲
waffle v.胡扯，含糊其辞
engrossing adj．引人入胜的
snub v．冷落，不理睬
xenophobia n．仇外，排外
miscreant n．恶棍，歹徒
straitened adj.贫困的
frivolous adj．轻泛的，轻佻的
equable adj．稳定的,不变的，(脾气)温和的
alluvial adj．冲积的
reparable adj．能补救的，可挽回的
monotonous adj．单调的，无聊的
infamy n．恶名昭彰
bulwark n．堡垒，保障
impresario n．（剧院或乐团等）经理人，主办者（
scarp n．悬崖，陡坡
collude v.串通，共谋
abhorrent adj．可恨的，可厌的
elastic adj.有弹性的,灵活的
perpetuate v．使永存，使永
implore v．哀求，恳求
caterpillar n．毛虫，蝴蝶的幼虫
literati n．文人，学者（复数）
goblet n．高脚酒杯
rebuke v．指责，谴责
tumid adj．肿起的，肿胀的
prickle n．(动物或植物上的)刺,棘v．刺痛
bullion n．金条，银条
predilection n．偏好
fervor n．热诚，热心
covert adj．秘密的，隐密的
humdinger n.极好的人或事
insertion n．插入，插入物
dissenter n．持异义者
archipelago n．群岛
hawk n．隼鹰
equity n．公平，公正
vacuous adj．发呆的，无意义的
exhaustion n.疲备,耗尽
fascia n．饰带，(商店上挂的)招牌
noxious adj．有害的，有毒的
audition n.(演员等)试唱
iniquity n．邪恶，不公正
palisade n.篱笆，栅栏
fanaticism n．狂热盲信
hummingbird n．蜂鸟
parable n．寓言，比喻
flirt v．挑逗，调戏
taunt v．嘲笑，讥笑
precipitation n．急躁,降雨(量)
intrepid adj．无畏的，刚毅的
self-possession n．沉着，镇定
parky adj.寒冷的，很冷的
knackered adj.疲乏的，疲倦的
fraternal adj．兄弟的，友善的
collateral adj.平行的，旁系的
salacious adj．好色的，淫荡的．
pundit n．权威人士,专家
curator （博物馆等）馆长
suitor n．求婚者，（法律）原告
devotion n．献身，热爱，虔诚
laity n．信徒，外行
abode n．住处，住所
repatriate v．（自异国）遣返
foodstuff n．食料，食品
relaxation n．松弛，消遣
humanity n．人类，人文学科
vendetta n．世仇，宿怨
adversity n．不幸，灾难
jazzy adj．吸引人的，花哨的
prosecute v．告发,检举
munificent adj．慷慨的，大方的
fictitious adj．假的、虚构的
mace n．权杖
ploy n．花招,手段
hazard n．危险
barge n.平底货船,驳船
pedigree n.家谱，纯种系谱
accretion n．自然的增加，增加物
mollify v．安慰，安抚
erudite adj．博学的，饱学的
tumid adj．肿起的，肿胀的
abracadabra n.咒语，胡言乱语
promenade n．v．散步,开车兜风
manifesto n．宣言，声明
dupe n．受骗的人，上当者
pepsin n．胃蛋白酶
upswing n．上升，增长
purebred adj．(动物)纯种的
execrable adj极坏的
grove n．小树林，树丛
truism n．自明之理，真理
negation n．取消
lucre n．钱，利益
lore n．知识，全部传说
panegyric n．颂词，颂扬
stutter v．n.口吃，结巴
liquidation n．清除，停止营业
zygote n．接合子，受精卵
ideology n．意识，意识形态
gestation n．怀孕，孕育时期
slay v．杀，残杀
shabby adj．破烂的，卑鄙的
sleek v．（使）光滑，adj．光滑的，整洁的
torque n．转矩，项圈
prevailing adj．盛行的,流行的
succulent adj．多汁的，多水份的
obsolescent adj．即将过时的
rebuke v．指责，谴责
expire v.期满,去世
impassioned adj．慷慨激昂的
crank n．曲柄，古怪的人
protest n．v．抗议,反对
geniality n．和蔼，温和
rummage n．翻寻
devolution n.委托，移交
amulet n.护身符
ablution n．（宗教的）净礼，沐浴
rejoinder n．回答
hygiene n．卫生学，卫生的
discography n.唱片分类目录
imperceptible adj．觉察不到的
jesting adj．滑稽的，好笑的
girdle n．腰带，转绕物v．环绕
sleek v．（使）光滑，adj．光滑的，整洁的
noxious adj．有害的，有毒的
ambiguous adj．含糊的，不坦率的
remission n．宽恕，赦免
avocation n.副业,嗜好
feedback n．（信息的）反馈
sagacity n．聪慧，洞察力
fleece n．生羊皮，羊毛
aria n．独唱曲，咏叹调
dislocation 脱节，动乱
rejuvenate v．使返老还童，回春
scour v．四处搜索
frantic adj．疯狂的，狂乱的
fallow n．adj.休闲地,休闲的
inflated adj．充气的，骄傲的
bale n.大包裹,灾祸,不幸
austerity n.朴素,艰苦
maze n．迷宫
pastor n．牧师，牧人
whelm v．用…覆盖，淹没
disband v．解散（团体）
congregate v．聚集，集合
condescend v．屈尊，俯就
