clammy adj.冷湿的，冷粘的
manipulative adj．操纵别人的，老于世故的
adulate v．谄媚，奉承
candidature n．候选人的资格
sagacity n．聪慧，洞察力
regiment n．（军队）团v．严格控制
explicit adj.清楚明确的
partiality n．偏袒，偏心
fluke n．侥幸，偶然的机会
frolicsome adj．快活的，欢乐的
frustrate v．挫败，使沮丧
exceptional adj.特别(好)的
persuasive adj．能劝说的，善于游说的
purveyance n．粮食的供给
spoor n．（野兽的）足迹
gyroscope n.陀螺仪，回转仪
prudish adj．过分守礼的，假道学的
jeer v．嘲笑
skeptical adj．怀疑的
cavern n．大洞穴
divagate v．（文章或谈话）离题，漂泊
traitor n．卖国贼，叛徒
charity n．仁慈，施舍．
lustre n．光亮，光泽
absurdity n．荒谬
stain v．玷污，染色
rancid adj．不新鲜的，变味的
ruminative adj．沉思默想的
vampire n．吸血鬼
insurgent adj．叛乱的,起事的n叛乱分子
atlas n.地图集
spunk n．勇气，胆量
dexterous adj．灵巧的，熟练的
vigilant adj．机警的，警惕的
revocation n．废弃，取消
lido n．浴场，公共游泳池
magnification n．放大，扩大
nonplus v．使窘困，狼狈不堪
wiliness n．狡猾，诡计多端
opiate n．安眠药，鸦片制剂
arduous adj．费力的，艰难的
fretful adj．烦躁的
denomination n．命名，（长度，币值的）单位
carnage n．大屠杀，残杀
rhapsody n．溢美之词，狂想曲
knowledgeable adj．有丰富知识的，博学的
oath n．誓约，誓言
prank n．恶作剧,玩笑
dilemma n．困境，左右为难
autocracy n.独裁政体
amenable adj．愿服从的，通情达理的
identify v．认明，认出
overwrought adj．紧张过度的，兴奋过度的
indivisible adj．不可分割的，不可分裂的
sling v．投掷，扔，n．吊腕带，吊索
filch v．偷（不贵重的东西）
debonair adj.美丽的，温雅的
illusory adj．虚幻的
hypotenuse n．（直角三角形的）斜边
perceptive adj．感觉敏锐的
solicitation n．恳求，教唆
canon n．经典，真作
mask n．假面具，v．隐藏（感情）
dilettante n．半瓶醋，业余爱好者
rendezvous n．约会，约会地点，会合
denominate v．命名，取名
viscous adj．粘的
foreboding n．预感，预兆
detoxicate vt．除毒，解毒
credulous adj．轻信的，易信的
incriminate v．连累，牵连
solicit v．恳求，乞求，教唆
defame v．诽谤，中伤
hew v．砍伐
succinct adj．简明的，简洁的
felicitate v．祝贺、庆贺
parsimonious adj．太节省的，小气的
perplexed adj．困惑的
obscurity n．费解，不出名
justifiable adj．有理由的，无可非议的
lesion n．伤口，损害
extremity n．极度,绝境
ramp n.v.诈骗，索高价
congest v．充血，使拥挤
compulsory adj．强制性的，命令性的
justifiable adj．有理由的，无可非议的
yeast n．酵母，兴奋
relict adj．残存的
stodgy 　adj．艰涩难懂的，乏味的
belch v.打嗝，喷出
imbibe v．饮，吸入
scud v．疾行，疾驶
circumvent v.用计谋战胜，规避
molar n．臼齿
proverbially adv．无人不知地
dolorous adj．悲哀的，忧愁的
radiance n．发光，喜悦
illegible adj．难读的，难认的
buxom adj．体态丰满的
miscellaneous adj．多种的，混杂的
stalk v．隐伏跟踪（猎物）
immunize v．使免疫
composure n．镇静，沉着，自若
emission n．发出，发光,放射物
paroxysm n．突发，阵发
opulence n．富裕
debrief v．向…询问情况，汇报情况
dipsomania n．嗜酒狂
descant n.合唱，详述
autonomous adj.自治的,独立的
inhumane adj不近人情的
lively adj．快活的、生动的
dislocation 脱节，动乱
habitat n．自然环境，栖息地
ethnography n.人种学，人种论
moderator n．调解人，仲裁人
bald adj.秃头的
imperceptible adj．觉察不到的
antenna n．触角，无线
surrogate n．代替品，代理人
loaf n．一条（面包）v．虚度光阴
enactment n．颁布，扮演
fleece n．生羊皮，羊毛
coquetry n.卖弄风情，媚态
calibrate v．量…口径，标准。
sidereal adj．恒星的
subtlety n．狡猾，微妙（的感情）
vicinity n．附近，接近
elation n.得意、振奋
persistent adj．固执的，坚持的
degrade v．降格，降级
scrub n．矮树丛，身体矮小的人
clanger n.明显的错误
disport v．玩耍、嬉戏
tarry v.耽搁，延迟
ostrich n．鸵鸟，不接受现实的人
transcendence n．超越，卓越
decode v．译解（密码）
patriotism n．爱国主义，爱国心
weasel n．黄鼠狼，鼬，v．告密
precipitate v．加速,促成adj．匆忙的,鲁莽的
hanger n．衣架，挂衣钩
whimsical adj．古怪的，异想天开的
ordain v．任命，命令
condescend v．屈尊，俯就
helmsman n．舵手
randy adj.性欲冲动的，渴望的
incendiary adj．放火的，纵火的
affable adj．易于交谈的，和蔼的
penultimate adj．倒数第二的
contiguity n．邻近，接壤
engaging adj．迷人的，美丽动人的
scintillate v．闪烁、（淡吐）流露机智
sizzler n．炎热天气、大热天
propinquity n．邻近,亲近
herbivorous adj．食草的
seneschal n.管家，总管
integrated adj．整合的,完整的
hermitage n．隐居处
watershed n.分水岭，流域
destruction n．毁坏，毁灭（的原因）
crooked adj．弯曲的，扭曲的
appetizing adj　开胃的
despicable adj．可鄙的，卑劣的
greenhorn n．初学者，容易受骗的人
shove v．推挤，猛推
falsify v．窜改,说谎
omission n．遗漏，省略
couch n．长沙发，睡椅
raisin n.葡萄干
vortex n．漩涡，漩风
smear n．油渍，污点v．弄脏，玷污
kitsch n.迎合低级趣味的拙劣作品
rodent n．啮齿类动物（如鼠等）
beguile v．欺骗，诱骗
tautological adj．冗赘的，用语重复的
predicament n．困境,穷境
ignominious adj．可耻的，屈辱的
tack n．大头钉，图钉
pivot n．枢轴,中心v旋转
crooked adj．弯曲的，扭曲的
revocation n．废弃，取消
cetacean adj.鲸的，鲸类的
recalcitrant adj．固执的，顽抗的
intertwine v．纠缠,缠绕
eccentricity n．反常，怪癖
scared adj．害怕的，恐惧的
corrugate v．（使）起波浪形，起皱纹
gangway n．（上下船的）跳板
rhinestone n．水晶石，莱茵石
knoll n．小圆丘
suffrage n．选举权，投票权
subjugate v．征服，镇压
gripe v.抱怨，发牢骚
emulation n．竞争,仿效
heinous adj．可憎的，十恶不赦的
reinstate v．恢复（原职）
spiral n．螺旋，螺线
repugnant adj．令人厌恶的
tonality n．音质，音调
preempt v．以先买权取得,取代
petulant adj．性急的，暴躁的
helmet n．头盔，钢盔
pendulum n．摆，钟摆．
remediable adj．可纠正的，可治疗的
ample adj．富足的，充足的
opulent adj．富裕的，充足的
par n．同等，平均量
loaf n．一条（面包）v．虚度光阴
gloom n．黑暗，忧郁
bracing adj.振奋精神的
sip v．啜饮
calamitous adj．造成灾祸的
deity n．神，神性
invoice n．v．发票，开发票
deter v．威慑，吓住
respite n．休息，中止，暂缓
aviary n.大鸟笼,鸟舍
pulley n．滑轮,滑车
exodus v.大批离去,成群外出
expedition n.远征,探险
possessed adj．疯狂的
badger n.獾
indebted adj．感激的，感恩的
unwieldy adj．笨重的，笨拙的
unicorn n．（传说中的）独角兽
idyll n．田园生活，田园诗
jeremiad n．长篇声讨文字，哀叹
nasal adj．鼻的，有鼻音的
sunder v．分裂，分离
substantive adj．独立存在的，直接的
grasping adj．贪心的，贪婪的
captivate v．迷惑，吸引
cornet n．短号．圆锥形蛋卷（cone）
empathy n．心意相通,(感情等)融为一体
magistrate n．地方保安官
clientele n.(医生、律师的)顾客，(商店的)常客
synthetic adj．综合的，人造的
denominate v．命名，取名
kitsch n.迎合低级趣味的拙劣作品
fraudulent adj．欺骗的，不诚实的
baffling adj.令人困惑的
pendulum n．摆，钟摆．
cleft n.裂缝
obese adj．极肥胖的
granule n．小粒，微粒．
potation n．畅饮,饮料
palette n．调色板
replenish v．补充，再装满
descant n.合唱，详述
nostrum n．秘方药，万灵丹
nomadic adj．游牧的，流浪的
dulcet adj．（声音）悦耳的，美妙的
swirl n．v．旋转，漩涡
teetotal adj．滴酒不沾的
condescension n．自以为高人一等，贬低（别人）
splashy adj．大而显眼的，引人注目的
fawn n．未满周岁的小鹿,v.巴结,奉承
impostor n．冒充者，骗子
dabble v．涉足，浅赏
adore v．崇拜，热爱
skimpy adj．吝啬的，贫乏的
convocation n．召集，会议
cynicism n．愤世嫉俗，犬儒主义
medal n．奖牌，勋章
quisling n．卖国贼，内奸
inverse adj．相反的，倒转的
incrustation n.污垢，硬壳
incumbency n职责，义务
spunk n．勇气，胆量
flamboyant adj．艳丽的，炫耀的
scintilla n．一点，丝毫
senile adj．年老的
congregation n．集合在一起的群众
fender n．挡泥板，护舷的垫子等
receptacle n．容器
quirk n．奇事，怪癖
moor n．旷野地，荒野v．使（船）停泊
convoke v．召集会议
discriminating adj．有辨别能力的
masonry n．石工技术，石屋
flippant adj无礼的，轻率的
nuptials n．婚礼
demography n．人口统计，人口学
cipher n.零，无影响力的人，密码
pancreas n．胰脏
illustrious adj．著名的，显赫的
warden n．看守人，管理员
nostrum n．秘方药，万灵丹
limousine n．轿车，小客车
exhilarating adj.使人兴奋的
potable adj．适于饮用的
axiomatic adj.不需证明的,不言自明的
scrutinize n．详细检查，细读
testament n．遗嘱，证明
helmet n．头盔，钢盔
gratification n．满足，喜悦
unalloyed adj．未掺杂的，纯粹的
libido n．性欲，生命力
cussed adj.执拗的，顽固的
ardor n．热情，狂热
intimidate v．恐吓，协迫
flora n．（某地区或时代的）植物群
reclaim v．纠正，开垦（土地）
wanderlust n．漫游癖，旅游热
forebode v．预兆，凶兆
occidental n．adj．西方（的）
strident 　adj．尖声的，刺耳的
truism n．自明之理，真理
stint 　v．吝惜，节省
peccadillo n．小过失
delirious adj．精神错乱的
quartet n．四重奏，四重唱
pastor n．牧师，牧人
tack n．大头钉，图钉
characterization n．描绘、刻画
revoke v．废除，取消
exceed v.超过,超出
epistemology n．认识论(对知识本质的研究)
magnanimous adj．宽宏大量的，慷慨的
campanology n.钟学(研究铸钟及鸣钟术)
lean v．倾斜，斜靠adj．瘦骨嶙峋的
flick n．v．轻打，轻弹
disparity n．不同，差异
heterogeneous adj.异类的，不同的
obedient adj．服从的，顺从的
imminence n．急迫，危急
cathode n.(电)阴极，负极
nefarious adj．违法的，邪恶的
prattle v．闲聊,空谈
exceedingly adv.过份地
incivility n．无礼，粗鲁
freak n．怪物，奇事adj．反常的
resuscitate v．使复活，使苏醒
barge n.平底货船,驳船
continent adj．克制的，禁欲的
texture n．质地，结构
obstinate adj．固执的，倔强的
decomposition n．腐烂，崩溃
crave v．渴望，热望
osmosis n．渗透，潜移默化
lusty adj．精力充沛的
underplay v.轻描淡写，表演不充分
regime n．政权，政治制度
mast n．船桅，旗杆
seismic adj．地震的
eject v.喷出、逐出
solitary adj．孤独的，n．隐士
dictator n．独裁者
mesmerize v．对…催眠，迷住
limber adj．（肌肉）松软的，柔软的
repentant adj．对…感到悔恨的
contingency n．意外事件，可能性
hypothesis n．假设，假说
fulsome adj．虚情假意的，丰满的
trauma n．精神创伤，外伤
ingest v．咽下，吞下
paralysis n．瘫痪，中风
reverie n．幻想，梦幻曲
emission n．发出，发光,放射物
etiquette n.礼仪礼节
saliferous adj．含盐的，产盐的
pelagic a.远洋的
authorize v.授权,批准
detection n．查出、探获
improvise v．即席而作
percussion n．撞击，敲击
pantry n．食品室
vendetta n．世仇，宿怨
oracle n．代神发布神谕的人
exogamy n.异族通婚
fabric n．纺织品，结构
ooze v．慢慢地流，渗出，（勇气）逐渐消失
relentless adj．无情的，残酷的
frailty n．脆弱，弱点
relevance n．相关
revelry n．狂欢
tenacious adj．坚忍不拔的，固执的
somnolent adj．思睡的，催眠的
surly adj脾气暴躁的，阴沉的
divest (of)v．卸下盛装，剥夺
snuggle v．挨近，依偎
notch n．V字形刻痕，山间窄路
sagacious adj．聪明的，睿智的
ebb v．退潮、衰退
dislocate v．使脱臼，把…弄乱
glean v．拾落穗，收集（材料等）
attic n.阁楼,顶楼
grateful adj．感激的
cactus n．仙人掌
nonflammable adj．不易燃的
impel v．推进，驱使
extol v．赞美
prevision n．先见,预感
lean v．倾斜，斜靠adj．瘦骨嶙峋的
concoction n．调配（物），谎言
quandary n．困惑，进退两难
ingenuous adj．纯朴的，单纯的
chevron n.军警袖章，V形图案
futility n．无用，无益
monasticism n．修道生活，禁欲主义
explicate v.详细解说
affront v．侮辱，冒犯
abbreviation n．缩短，缩写
digress v．离题，把（话题）离开
trespass n．v．侵犯，闯入私人领地
simile n．直喻，明喻
forage n．（牛马的）饲料，粮草v．搜寻，翻寻
operative adj．（计划等）实施中的，生效的
imbecility n．低能，愚蠢
verify vt．证明，证实
scrutinize n．详细检查，细读
impasse n．僵局，死路
frolicsome adj．快活的，欢乐的
involved adj．复杂的，有密切关系的
cathode n.(电)阴极，负极
deride v．嘲弄，愚弄
sustenance n．食物，粮食，生计
claustrophobia n.幽闭恐怖症
pecuniary adj．金钱上的，金钱的（
credulity n．轻信，易信
urbane adj．温文尔雅的，懂礼的
astigmatism n．散光
inimical adj．为敌的，不友善的
spartan adj．简朴的，刻苦的
torpor n．有气无力，死气沉沉
asphyxiate v．（使）无法呼吸，窒息而死
granary n．谷仓，主要来源
bulb n．植物的球茎
jinx n.不祥的人(或物)
benevolence n．善心，仁心
impasse n．僵局，死路
intuitive adj．有直觉力的，直觉到的
procurement n．取得,获得
oomph n.精力，吸引力
eclogue n．田园诗，牧歌
licentious adj．纵欲的，放肆的
ebb v．退潮、衰退
muck n.堆肥，淤泥
apprise v．通知，告诉
flawless adj．完美的，无瑕疵的
scathing n.苛刻的,严厉的
copyright n．版权，著作权
heresy n．异端邪说
repine v．不满，心中抱怨
bibulous adj．高度吸收的，嗜酒的
psychiatry n．精神病学
hurl v．用力投掷
disputant n．争执者，争论者
nudity n．裸露
delectation n．享受，愉快
ramification n．分支，支流
steep v．浸泡，浸透
malevolent adj．有恶意的，恶毒的
providence n．深谋远虑,远见
internecine adj．内讧的,两败俱伤的
addle v．使腐坏，使昏乱
clinch v.钉牢，彻底决定
synonymous adj．同义的
hummock n．小园丘
centripetal adj．向心的
obligation n．责任，债务
compel v.强迫，引起
intumescence n．肿大，肿胀
traverse v．横过，扫过
dual adj．双重的
chivalrous adj．武士精神的，侠义的
scared adj．害怕的，恐惧的
bagatelle n.小事，琐事
discourteous adj．不恭的，不敬的
finable adj．应罚款的
ballad n.歌谣,小曲
resurrection n．复活
amortize v．分期偿还
armada n．舰队
benign adj．慈祥的
scuttle v．急赶、疾走，逃辟
dwarf n．侏儒，矮小的植物v．阻碍…的正常发育
bequest n．遗产，遗赠物
forte n．长处，擅长，adj．（音乐）强音的
trial n．审判，尝试
introspection n．内省，反省
strife n．纷争，倾轧
rue n．后悔，遗憾．
gimmick n．吸引人的花招，噱头
crumple v．弄皱，扭弯
frolic n．v．嬉戏，雀跃．
indefinite adj．模糊的，不确定的
aviary n.大鸟笼,鸟舍
residual adj．残余的，剩余的
matey adj.友善的，亲密的，n.好友(
protrusive adj．伸出来的,突出的
inspiration n．（思考而得的）启示，灵感
vibrant adj．振动的，明快的，生气勃勃
gangling adj.瘦长得难看的
intact adj．完整的,未动过的
mores n．风俗习惯，道德观念
anthology n．诗集，文选
lucubrate v．刻苦攻读，埋头苦干
format n．样式，形式
subtlety n．狡猾，微妙（的感情）
conjugal adj.婚姻的，夫妻的
populous adj．人口稠密的，人民多的
encomium n．赞颂，颂辞
auction n.拍卖
savage adj．凶猛的，野蛮的
doleful adj．忧愁的，消沉的
pergola n.棚架，凉棚
eclogue n．田园诗，牧歌
amoral adj．不知是非的
potentate n．统治者,当权者
abject adj．极可怜的，卑屈的
soil v．n．弄脏，污损
chuckle v．轻声地笑
heavy-handed adj．笨手笨脚的
remit v．免除，宽恕，汇款
prestigious adj．有名望的,有威信的
voluminous adj．长篇的，多产的，庞大的
gastric adj．胃的，胃部的
uncommitted adj．不受约束的，不承担责任的
genetics n．遗传学
steeple n．尖塔，尖阁
torso n．（人体的）躯干，躯干像
fishery n．渔场
scalpel n．外科手术刀，解剖刀
protocol n．外交礼节,协议
altar n.祭坛，圣坛
gloomy adj．阴暗的，没有希望的
magisterial adj．有权威的，威风的
disengaged adj．空闲的，无公务在身的
employ v．雇用,使用
annotate v．注解
executor n.遗嘱执行人
caribou n.北美驯鹿
forebode v．预兆，凶兆
vituperate v．痛斥，辱骂
derogate v．贬低，诽谤
accelerate v．加速，催促
rudimentary adj．初步的，未充分发展的
cetacean adj.鲸的，鲸类的
incubus n．恶梦，负担
sepulchral adj．坟墓的，阴深的
aesthetics n．美学
rebuttal n．反驳，反证
rhetoric n．修辞学，浮夸的言语
lilliputian adj．小人国的，气量小的
habitat n．自然环境，栖息地
cumbersome adj．笨重的
governance n．统治，支配
tuber n．块茎，球根
wane v．减少，衰微
infringe v．违反，侵害
dislocate v．使脱臼，把…弄乱
destitute adj．贫乏的，穷困的
paradox n．矛盾、似矛盾而正确的说法
relict adj．残存的
dissonance n．不和谐（的音调）
intermediary adj．媒介的n．中间人,媒介物
aria n．独唱曲，咏叹调
percipient adj．洞察力强的
indelible adj．擦试不掉的，不可磨灭的
distillation n．蒸馏
affront v．侮辱，冒犯
shindy n.吵闹，盛大舞会
ocular adj．眼睛的，可见的
grisly adj．恐怖的，可怕的
expire v.期满,去世
antithetic adj．对立的
convex adj．凸出的
attentive adj.留心听的,关心的
compute v．计算
fulminate v．猛烈抨击，严厉谴责
pageant n．壮观的游行，露天历史剧
acrimony n．尖刻，刻薄
quarry n．采石场，v．采石
alloy n．合金，v．混合
predestine v．注定
imperceptible adj．觉察不到的
arraign v.指责，控告
infringe v．违反，侵害
psychoanalysis n．精神分析
equitable adj．公平的，公正的
archaeology n．考古学
inebriate v．使醉，n．酒鬼，酒徒
idyll n．田园生活，田园诗
shunt v．使（火车）转到另一轨道，转移方向
mingy adj.吝啬的，小气的
expurgate v．净化，删去
regimentation n．严格控制，纪律
auricular adj.耳的
infuriate v．使（人）极为愤怒
render v．使得，给与
penalize v．置（某人）于不利地位，处罚
sceptre n．权杖，君权
scorpion n．蝎子
crate n．篓，板条箱
affection n．亲爱，友爱
scurry v．急跑，疾行
surplus adj剩余的，盈余的
fervor n．热诚，热心
foreordain v.预先注定
humanity n．人类，人文学科
ignoramus n．无知者，笨蛋
pendent adj．吊着的，悬挂的
incorporate v．合并，并入
inebriate v．使醉，n．酒鬼，酒徒
clientele n.(医生、律师的)顾客，(商店的)常客
abattoir n.屠宰场，角斗场
integrity n．正直,诚实,完整
helot n．奴隶，受人轻视之人
cant n．隐语，术语
galvanize v．电镀，通电，激励
impressionable adj．易受影响的
connoisseur n．鉴赏家，行家
emollient n．润肤剂
profane v．亵渎,玷污
perturbation n．烦乱，扰乱
incognito adj．n．隐姓埋名的，化名
anonymous adj．匿名的
bypass v．规避，绕过
posterior adj．(在时间,次序上)较后的
raffish adj.轻浮的，放荡的
burrow n．（兔子等）所掘的地洞，v．挖洞
adagio adj.缓慢的，宁静的
preliterate adj．无文字
leviathan n．大海兽，巨大之物
veterinary adj．兽医的
verisimilitude n．逼真，可能性
dither n.v.慌张，犹豫不决
consummation n．达到极点，完成
bazaar n.集市,商店集中区
fang n.(毒蛇的)尖牙
haunt v．常到，（鬼魂）出没。（事情）萦绕心头n．常去的地方
avow v.承认,公开宣称
pine n．松树v．（因疾病等）憔悴，衰退
orotund adj．（声音）宏亮的，说大话的
epigram n．警句，讽刺短诗
purgation n．净化,洗罪
ado n.忙乱，骚扰
spurious adj．假的，伪造的
extremity n．极度,绝境
objection n．厌恶，反对
contiguity n．邻近，接壤
relaxation n．松弛，消遣
clash v.冲突，撞击
inconceivable adj．难以想象的，不可能的（
solidarity n．团结，一致
barbarous adj.野蛮的,残暴的
advisory adj．劝告的
cardigan n.羊毛上衣，羊毛衫(
antiquated adj陈旧的，过时的，
iota n．极小量，极少
laxative n．轻泻药adj．通便的，放松的
unseemly adj．不适当，不宜
felony n．重罪
snob n．势利小人
diminutive adj．小巧可爱的
irreconcilable adj．不能妥协的，不能和解的（
canker n.溃疡，弊害
kernel n．果仁、核心
striated 　adj．有条纹的
apogee n．远地点（太阳等距离地球最远的点）
libretto n（歌剧等）歌词，剧本
reinforce v．加强力量，增援
fret v．n．（使）烦躁，焦虑
lope n．轻快的步伐，v．轻快地迈着大步
ordinance n．法令，条
fraught adj．充满
husky adj．声音沙哑的
rinse v．以清水冲洗，漂洗
purge v．清洗,洗涤
diurnal adj．白昼的，白天的
tattle v.闲谈，泄密
trudge v．跋涉
tailwind n，顺风
sufficient adj．足够的
mourn v．哀悼，哀伤
introspective adj．反省的
modish adj．时髦的
smear n．油渍，污点v．弄脏，玷污
sizzler n．炎热天气、大热天
nudity n．裸露
therapy n．疗法
incommunicative adj．不爱交际的，沉默寡言的
irrevocable adj．不能改变的，无法取消的
gnawing adj．痛苦的，折磨人的
lean v．倾斜，斜靠adj．瘦骨嶙峋的
aurora n.极光(南北极夜晚所放彩光)
medal n．奖牌，勋章
impoverish v使成赤贫
confection n．甜食，糖果
pedantry n．迂腐
reverence n．崇敬，敬礼
renascent adj．新生的
faddish adj．流行一时的,时尚的
concatenation n．连结，一连串
efface v．擦掉，抹去
bedraggled adj．（衣服、头发等）弄湿的，凌乱不堪的
disgorge v．呕出，（水）流走
kernel n．果仁、核心
gallows n．绞刑架，绞台
infringe v．违反，侵害
fanfare n．夸耀,嘹亮的喇叭声
nasal adj．鼻的，有鼻音的
fencing n．剑术，击剑法
senility n．衰老，老化
protuberance n．节疤,突出,凸出
choir n．(教堂的)歌唱队
supposition n．猜想，推测
fraught adj．充满
gallantry n勇敢，殷勤
sprain n．v．扭伤
importunate adj．不断要求的，急切的
locution n．说话的方式或语气，惯用语
crayon n．彩色笔、粉笔或其绘画
monarch n．君主，帝王
scandalous adj．丢脸的，诽谤性的
illusory adj．虚幻的
zealot n．狂热份子，热心者
papyrus n．莎草，沙草纸
evoke v.引起，唤起
distinguished adj．著名的，卓越的
germinate v．发芽，发展
sordid adj．卑鄙的，肮脏的
purlieus n．邻近地区
unguarded adj．不留神的，没有防备的
resort tov．求助于
immunize v．使免疫
clemency n.仁慈，(气候)温和
bifurcate v．分为二支，分叉
entrenched adj．(权力,风俗等)确立的,确定的
breach v．毁坏，泄密　n．缺口
bumpkin n.粗人，乡巴佬
sapient adj．有智慧的
rehabilitate v．修复恢复（职位等）
resurrection n．复活
lassitude n．无力，没精打采
comportment n.举止
stonewall v.阻碍议事，妨碍
banter n.v.嘲弄，戏谑
jesuitical adj.阴险的，虚伪的
ingrained adj．根深蒂固的
adopt v．收养，采纳
villainous adj．邪恶的，恶毒的
unctuous adj．油腔滑调的
prestidigitation n．变戏法,手法敏捷
concurrent adj．同时发生的，一致的
vulgarity n．粗俗，低级
doff v．脱掉（外衣，帽子）
cygnet n．小天鹅
fetid adj．（水等）有恶臭的
fraternity n．同行，友爱
intrinsic adj．固有的，内在的
flagrant adj．臭的，恶名昭彰的
steer v．操舵，驾驶
ingratiating adj．讨好的，谄媚的
inclined adj倾向于，赞成的
totalitarian adj．极权主义的
zenith n．天顶，极点
estuary n.河口,三角湾
four-poster n．有四柱的床
respondent n．被告
gratification n．满足，喜悦
pretentious adj．做作的,自抬身价的
verbosity n．唠叨，冗长
mesmerize v．对…催眠，迷住
aggrandize v．增大，扩张
peer n．同等之人，同辈
recapitulate v．扼要重述
text n．（演讲等）原文
trench n．沟，壕沟
linger v．逗留，留恋
gorge n．峡谷v．贪婪地吃
accretion n．自然的增加，增加物
deluge n．大洪水，豪雨
nether adj.下部的，下面的
oath n．誓约，誓言
dormant adj．冬眠的，静止的
rabble n．乌合之众，暴民，下等人
prescribed adj．规定的
trapezium n.梯形，不规则四边形
slate n．石板，候选人名单v．提名
contagion n．传染（病）
dabble v．涉足，浅赏
homeopathy n．顺势疗法
podiatry n．足病科
spasm n．痉挛，抽筋
venal adj．唯利是图的，贪脏枉法的
voracity n．贪食，贪婪
carrion n．腐肉
dotage n．老年糊涂，溺爱
perspiration n．出汗
functionary n．小官，低级公务员
leach v．分离，过滤掉
volatile adj．反复无常的，挥发性的
pastoral adj．田园生活的，宁静的
reconcile v．和解，调和
conceive v．怀孕，构想
magisterial adj．有权威的，威风的
sprain n．v．扭伤
paradigmatic adj．作为示范的，典范的
bait n.诱饵,v.逗弄
ponderous adj．笨重的,笨拙的
enormous adj．极大的,巨大的
numinous adj．庄严的，神圣的
hawser n．粗绳，大钢索
manumit v．解放（奴隶）
chary adj．小心的，审慎的
