tremendous adj．惊人的，巨大的
leer v．斜眼看，睨视
gadfly n．虻，牛虻
propulsion n．推进力
mesa n．高台地，平项山
fermentation n．发酵
frenetic adj．狂乱的，发狂的
approbation n．称赞，认可，
secretarial adj．秘书的、文书的
obdurate adj．固执的，顽固的
cuirass n.胸甲，护胸铁甲
polygamy n．一夫多妻制,多配偶制
cache v.贮藏，隐藏，n.藏物处
ordnance n．大炮，军械
seine n．拉网，大捕鱼网
suede n．表面粗糙的软皮革
mania n．癫狂，狂热
dwarf n．侏儒，矮小的植物v．阻碍…的正常发育
sanatorium n．疗养院，休养所
repudiate v．拒绝，抛弃
drizzle v．n．下毛毛雨，毛毛雨
succubus n.女妖
meander v．蜿蜒而流，漫步
ventilate v．使…通风，透风
jurisprudence n．法律学，法学
caste n．社会等级，等级
scoff n．v．嘲笑，笑柄
digress v．离题，把（话题）离开
importunate adj．不断要求的，急切的
gulp v．吞食，咽下
tirade n．长篇的攻击性演说
coruscate v．闪亮，闪光
hecatomb n．大屠杀，百牛大祭
transition n．过渡时期，转变
autocracy n.独裁政体
intriguing adj．引起极大兴趣的
lacerate v．撕裂，伤害
puncture n．刺孔,穿孔v．刺穿,刺破
orchid n．兰花，称赞
forfeiture n．（名誉等）丧失
declaim v．高谈阔论，雄辩，大声说
centrifugal adj．离心的
sanctum n．圣地，密室
morale n．士气，精神力量
travelogue n．旅行见闻，游
juggernaut n．摧毁一切的强大力量
sow n．母猪，[su]v．播种
supplant v．排挤，取代
regenerate adj．改过自新的，新生的
coerce v.强迫，压制
simper v．傻笑、假笑
reiterate v．重申，反复地说
rhythmic adj．有节奏的
tantamount adj．与…相等的
imperturbable adj．冷静的，沉着的
tapestry n．挂毯，丰富多采的画面
pepsin n．胃蛋白酶
shoddy n．劣质的，冒充好货的
pensive adj．沉思的，愁眉苦脸的
sober adj．清醒的，庄重的
mortise n.榫眼v.用榫接合
cryptogram n．暗号，密码
lamentable adj．令人惋惜的，悔恨的
appeal v．恳求，吸引
plumule n.(植)胚芽，(鸟)绒羽
fantastic adj．怪诞的,不实际的
sequacious adj．前后一贯的，盲从的
delectation n．享受，愉快
porcelain n．瓷,瓷器
deviate v．越轨，脱离
colossus adj.巨人，巨型雕像
frivolity n．轻浮
oafish adj．呆子的，白痴的
bombastic adj．唱高调的
torque n．转矩，项圈
debauch v．使放荡，堕落
palatable adj．美味的，愉快的
innate adj．生来的，天赋的
penalize v．置（某人）于不利地位，处罚
pyromania n．纵火狂
convalesce v．（病）康复，复原
intervene v．介入,干涉
impasse n．僵局，死路
vigilant adj．机警的，警惕的
pelf n．财富，钱
vortex n．漩涡，漩风
scenario n．剧情说明书，剧本
graphic adj．图表的，生动的
valve n．活门，阀门
shambles n.混乱之处，凌乱的地点
iconoclast n．攻击传统观念或风俗的人
hump n．隆起，驼背，v．隆起
lumber v．蹒跚而行，笨拙地走n．杂物，累赘
voyeur n．窥淫狂者，窥隐私者
chortle v．n.开心地笑
conjure v．请求，祈求
incubation n．孵卵期，潜伏期
compliance n.服从，听从
bizarre adj．奇异的，古怪的
chasm n.(地壳，冰上的)隐窟，深坑(
confirmed adj.习惯的，积习的
voluminous adj．长篇的，多产的，庞大的
arcane adj．神秘的，秘密的．
vociferate v．大叫大嚷，叫喊
steeple n．尖塔，尖阁
compensate v.补偿，赔偿
nomination n．提名，指派
animus n．憎恨
prolong v．延长，拉长
laurels n．荣誉
overlap v．（部分地）重叠
ambush n.v.埋伏，伏击
rehash v.重复谈论
dogmatic adj．教条的，教义的
relapse n．v．旧病复发，再恶化
fake v．伪造，佯装
discontented adj．不满足的，不满意的
virtuosity n．精湛技巧，高超
temperance n．自制，节制，禁酒
erotic adj．性爱的，色情的(作品)
die n．金属模子，印模
quartet n．四重奏，四重唱
caricature n．讽刺画，滑稽模仿
macadam n.碎石，碎石路面
deterrent adj．威慑的，制止的
manacle n．镣铐
chromatic adj．彩色的，五彩的
prompt v．促使,激起adj．敏捷的，迅速的
leeward adj．顺风的
bogus adj．假装的，假的
cogitation n.思考，苦思
redeem v．赎罪，实践（诺言）
log n．v．日志，
virility n．雄劲，丈夫气
prostrate v.平放，征服，使……衰弱
cinch n.容易做的事情，确定的事情
stunning adj．极富魅力的
costume n．服装，剧装
unalloyed adj．未掺杂的，纯粹的
qualm n．疑惧，紧张不安
scale v．攀登
metaphor n．隐喻，暗喻
proverbially adv．无人不知地
soaked adj．湿透的
fulminate v．猛烈抨击，严厉谴责
rhinestone n．水晶石，莱茵石
diminuendo n．（音乐）渐弱
impute to归咎于
barrier n.路障,障碍
laxative n．轻泻药adj．通便的，放松的
horror n．恐怖，战粟
etching n.蚀刻技术
insufficient adj．不足的
aperture n．孔隙，窄的缺口
deign v．屈尊，惠允（做某事）
bout n.一回合，一阵
confiscate v．没收，充公
recreation n．娱乐，消遣
alienated adj．疏远的，被隔开的
fallacy n．谬误，错误
grumpy adj．脾气暴躁的
nudge v．（用肘）轻触，轻推
incubus n．恶梦，负担
dejected adj．沮丧的，失望的
grateful adj．感激的
heel n．足跟，鞋后跟，v．倾侧
facsimile n.复制本,摹本
purport n．意义，涵义
contingent adj．意外的，视情况条件而定的
rekindle v．重新点燃
prescript n．命令,规定
airborne adj．空气传播的，（部队）空降的
barbarous adj.野蛮的,残暴的
stalemate n．和棋局面，僵局
palette n．调色板
rapprochement n．和好，和睦
intimate v．暗示
harangue n．长篇演说
stoic 　n．坚忍克己之人
sulky adj．呕气的，生气的
shovel n．铲子、铁锨v．铲
shelve v．搁置
torque n．转矩，项圈
taking adj．楚楚动人的
obsession n．入迷，固执的念头
depletion n．耗尽，枯竭
slab n．厚板，厚块
nominal adj．名义上的，有名无实的
auger n.螺丝钻,钻孔机
bashful adj.害羞的,羞怯的
bauble n.廉价珠宝
purgatory n.炼狱，暂时的苦难
specious adj．似是而非的，华而不实的
