obtrude v．突出，强加
asunder adv.分离,化为碎片
concord n．和睦，公约
athletics n.运动,体育
appetite n．胃口，食欲
sneer v．嘲笑，鄙视
stereotype n．固定形式，老套
interdict v．禁止,切断(补给线)n．禁令
badinage n.打趣，嘲弄
seduce v．勾引、诱惑
snub v．冷落，不理睬
boor n．举止粗野的人，乡下人
wane v．减少，衰微
crochet n．钩针织物v．用钩针编织
frantic adj．疯狂的，狂乱的
desiccant n．干燥剂
pylon n．高压电线架，桥塔
mitten n．（四指套在一起姆指分开的）手套
nausea n．作呕，恶心
perfectionist n．力求完美者，吹毛求疵者
eddy n．漩涡，涡流
regimentation n．严格控制，纪律
wanderlust n．漫游癖，旅游热
abject adj．极可怜的，卑屈的
circumscribe v.限制
fussy adj．爱挑剔的
subcutaneous adj.皮下的
hooked adj．钩形的，着迷的
ambivalence n．矛盾心理
terminate v．终止，结束
haggard adj．憔悴的，消瘦的
strident 　adj．尖声的，刺耳的
prowess n．勇敢,不凡的能力
unscathed adj．未受损伤的，未遭伤害的
rotund adj．（人）圆胖的，（音声）洪亮的
uptight adj．焦虑不安的，紧张的
niggardly adj．吝啬的，勉强的
idiosyncrasy n．特殊癖性或行为
humane adj．人道的，慈悲的
orientation n．定向
risible adj．可笑的，引人发笑的
exuberant adj．(人)充满活力的(植物)茂盛的
tailwind n，顺风
liquidate v．清除，清偿，停止
pepsin n．胃蛋白酶
aluminium n．铝
environs n．郊外,郊区
mortify v．使屈辱，使痛心
proselytize v．使……皈依
nemesis n．报应，天罚
rebate n．折扣，回扣
valetudinarian n．体弱的人，过份担心生病的人
husk n．外壳，皮，荚
replete adj．饱满的，塞满的
initiative n．主动，首创精神
cyclone n．旋风，飓风
searing adj．灼热的
remorse n．懊悔，悔恨
supposition n．猜想，推测
infuse v．灌输，使…充满
arrears n.债，欠债
autonomous adj.自治的,独立的
declivity n．倾斜面，斜坡
optimum adj．最好的，最有利的
surmise n　v　推测、猜测
brawl v．n．争吵，打架
penurious adj．贫困的，缺乏的
pathology n．病理学
stalemate n．和棋局面，僵局
vegetation n．植物，草木，植被
disgruntled adj.心境不佳的，不满的
inhibited adj．拘谨的，拘束的
husk n．外壳，皮，荚
fathomless adj．深不可测的
negation n．取消
ingrained adj．根深蒂固的
reincarnate v．使化身，转生
castigate v．惩治，严责
anthropoid adj．像人类的，类人猿的
wainscot n.护壁板，adj.用……装饰
caucus n．政党高层会议，核心人物
lottery n．彩票，抽彩给奖法
firefly n．萤火虫
vicelike adj.牢固的，坚实的(
ritual n．仪式，
haggle v．争论，讨价还价
palliation n．减轻，缓和
honours n．勋位，优等成绩
rancorous adj．怨恨的，憎恨的
macerate v．浸软，消瘦
compassionate adj.有同情心的
pharmacology n．药理学，药物学
knowledgeable adj．有丰富知识的，博学的
swarm n．（蜜蜂）一群，一群（人）
consanguinity n．血亲，同家
testament n．遗嘱，证明
pulp n．果肉酱,纸浆
acne n.粉刺
desideratum n．必需品，要求
reminiscence n．回想，追忆，（复）回忆录
filch v．偷（不贵重的东西）
buttress n．扶墙，拱壁，v．支持
nativity n．出生，诞生
bazaar n.集市,商店集中区
rebuke v．指责，谴责
roster n．值勤表，花名册
flagrant adj．臭的，恶名昭彰的
inquisitive adj．过份好问的，好奇的
specter n．鬼魂，幽灵，恐惧
lilliputian adj．小人国的，气量小的
vulgar adj．无教养的，下流的
exuberant adj．(人)充满活力的(植物)茂盛的
coincidence n.巧合(之事)
vaccination n．预防注射，种痘
gorgeous adj．美丽的，极好的
inkling n.暗示，细微的迹象(
scorch v．烤焦，烧焦
trigger n．板机，v．引发，导致
pollinate v．给……授粉
founder v．（船）沉没，（计划）失败
swig v.豪饮，大口地喝
susceptibilities n．脆弱的感情
cosmic adj．宇宙的
seraphic adj．如天使般的，美丽的
numinous adj．庄严的，神圣的
elastic adj.有弹性的,灵活的
thatch n．茅草屋顶，茅草
elm n．榆树
attest v.证明
sprinkler n．洒水装置，洒水车
requital n．酬劳，报答．
cloying adj.甜得发腻的
decrepitude n．衰老、破旧
purebred adj．(动物)纯种的
spartan adj．简朴的，刻苦的
potable adj．适于饮用的
encephalitis n．脑炎
provocation n．激怒
gropingly adv．不确定的，摸索
teem v．充满，到处都是v．倾盆大雨
subordinate 　adj．附属的n．部下，下属
equitation n．骑术
thrust v．猛力推，刺，戳
embroider v．刺绣，修饰
laurel n．月桂树，桂冠
longitude n．经度
resurgence n．复兴，再起
emendation n．订正，校订
propitiate v．讨好,抚慰
balmy adj.(气候)温和的,芳香的
renascent adj．新生的
personable adj．英俊的，风度好的
bonnet n．圆帽，扁平软帽
renegade n．叛教者，叛徒
hypnosis n．催眠状态
plaintiff n．原告
exotic adj.珍奇的,来自异国的
fumigate v．以烟熏消毒
bolster n．枕垫v．支持，鼓励
empiricism n．经验主义
lethargy n．昏睡，倦怠
hostility n．敌对状态，敌意
enticement n．诱骗,诱人
lenient adj．宽大的，仁慈的
genuflect v．曲膝半跪（以示敬意），屈从．
penchant n．爱好，嗜好
surmise n　v　推测、猜测
preen v．整理羽毛,(人)打扮修饰
eradicate v．根除，扑灭
appalling adj　骇人的，可怕的．
makeshift n．adj．权宜之计（的），代用品
clairvoyance n.超人的洞察力
orientation n．定向
gouge n．半圆凿，v．挖出，敲竹杠
neurotic n．神经病患者
puny adj．弱小的,发育不良的
precept n．箴言,格言
mimicry n．模仿，（动物等）拟态伪装
calibre n．（枪等）口径，（人或事）品质，才能
sift v．筛、过滤
scalding adj．滚烫的
treacle n.糖浆，过分甜蜜的声调(
gall n．胆汁（bile），怨恨（hatred）
crook v．使弯曲
interregnum n．无王时期,
file n．锉刀v．锉平
bashful adj.害羞的,羞怯的
emigrate v．自本国移居他国
provender n．(牛马吃的)草料,粮秣
glutton n．贪吃者
prestigious adj．有名望的,有威信的
footloose adj．自由自在的，无拘束的
chimerical adj．荒诞不经的，梦幻的
profiteer n．奸商,牟取暴利者
redundant adj．累赘的，多余的
repudiate v．拒绝，抛弃
odoriferous adj．有香味的，芳香的
format n．样式，形式
moiety n．一半，半份
cynical adj．愤世嫉俗的
retiring adj．隐居的，不喜社交的
extravagant adj．奢侈的无节制的
entitle v．使有权(做某事)
indemnification n．赔偿，赔偿金
bedlam n.喧闹的地方，骚乱
sprout v．长出，萌芽，嫩芽
nimble adj．敏捷的，灵活的
voluminous adj．长篇的，多产的，庞大的
decipher v．解开（疑团），破译（密码）
capacious adj．容量大的，宽敞的，
tilt v．（使）倾斜n．倾斜，斜坡
