raid n．突然袭击
deciduous adj．脱落的，落叶的
anthropology n．人类学
plaza n．广场,集市
hulk n．废船，笨重之人或物
consolation n．安慰，慰藉
variegated adj．斑驳的，形形色色的
bout n.一回合，一阵
proliferate v．激增,繁殖
iota n．极小量，极少
unfathomed adj．深不可测的，无法理解的
elephantine adj.笨拙的,巨大的
dexterity n．纯熟、灵巧
petrify v．石化，吓呆
centripetal adj．向心的
ingredient n．成份
infraction n．违法
implacable adj．难以满足的、难平息的
laconic adj．（用字）简洁的
chasm n.(地壳，冰上的)隐窟，深坑(
crafty adj．狡诈的
moulder v.渐趋腐朽
recreation n．娱乐，消遣
catharsis n．宣泄，净化
cursive adj．草书的
allegation n．（无证据的）指控
procreate v．生育
excise v.切除,删去
slobber n．口水，v．流口水，粗俗地表示
meticulous adj．细心的，注意细节的
defect n．缺点，瑕疵v．变节，脱党
equitation n．骑术
telepathy n．心灵感应，精神感应
magnify v．放大，赞美
preserve v．保护,保藏
disbursement n．支出，开支
maul v．撕裂皮肉，伤害
sibilant adj.发咝咝声的(
rapine n.劫掠，掠夺
soaked adj．湿透的
simper v．傻笑、假笑
sophistry n．诡辩
airtight adj．密封的
illusory adj．虚幻的
hilarious adj．充满欢乐的，引起大笑的
oxidize v．氧化，生锈
clemency n.仁慈，(气候)温和
distension n．膨胀
remunerative adj．报酬高的，有利润的
bypass v．规避，绕过
carousal n．欢闹的酒宴
chuckle v．轻声地笑
relaxation n．松弛，消遣
premiere n．首次公演
fool’s errand徒劳无功的工作
concave adj．凹的
etiquette n.礼仪礼节
igloo n．冰屋
aversion n.嫌恶,憎恨
terrapin n．泥龟，水龟
rivet n．铆钉v．吸引（注意力）
conjurer n．魔术师
squat v．蹲下，adj．矮胖的
fractious adj．（脾气）易怒的，好争吵的
caret n．加字符号（∨，∧）
insinuate v．暗指，暗示
muniments n．契据，房契
amortize v．分期偿还
assertive adj．言语果断的，断言的
resurrection n．复活
distressing adj．使人痛苦的
irk v．使苦恼，厌烦．
succinct adj．简明的，简洁的
impedimenta n．随身携带物，行李
opaque adj．不透明的，难懂的
refractory adj．难驾驭的，（病）难治的
chide v．叱责，指责
nuptial adj．婚姻的，婚礼的
sap n．树液，活力．v．削弱，耗尽
seduce v．勾引、诱惑
slumberous adj．昏昏欲睡的
proverbially adv．无人不知地
helot n．奴隶，受人轻视之人
gorge n．峡谷v．贪婪地吃
sloop n．小帆船
rivulet n．小溪，小河
complaisant adj.顺从的，讨好的
blemish v．损害，玷污n．瑕疵，缺点
coax v.哄诱，巧言诱哄
wile n．诡计，花言巧语
synchronize v．使同步
sleek v．（使）光滑，adj．光滑的，整洁的
delimit v．定界，划界
whet v．磨快，刺激
cosmic adj．宇宙的
circumlocution n.迂回累赘的陈述
odious adj．可憎的，讨厌的
intriguing adj．引起极大兴趣的
gormandize v．拼命吃，贪吃
feud n．宿怨，不和
cleaver n.切肉刀
exhort v.力劝,勉励
capacious adj．容量大的，宽敞的，
authorize v.授权,批准
gleaner n．拾落穗的人
gloaming n．黄昏，薄暮
brindled adj.有斑纹的
implement n．工具，器具v．实现，实施
crumb n．饼屑，面包屑，小量
inconsequential adj．不重要的，微不足道的
stun v．使昏迷，使发愣
ruminative adj．沉思默想的
ewer n．大口水罐
aggregation n．聚集，总合
treason n．叛国罪
neurology n．神经病学
acronym n．首字母简略词，简称
disembodied adj．无实体的、空洞的
stamina n．体力，耐力
mock v．嘲笑，模仿地嘲弄
transparent adj．透明的
succubus n.女妖
pastiche n.(音乐等)混合作品
mould,mold n．模子，气质v．塑造
attic n.阁楼,顶楼
dalliance n．戏弄，玩弄
heel n．足跟，鞋后跟，v．倾侧
petitioner n．请愿人
furlough n．休假
brake n．煞车v．减速，阻止
allegiance n．忠诚，拥护
vulgar adj．无教养的，下流的
asphyxia n．窒息
flange n．（火车车轮的）凸缘，轮缘
compere n.节目主持人，司仪，v.主持(节目)
salvo n.(礼炮)齐鸣，(火炮)齐射(
proselytize v．使……皈依
handle n．柄，把手，v．处理
introvert v．内向的人
viaduct n．高架桥
legend n．地图里的说明文字或图
flummox v.使混乱，背诵出错
demolish v．摧毁，拆除
blockbuster n.轰动，巨型炸弹
execrate v.憎恶，咒骂
plebeian n．adj．平民,平民的
jibe v．与…一致，符合
emend v．订正，校订
grudge v．吝啬，不满．
cussed adj.执拗的，顽固的
cleave v.劈开，分裂
igneous adj．火的，火绒的
delta n．（河流的）三角洲
profusion n．丰富、大量、浪费
magnify v．放大，赞美
descry v．远远看到，望见
terminus n．（火车，汽车）终点站
motet n.赞美诗，圣歌
speculation n．思索，推测，投机
horrendous adj．可怕的，令人惊惧的
incongruous adj．不调和的，不相称的
impersonate v．模仿，扮演
investiture n．任职仪式，授权仪式
exuberant adj．(人)充满活力的(植物)茂盛的
flirt v．挑逗，调戏
laminate v．切成薄板（片）
embryonic adj．胚胎的，萌芽期的
truancy n．逃学，旷课
solder v．焊接，焊合
cushion n．坐垫v．减轻，缓和
debunk v．揭穿真相，暴露
trice n.瞬间，顷刻
lacework n．网状物
accomplice n．同谋者，帮凶
ravishing adj．令人陶醉的
waft v．飘浮，飘荡
revolt v．叛乱，造反，反感
fault n．错误,(地质学)断层
pamper v．纵容，过分关怀
rashness n．轻率，鲁莽
exertion n.努力，用力
composite adj．拼凑成的，混合成的
digress v．离题，把（话题）离开
primordial adj．最初的
thwart v．阻挠，使…受挫
tango n．探戈舞
proprietary adj．私有的
spatula n．（调拌等用的）抹刀，刮刀
goblet n．高脚酒杯
vicious adj．残酷的，危险的
coherent adj.连贯的，一致的
subversive adj．颠覆性的，破坏性的
shale n．页岩
pacifier n．调停者，和解人
hospitality n．好客，殷勤
inconsequential adj．不重要的，微不足道的
hermitage n．隐居处
necromancy n．巫术，通灵术
thesaurus n.词典，分类词汇汇编
sedition n．煽动叛乱
microbe n．微生物
flabby adj．（肌肉）松软的，意志薄弱的
imbroglio n．纠纷，纠葛
clarification n.解释，澄清
rafter n．椽子
slimy adj.泥泞的，令人讨厌的
biosphere n．生命层，生物圈
winsome adj．媚人的，漂亮的
commendable adj.值得称赞的
torso n．（人体的）躯干，躯干像
gallantry n勇敢，殷勤
skyrocket v．陡升，猛涨
striking adj．引人注目的，明显的
elation n.得意、振奋
impair v．损害，使弱
theatrical adj．戏剧的，矫揉造作的
identify v．认明，认出
