contentious adj．好辩的，喜争吵的
osseous adj．骨的，多骨的
spiel n.滔滔不绝的讲话
compulsory adj．强制性的，命令性的
swerve v．转向，突然改变方向
buffoon n.丑角，缺乏教养之人
pluck v．拨毛n．勇气,勇敢
outgoing adj．友善的，即将离去的
glutinous adj．粘的，胶状的
decompose v．（使）腐烂
extravagant adj．奢侈的无节制的
heckle v．诘问，困扰
hoyden n．粗野的女孩，野丫头
paramount adj．最重要的，最高权力的
destitute adj．贫乏的，穷困的
footloose adj．自由自在的，无拘束的
brutality n．残酷，兽行
sticky adj．粘的，不慷慨的
neologism n．新字，新义
armistice n．休战，停战
homage n．效忠，崇敬
aperture n．孔隙，窄的缺口
clapper n.铃舌，响板
sobriquet n．浑名，绰号
iridescent adj．闪光的，现晕光的
impetuous adj．冲动的，鲁莽的
fop n．（喜好精致服装的）花花公子．
snazzy adj.时髦的，华丽而俗气的
zephyr n．和风，西风
cede v．割让（土地，权利）
regulation n．管理，规则，法令
outfox v．以机智胜过
ford n．浅滩，水浅可涉处v．涉水
lobster n．龙虾
shuck n．（植物的）壳、夹，无用之物
stationery n．文具
quizzical adj.爱挖苦的，戏弄的
mourn v．哀悼，哀伤
referee n．裁判员，仲裁者
upholstery n．室内装潢品（地毯，窗帘等）
goblet n．高脚酒杯
irascible adj．易发怒的．
glide v．滑行，滑动
lachrymose adj．好流泪的，引人落泪的
proclivity n．倾向,癖性
hobgoblin n.妖魔，恶鬼
yeast n．酵母，兴奋
parvenu n．暴发户，新贵
prospectus n.章程，内容简介
crabbed adj．暴躁的
eugenic adj．优生(学)的
valve n．活门，阀门
rhetoric n．修辞学，浮夸的言语
hedgehog n．刺猬
feat n．功绩，壮举
macabre adj．骇人的，可怖的
captivation n．吸引力，魅力
apathy n．漠然，冷淡
oar n．橹，桨，v．划（船）
sagacity n．聪慧，洞察力
procreate v．生育
resurgent adj．再起的，复活的．
encapsulate v．装入胶囊,压缩
gloomy adj．阴暗的，没有希望的
audacious adj.大胆的,愚勇的
reverent adj．恭敬的，虔诚的．
nubile adj．（女孩）到婚嫁年龄的，吸引人的
infatuation n．迷恋
disturbance n．扰乱、骚动
sibylline adj．预言的
embezzlement n.贪污，侵吞
obliging adj．恳切的，热心助人的
pose v．摆姿势,造作
down n．绒毛，汗毛
rashness n．轻率，鲁莽
cereal n．谷类，谷类食品．
glamour n．魅力，魔力
bagatelle n.小事，琐事
motley adj．混杂的，杂色的
weasel n．黄鼠狼，鼬，v．告密
fatigue n．疲乏,劳累
idiocy n．愚蠢
turmoil n．混乱，骚乱
hygiene n．卫生学，卫生的
fructify v．结果实，成功
purlieus n．邻近地区
congenital adj．（病等）先天的，天生的
contemptible adj．令人轻视的
obtuse adj．愚笨的，不锐利的
ballerina n.芭蕾舞女演员
sluggish adj．行动迟钝的，缓慢的
interweave v．交织，编结
etching n.蚀刻技术
affidavit n．宣誓书
indebted adj．感激的，感恩的
libel v．n．（文字）诽谤，中伤
corpuscle n．血球，细胞
booster n．支持者
dilettante n．半瓶醋，业余爱好者
compendium n.简要，概略
circumlocution n.迂回累赘的陈述
omnipotent adj．全能的、万能的
dietitian n．营养学家
quickie n.草草完成的劣品
disturbance n．扰乱、骚动
blatant adj．喧哗的，无耻的
persuasive adj．能劝说的，善于游说的
disjointed adj．脱节的，杂乱的
solitude n．孤独
unprovoked adj．（生气等）无缘无故的
emolument n．报酬，薪水
mangle v．撕成碎片，压碎
preach v．传教,讲道
vaccination n．预防注射，种痘
perigee n．近地点
beneficial adj．有益的，有用的
dodge v．闪开、躲避
compellation n.姓名，头衔
die n．金属模子，印模
volubility n．健谈，流畅
privilege n．特权,利益
spark n．火花，火星
muck n.堆肥，淤泥
executor n.遗嘱执行人
audacious adj.大胆的,愚勇的
inviolate adj．未受侵犯的，纯洁的
gavel n．（法官所用的）槌，小木槌
chasm n.(地壳，冰上的)隐窟，深坑(
husky adj．声音沙哑的
stonewall v.阻碍议事，妨碍
reserve n．谨慎，话语不多，储备．
compulsory adj．强制性的，命令性的
clientele n.(医生、律师的)顾客，(商店的)常客
wallow v．n．（猪等）在泥水中打滚，沉溺于
ecstasy n．狂喜，心醉神怡
gabble v．急促而不清楚地说
currish adj．下贱的，杂种的
gorge n．峡谷v．贪婪地吃
doctrinaire n．空论家，adj．教条的，迂腐的
purgative n．泻药
feign v．假装，伪装
retentive adj．有
cupidity n．贪婪
granulate v．使成颗粒
centrifugal adj．离心的
magnification n．放大，扩大
apotheosis n．神化，典范
codicil n.遗嘱的附录，附加条款
prescription n．处方(上的药)
holograph n．亲笔信
abstruse adj．难懂的，深奥的
berate v．猛烈责骂
cougar n．美洲豹
accolade n．推崇备至，赞扬
sprain n．v．扭伤
conversion n．转变，皈依
bygone adj.过去的，昔日的
stockade 　n．栅栏，围栏
dehumanize v．使失掉人性
ancillary adj．辅助的，n．助手
synonymous adj．同义的
incarnate adj．具有肉体的，化身的
reputable adj名誉好的，有声望的
provenance n．(艺术等的)出处,起源
percussion n．撞击，敲击
fantasia n．幻想曲,组合乐曲
opaque adj．不透明的，难懂的
furbish v．磨光，刷新
secular adj．世俗的、尘世的
flounder n．比目鱼
hygiene n．卫生学，卫生的
limbo n．不稳定，中间状态
adhere v．粘着
turgid adj．浮肿的，浮夸的
proximity n接近,附近
equable adj．稳定的,不变的，(脾气)温和的
staggering adj．令人吃惊的
vertigo n．眩晕（
leakage n．渗漏，漏出
antiquated adj陈旧的，过时的，
incongruous adj．不调和的，不相称的
badinage n.打趣，嘲弄
pelagic a.远洋的
lechery n．好色，纵欲
foetus,fetus n．胎儿
gull n海鸥，v．欺骗
scalp n．头皮，战利品v．击败
manifesto n．宣言，声明
revitalize v．使复活，使重新充满活力
curvaceous adj．婀娜多姿的，曲线的
groggy adj．体弱的，不稳的
kaleidoscopic adj．千变万化的
pincers n．钳子，镊子
barrage n.火力网，弹幕
fathomless adj．深不可测的
grille n．（银行，邮局柜台上的）铁栅
lethal adj．致命的
ambivalent adj．（对人或物）有矛盾看法的
unconscionable adj．无节制的，过度的
frowzy adj．不整洁的，污秽的
conviction n．判罪，坚信
festive adj．欢乐的，（thefestiveseason．）
convict v．定罪，n．罪犯
tempo n．（动作、生活的）步调，速度
defame v．诽谤，中伤
tardy adj．缓慢的，迟缓的
grimace v．做鬼脸，面部歪扭
outlandish adj．奇怪的，古怪的
emboss v．加浮雕花纹于,使凸出
presumption n．假定,冒昧
underling n．下属，手下
venom n．毒液，恶毒，痛恨
staccato adj．（音乐）断音的，不连贯的
star-crossed adj．时运不济的
vault n．拱顶，地窖
menial adj．仆人的，乏味的，n．家仆
incendiary adj．放火的，纵火的
shade n．阴影，细微差别
hors d’oeuvren．（法）正菜前的开胃小菜
proselyte n．皈依者,改变宗教信仰者
centripetal adj．向心的
fissure n．裂缝，裂隙
pancreas n．胰脏
detection n．查出、探获
opprobrium n．恶名声，侮辱
kaleidoscopic adj．千变万化的
bogus adj．假装的，假的
blotch n.（皮肤上的）红斑点，（墨水等）斑点
hiss v．作嘘声，（蛇等）发出嘶嘶声
derogate v．贬低，诽谤
upstage adj．骄傲的，高傲的
elude v.逃避,
scrawl v．潦草地写，乱涂
abrade v．磨损，擦伤
mirth n．欢乐，欢笑
malignant adj．恶毒的，充满恨意的
interminable adj．无尽头的
stain v．玷污，染色
convivial adj．欢乐的，狂欢的
patrician n．贵族
fantastic adj．怪诞的,不实际的
detriment n．损害，伤害
stoicism n．坚忍克己
malfunction n．故障，障碍
miasma n．瘴气，坏影响
reincarnation n．化身，转世的生命
repulsive adj．令人厌恶的，驱逐的
impetus n．推动力，刺激
retrench v.节省，削减
hairy adj．毛发的，多毛的
pragmatism n．实用主义
fathom n．英(量水深,等于1.8米)v.彻底明白,了解
expertise n.专技，专业知识
storehouse 　n．宝库，见识广博之人
gaggle n．鹅群
canker n.溃疡，弊害
mute adj．沉默的，n．弱音器
penitent adj．后悔的，忏悔的
provident adj．深谋远虑的,节俭的
nominal adj．名义上的，有名无实的
pretension n．自命不凡
utopian adj．乌托邦式的，梦想的
finable adj．应罚款的
rove v．流浪，漂泊
leaflet n．传单
enticement n．诱骗,诱人
synthetic adj．综合的，人造的
flagrant adj．臭的，恶名昭彰的
aria n．独唱曲，咏叹调
pivot n．枢轴,中心v旋转
flagellate v．鞭打，鞭笞
subdue v．征服，压制，减轻
rip v．撕裂，撕破
reinforce v．加强力量，增援
minion n．奴才，低三下四之人
copious adj．丰富的，多产的
monstrous adj．巨大的，可怕的
extinct adj．绝种的,不存在的
colossus adj.巨人，巨型雕像
laxative n．轻泻药adj．通便的，放松的
disclaim v．放弃权利，拒绝承认
reprehensible adj．应受谴责的
immortal adj．不朽的，流芳百世的
presumable adj．可能的,可假定的
stethoscope n．听诊器
eligible adj.适合被选的，合格的
drollery n．滑稽
dermatology n.皮肤（病）学
pension n．养老金，退休金
sane adj．神志清楚的，明智的
honk n．汽车喇叭声，雁叫声
controversy n．争论，辩论
anthem n．圣歌，赞美歌
dote v．溺爱，昏愦
wrench v．扭，拧，n．板钳，板手
fleeting adj．短暂的，飞逝的
linguistics n．语言学
wag v．（狗尾巴等）摆动　n．诙谐幽默者
bilingual adj．（能说）两种语言的
auricular adj.耳的
pander v.迎合
pittance n.微薄的收入，少量
fructify v．结果实，成功
latent adj．潜伏的
supine adj．仰卧的，懒散的
prefigure v．预示,预想
smother v．覆盖，（使）闷死
apogee n．远地点（太阳等距离地球最远的点）
paean n．赞美歌，颂歌
massacre n．大屠杀，大败
doctrinaire n．空论家，adj．教条的，迂腐的
calumniate v．诽谤，中伤
stale adj．不新鲜的，陈腐的
somber adj．忧郁的，阴暗的
erasure n．擦掉,擦痕
margarine n．人造黄油
outskirts n．郊区，郊外
audition n.(演员等)试唱
snoop v．窥伺，打听，n．窥探者
circumscribe v.限制
comely adj.动人的，美丽的
aversion n.嫌恶,憎恨
elitism n.精英论,优秀人士统治
encapsulate v．装入胶囊,压缩
abate v．减轻，降低
psychosis n．精神病,变态心理
immoderate adj．无节制的，过度的
immaculate adj．洁净的，无瑕的
spike n．长钉，大钉
stride 　v．大步行走，阔步
preserve v．保护,保藏
corroboration n．证实，支持，证据
impromptu adj．即席的，即兴的
shanty n．简陋的小木屋
deflated adj．灰心丧气的
affected adj．不自然的，假装的
jazzy adj．吸引人的，花哨的
halting adj．踌躇的，吞吞吐吐的
conglomerate v．集聚，集团
tremor n．震动，地震
mingy adj.吝啬的，小气的
curt adj．（言词、行为）简略而草率的
self-assertion n．坚持己见，自信
bout n.一回合，一阵
brawl v．n．争吵，打架
puncture n．刺孔,穿孔v．刺穿,刺破
hegemony n．霸权，领导权
icicle n．冰柱，冰垂
gastric adj．胃的，胃部的
awe v.敬畏
detriment n．损害，伤害
periphrasis n.绕语，迂回的话
lunacy n．疯狂，愚行
extrapolate v．预测,推测
exempt adj.被免除的,v.使免除
primeval n．原始的,早期的
hairy adj．毛发的，多毛的
orchid n．兰花，称赞
tepid adj．微温的
pen n．围栏，监禁
exaggeration n.夸张
philatelist n．集邮家
expansion n.扩张,膨胀
ballyhoo n.大肆宣传
intuitive adj．有直觉力的，直觉到的
savant n．博学之士，大学士
scarp n．悬崖，陡坡
hoist v．吊高，升起。n．起重机
apocrypha n．伪经，伪书
ambivalence n．矛盾心理
nuptial adj．婚姻的，婚礼的
hubris n．过份自傲，目中无人
sidesplitting adj．令人捧腹大笑的
lodge v．住宿，存放n．小屋
dehydrate v．除去水份，脱水
scared adj．害怕的，恐惧的
eclipse n．（日，月）蚀，名声缺落，失势
poser n.不易处理之事
umpire n．裁判，v．对…进行仲裁
perceptible adj．可以感觉到的，可见的
swine n．猪
latitude n．言行自由，纬度
penitentiary n．监狱，感化院
composure n．镇静，沉着，自若
mushy adj.(文章等)多愁善感的
tarn n．山中的小湖或水潭
detection n．查出、探获
remonstrance n．抗议，抱怨
diabetes n．糖尿病
embellish v.装饰润饰
reciprocity n．互惠主义，相互利益
kindle v．着火、点燃
emancipation n.释放,解脱
corpulence n．肥胖，臃肿
declination n．倾斜，衰微
elongate v.延长,伸长
positiveness n．肯定,信心
meddlesome adj．爱管闲事的
reparable adj．能补救的，可挽回的
pare v.削去，剥去
laboured adj．吃力的，（文体）不自然的
verbiage n．罗嗦，冗长
primitive adj．原始的,简单的
alloy n．合金，v．混合
reprove v责骂，申斥
anguish n．极大痛苦
armistice n．休战，停战
queer adj．奇怪的，疯狂的
overriding adj．最主要的
clash v.冲突，撞击
chirp v．(鸟或虫)唧唧叫
hyperbolic adj．夸张的
whimsical adj．古怪的，异想天开的
refute v．驳斥
insolvent adj．无钱还债的
munificent adj．慷慨的，大方的
astigmatic adj．散光的，乱视的
luminary n．杰出人物，名人
remiss adj．疏忽的，不留心的
foppish adj．浮华的，俗丽的
purloin v．偷窃
ruminative adj．沉思默想的
relent v．动怜悯心，减弱
employ v．雇用,使用
subsume 　v．包含，包容
muckrake v.揭发丑闻
almond n．杏树，杏仁
buttress n．扶墙，拱壁，v．支持
archipelago n．群岛
repudiate v．拒绝，抛弃
impregnable adj．攻不破的，征服不了的
indict v．控诉，起诉
jesting adj．滑稽的，好笑的
verbosity n．唠叨，冗长
blatant adj．喧哗的，无耻的
invective n．猛烈抨击，痛骂
filthy adj．龌龊的，污秽的
prone adj．俯卧的,易于…的
superintend v．监督
obstruct v．阻塞，截断
rebuff v．断然拒绝
equitable adj．公平的，公正的
loquacious adj．多嘴的，饶舌的
devour v．吞食，（一口气）读完
churl n．粗鄙之人
hypnotic adj．催眠的
seasoning n．调味品、佐料
juggernaut n．摧毁一切的强大力量
contumelious adj．无礼的，傲慢的
temperamental adj．性情的，喜怒无常的
exhale v.呼出(气)
derogate v．贬低，诽谤
spindly adj．细长的，纤弱的
irrigate v．灌溉
explicate v.详细解说
betray v．背叛，暴露
respite n．休息，中止，暂缓
equitable adj．公平的，公正的
trivia n．琐事，无价值之物
rendering n．演出，翻译
censorious adj．吹毛求疵的，苛求的
sanctimonious adj．伪装虔诚的
teetotal adj．滴酒不沾的
plane n．刨子,平面v．刨
chevron n.军警袖章，V形图案
gavel n．（法官所用的）槌，小木槌
parquetry n．镶木地板艺术或图案
impair v．损害，使弱
helmsman n．舵手
audit v.审计,核对,旁听
brink n．（峭壁的）边沿，边缘
knotty adj．有节疤的，困难的
pedestrian adj．徒步的，缺乏想像的n．行人
ferrous adj．含铁的
rationale n．基本原理，根据
brim n．（杯）边，缘v．盈满
clanger n.明显的错误
gristle n.软骨结构，软骨
preempt v．以先买权取得,取代
retentive adj．有
avaricious a.贪婪的,贪心的
cartographer n．绘制地图者
decipher v．解开（疑团），破译（密码）
servile adj．奴性的，百依百顺的
hamper v．妨碍，阻挠n．有盖提篮
exempt adj.被免除的,v.使免除
primordial adj．最初的
entrust v．委托,付托
nullify v．使无效，抵消
queasy adj.不喜欢的，令人作呕的(
banister n.(楼梯的)栏杆
cubicle n.寝室，小卧室
mogul n．显要人物，权势之人
epicure n．美食家
regulation n．管理，规则，法令
dwarf n．侏儒，矮小的植物v．阻碍…的正常发育
epistemology n．认识论(对知识本质的研究)
portent n．凶兆,异兆
mettlesome adj．精神抖擞的
pitfall n．陷阱,未料到的危险或困难
touchy adj．敏感的，易发脾气的
sanguinary adj．有血的，血腥的
schismatic adj．分裂的
replicate v．重复，复制
compelling adj.引起兴趣的
virus n．病毒
countermand v．撤回（命令），取消（订货）
posit v．假定,认为
taunt v．嘲笑，讥笑
corroboration n．证实，支持，证据
trial n．审判，尝试
jubilant adj．喜悦的，欢呼的
outrageous adj．粗暴的，无礼的
swarm v．攀爬
convalesce v．（病）康复，复原
parchment n．羊皮纸，羊皮纸手稿
remediable adj．可纠正的，可治疗的
gossamer n．蛛丝，薄纱，adj．轻而薄的
sate v．使心满意足，使厌足
rapturous adj．着迷的，狂喜的
elide v.省略(音、音节)
carat n．（宝石重量单位）克拉，（金子）开
distracted adj．心烦意乱的．精神不集中
executioner n.刽子手
trowel n．泥刀，小铲子
rescind v．废除，取消
condescend v．屈尊，俯就
innate adj．生来的，天赋的
tusk n．（象）长牙
adagio adj.缓慢的，宁静的
addictive adj．（毒品等）使人上瘾的
repress v．抑制，镇压
repel v．击退，使…反感
ersatz adj．代用的,假的
pharmaceutical adj．制药的
crestfallen adj．挫败的，失望的
imbibe v．饮，吸入
prestidigitation n．变戏法,手法敏捷
preeminent adj．出类拔萃的
exceedingly adv.过份地
pathos n．哀婉，悲怆
fringe n．（窗帘等）须边，边缘
voracious adj．狼吞虎咽的，贪婪的
craven adj．懦弱的，畏缩的
theology n．神学，宗教
unavailing adj．无结果的，徒劳无功的
galactic adj．星系的，银河系的
disinterested adj．公正的，客观的
accrue v．（利息等）增大，增多
barbecue n.烤肉架,烤肉
lecherous adj．好色的
apostate n背教者，变节者
fleck n斑点，微粒
maisonette n.小屋，公寓
prosaic adj．单调的,无趣的
wheedle v．（用花言巧语）哄骗
doctrinaire n．空论家，adj．教条的，迂腐的
approachable adj．可接近的，随和的．
trammel v．n．束缚，妨碍，鱼网
inchoate adj．刚开始的，未发展的
plead v．恳求,提出…为理由
plead v．恳求,提出…为理由
accede v．应允，同意
guilt n．罪行，内疚
honorarium n．酬劳金，谢礼
peril n．危险
tenterhooks n.坐立不安
contiguity n．邻近，接壤
fulmination n．抨击，谴责
personage n．名人，（戏剧）角色
momentous adj．极重要的，严重的
gadget n．小工具，小机械
factitious adj．人为的，不真实的
immediacy n．立即、刻不容缓
impute to归咎于
espouse v．支持，拥护
remediable adj．可纠正的，可治疗的
verbosity n．唠叨，冗长
decadence n．衰落，颓废
mitten n．（四指套在一起姆指分开的）手套
disdainful adj．鄙视的
propensity n．嗜好,习性
penetrate v．刺穿，渗入，了解
barrage n.火力网，弹幕
chase v．雕镂，追捕
shale n．页岩
vagabond n．浪荡子，流浪者，adj．流浪的
tyrannical adj．暴虐的，残暴的
perception n．洞察力，理解力
compliment v.n.恭维，称赞
captious adj．吹毛求疵的
nativity n．出生，诞生
fawning adj．奉承的
provocation n．激怒
maul v．撕裂皮肉，伤害
herd n．兽群。v．聚集，放牧
altar n.祭坛，圣坛
attenuate v.变薄,变弱
pylon n．高压电线架，桥塔
censorious adj．吹毛求疵的，苛求的
discommode v.使烦恼，扰乱
corporal adj．肉体的，身体的
tuxedo n．礼服，无尾礼服
augmentation n.增加
awl n.[钻皮革的]尖钻
reprove v责骂，申斥
imposing adj．壮丽的，雄伟的
bibliography n.文献学，
intransigent adj．不妥协的，固执的
jazzy adj．吸引人的，花哨的
yoke n．轭，v．控制，束缚
drool v.流口水，胡说
cygnet n．小天鹅
technocrat n．技术人员，技术统治
blockbuster n.轰动，巨型炸弹
regenerate adj．改过自新的，新生的
secretarial adj．秘书的、文书的
compute v．计算
optional adj．可自由选择的
rind n（西瓜等）外皮
discernment n．眼光、洞察力
grate v．磨碎，使人烦燥
roan n.杂色马
lullaby n．摇篮曲
somnolent adj．思睡的，催眠的
symmetrical adj．对称的
resonant adj．（声音）洪亮的，共鸣的
thrifty adj．节省的，节俭的
saddle n．鞍，马鞍
buxom adj．体态丰满的
impregnable adj．攻不破的，征服不了的
laurels n．荣誉
innocuous adj．（行为，言论等）无害的
firefly n．萤火虫
expiration n.期满,终止
recruit n．新兵，新成员v．征募
preservative adj．n．防腐的,防腐剂
kayak n．爱斯基摩独木舟，小船
conceited adj．自负的，自高自大的
pending adj．即将发生的，未决的
intern v．拘禁,软禁n．实习生
spoor n．（野兽的）足迹
bullion n．金条，银条
charisma n．（大众爱戴的）领袖气质，魅力
tenterhooks n.坐立不安
spark n．火花，火星
ethos n.(个人,团体或民族)道德风貌，思潮信仰)
recruit n．新兵，新成员v．征募
sock v．重击，痛打
countermand v．撤回（命令），取消（订货）
puberty n．青春期,春情发动期
aristocrat n．贵族
meld v.合并
pullulate v．繁殖,剧增
meager adj．贫乏的，削瘦的
banner n.旗帜,横幅标语旗
par n．同等，平均量
descry v．远远看到，望见
avow v.承认,公开宣称
vandalism n．（对公物）恶意破坏
ribald adj．下流的，粗鄙的
trespass n．v．侵犯，闯入私人领地
sizzler n．炎热天气、大热天
implant v．注入，灌输
encyclopedic adj．广博的，知识渊博的
pebble n．小卵石，石子
stipend 　n．薪水，薪俸，养老金
inanimate adj．无生命的
inflame v使燃烧，激怒（某人）
jocose adj．开玩笑的，引人发笑的
stricture n．谴责，严厉，束缚
kitsch n.迎合低级趣味的拙劣作品
pelf n．财富，钱
implacable adj．难以满足的、难平息的
stench n．臭气，恶臭
snappish adj．脾气暴燥的
hypnosis n．催眠状态
nonconformist adj．n．不遵照传统生活的（人）
roe n．鱼卵
clamp n.钳子，v.钳紧
entanglement n．纠缠，牵累
dalliance n．戏弄，玩弄
philately n．集邮
lowbred adj．粗野的，鲁莽的
pluck v．拨毛n．勇气,勇敢
acronym n．首字母简略词，简称
vicinity n．附近，接近
mediocrity n．平庸，碌碌之人
tacit adj．心照不宣的，静默的
philatelist n．集邮家
hosepipe n．水管v．以水管浇洗
antecedence n．居先，在先
daredevil adj．n．胆大的（人），冒失的（人）
congeal v．凝结，凝固
rigidity n．固执，坚定，僵化
cant n．隐语，术语
pulley n．滑轮,滑车
indented adj．锯齿状的
iota n．极小量，极少
scintilla n．一点，丝毫
genial adj．愉快的，脾气好的．
cloudburst n.大暴雨，豪雨
acquisitive adj．贪得的，物欲重的
bombast n．高调，夸大之辞
ponder v．仔细考虑
sift v．筛、过滤
expedite v.使加速，促进
nave n．（教堂的）中殿，信众席
debutante n．初次参加社交活动的少女
trumpery adj．中看不中用的，无价值的
satiate v．使饱足，生腻
matrix n．模子，矩阵
vandalism n．（对公物）恶意破坏
compliment v.n.恭维，称赞
whacked adj.精疲力尽的
bacchanal n.(行为放纵的)狂欢会
gneiss n．片麻岩（一种艰硬的岩石）
ursine adj．熊的，像熊的
tactile adj．有触觉的
flex v．弯曲
bonny adj.健美的，漂亮的
plenitude n．完全,大量
obliterate v．涂掉，擦掉
silt n．淤泥、淤沙
discomposure n．失态，慌张
behold v．目睹，看见
crooked adj．弯曲的，扭曲的
ambivalent adj．（对人或物）有矛盾看法的
fulsomeness n．虚情，谄媚
antagonism n．对抗，敌对
mycology n.真菌学
replacement n．代替，替换
respecter n．趋炎附势者，尊敬者
shopsoiled adj.残破的，陈旧的
indenture n．契约，合同
espionage n．间谍活动
cyclone n．旋风，飓风
calumny n．诽谤，中伤
anguished adj．很痛苦的
inscrutable adj．高深莫测的，神秘的
brutal adj．残忍的，严酷的
digression n．离题，枝节话
sentry n．哨兵，步哨
fantastic adj．怪诞的,不实际的
gabble v．急促而不清楚地说
insulate v．使绝缘，使隔离
lump n．一块，肿块，v．形成块状
wherry n.小船，舢板
segment n．部分
antithetic adj．对立的
shipwright n．造船者
consternation n．大为吃惊，惊骇
suppurate v.(伤口)化脓(
finable adj．应罚款的
sully v．玷污，污染
invalidate v．使无效力，证明无效
segregate v．隔离
straitened adj.贫困的
renowned adj．著名的
appropriate v．拨款，盗用
terminable adj．可终止的
xenophobia n．仇外，排外
gleam n．亮光，闪光，v．发闪光
captivation n．吸引力，魅力
convoke v．召集会议
festal adj．节日的，欢乐的
transcendental adj．超越经验的，形而上学的．
odious adj．可憎的，讨厌的
spatula n．（调拌等用的）抹刀，刮刀
exodus v.大批离去,成群外出
spelunker n.爱好探索洞穴的人
turbid adj．混浊的，紊乱的
sceptical adj．怀疑的，不相信的
predictable adj．可预知的,平庸的
stench n．臭气，恶臭
ostensible adj．表面上的，伪装的
exquisite adj．精致的，近完美的
incentive n．刺激，鼓励
tousle v．弄乱（头发）
distension n．膨胀
hardheaded adj．（商业上）现实的，精明的
stern n．船尾
flare n．v．（火焰）摇曳，闪耀
sedition n．煽动叛乱
coagulate v.凝结，使凝结
mists n．史前时代
compatible adj.和谐共处的，相容的
opulent adj．富裕的，充足的
incontestable adj．无可争辩的，明确的
stiletto n．小剑，匕首
anthropology n．人类学
smithereens n.碎片，毁灭
ravishing adj．令人陶醉的
banter n.v.嘲弄，戏谑
pigsty n．猪圈
germinate v．发芽，发展
inquietude n．焦虑，不安
duration n．持续的时间
indescribable adj．（美得）无法形容的（
congenial adj．意气相投的，宜人的
menial adj．仆人的，乏味的，n．家仆
icon n．圣像，偶像
preemption n．先买权,取代
bumper n．汽车前后的保险杆
attire v.穿着,装扮n.衣服
