cult n．宗派，崇拜
vulnerable adj．易受攻击的，脆弱的
scathing n.苛刻的,严厉的
hew v．砍伐
finicky adj．苛求的，过份讲究的
laminate v．切成薄板（片）
host n．东道主，（寄生物之）寄主
heir n．继承人
exclude v.排斥，排除
haft n．柄，把柄
boycott v．抵制（贸易）
sophistry n．诡辩
curvaceous adj．婀娜多姿的，曲线的
piquant adj．辛辣的,开胃的
quaff v．畅饮
sifter n．筛子
unprovoked adj．（生气等）无缘无故的
wily adj．狡猾的
granary n．谷仓，主要来源
hearsay n．谣传，道听途说
pretext n．借口
guy n．（铁塔等的）支索，牵索
pantheon n．万神殿，众神
monogamy n．一夫一妻制
mast n．船桅，旗杆
avert v.避免,避开
marine adj．海的，海中的
mollusk n．软体动物
drizzly adj．毛毛细雨的（a　drizzly　day）
volition n．自决，自主
dappled adj．有斑点的，斑驳的
impressionable adj．易受影响的
congregation n．集合在一起的群众
persecution n．迫害
aghast adj．惊骇的，吓呆的
stationery n．文具
inured adj．习惯的
preface n．序言,开端
beacon n.信号灯,闪光灯
implosion n．向内破裂，内爆
hypochondria n．忧郁症，臆想病
abound v．充满，富于
proctor n．代理人,学监
computation n．计算
herbivorous adj．食草的
maneuverable adj．可移动的，可操纵的
tedium n．单调乏味
affectation n．做作，虚假
illicit adj．违法的，违禁的
lacework n．网状物
medley n．混杂
scribble v．乱写、乱涂
intermediary adj．媒介的n．中间人,媒介物
fecund adj．肥沃的,多产的
charter n．（公司）执照，宪章
photosynthesis n．光合作用
gulp v．吞食，咽下
skunk n．臭鼬，黄鼠狼
twirl v.旋转，急转
sinecure n．挂名差事，闲职
senile adj．年老的
shun v．避免，闪避
vehement adj．猛烈的，强烈的
shipshape adj．整洁的，井然有序的
patent adj．显而易见的n．专利权（证书）
coruscate v．闪亮，闪光
inundation n．淹没（
shipwright n．造船者
lurk v．潜伏，埋伏
intestine n．肠
infusion n．灌输。激励
double-cross v.欺骗，出卖
nadir n．最低点，无底
onus n．义务，责任
scuttle v．急赶、疾走，逃辟
tickler n．棘手的问题，难题
astrology n．占星学，占星术
spleenish adj．脾气坏的，易怒的
airborne adj．空气传播的，（部队）空降的
fraternity n．同行，友爱
pose v．摆姿势,造作
pensive adj．沉思的，愁眉苦脸的
tedious adj．冗长的，沉闷的
inviting adj．诱人的，引人入胜的．
sacrosanct adj．神圣不可侵犯的
freeway n．高速公路
munitions n．军火，弹药
guilt n．罪行，内疚
pistol n．手枪
defame v．诽谤，中伤
requite v．报答，报复
yielding adj．弯曲自如的，灵活的
mottled adj．有杂色的，斑驳的
impedimenta n．随身携带物，行李
horticulture n．园艺学
satiate v．使饱足，生腻
purchase n．支点(阻止东西下滑)
frivolous adj．轻泛的，轻佻的
minutia n．微枝末节，细节
predictable adj．可预知的,平庸的
pregnant adj．怀孕的,充满的
tango n．探戈舞
forte n．长处，擅长，adj．（音乐）强音的
vaccination n．预防注射，种痘
raucous adj．（声音）沙哑的，粗糙的
loaf n．一条（面包）v．虚度光阴
charter n．（公司）执照，宪章
latitude n．言行自由，纬度
imperative adj．急需的，必要的
patronage n．赞助，惠顾
totalitarian adj．极权主义的
heave v．用力拉，举
lucre n．钱，利益
repudiate v．拒绝，抛弃
consummate adj．完全的，完美的，v．完成
embroider v．刺绣，修饰
fillet,filet n．束发带，鱼肉片
wangle v.(用计谋等)得到，取得
idolater n．偶像崇拜者
prompt v．促使,激起adj．敏捷的，迅速的
emboss v．加浮雕花纹于,使凸出
granulate v．使成颗粒
hygiene n．卫生学，卫生的
equivalent adj．相等的,等值的
exhibitionism n.风头主义
subtlety n．狡猾，微妙（的感情）
intervention n．干涉
penchant n．爱好，嗜好
rampant adj．蔓生的，猖獗的
yaw v．（船，飞机等）偏航
chaos n．混乱
overlap v．（部分地）重叠
parquet n．镶木地板．
appetizing adj　开胃的
gorge n．峡谷v．贪婪地吃
distension n．膨胀
vehement adj．猛烈的，强烈的
pharmaceutical adj．制药的
amiable adj．和蔼的，亲切的
revolting adj．令人厌恶的
redress v．n．改正，修正
rebellious adj．反抗的，难控制的
inured adj．习惯的
peremptory adj．专横的，不容反抗的
anthropoid adj．像人类的，类人猿的
refractory adj．难驾驭的，（病）难治的
vendetta n．世仇，宿怨
disreputable adj．品格不端的，见不得人的
technocrat n．技术人员，技术统治
apostasy n．背教，脱党
obdurate adj．固执的，顽固的
cantankerous adj．脾气坏的，好争吵的
coincide v.巧合，一致
caste n．社会等级，等级
profusion n．丰富、大量、浪费
voracity n．贪食，贪婪
escort v．护送n．护送者
spat n．口角，小争论
voluminous adj．长篇的，多产的，庞大的
chunky adj．（人或动物）矮胖的
devoid adj．空的，缺少的
superb adj．上乘的，出色的
grouch n．牢骚，不满．
spike n．长钉，大钉
husk n．外壳，皮，荚
booze v.痛饮，狂饮
mortify v．使屈辱，使痛心
stratum n．地层，社会阶层
nepotism n．裙带关系
cathartic n．泻药
tambourine n．铃鼓，手鼓
jumbo adj.巨大的，特大的(
dandified adj．打扮得像花花公子的
hangover n．宿醉，残存物
partiality n．偏袒，偏心
percussionist n．敲击乐器乐师
souvenir n．纪念物，纪念品
axle n.轮轴(连接二个车轮的轴)
designation n．指定，名称，称呼
incertitude n．疑惑，不确定
peripatetic adj．巡游的
riotous adj．暴乱的，蛮横的
abstemious adj．有节制的，节俭的
feasible adj．可行的，可能的
asphyxiate v．（使）无法呼吸，窒息而死
usurious adj．放高利贷的
salutation n．致敬，（信开头）称呼
labour v．困难地做，太冗长地解释
frustrate v．挫败，使沮丧
idol n．神像、偶像
rooster n．公鸡
stuffy adj．（空气）不新鲜的，闷气的
bankruptcy n.破产
contention n．争论，论点
pasteurize v．以高热杀菌，消毒
wily adj．狡猾的
soliloquy n．自言自语，独白
evanescent adj.短暂的,瞬息的
gargoyle n．（雕刻成怪兽状的）滴水嘴，面貌丑恶的人
flag v．衰退，枯萎
ignorance n．无知
halo n．（日月等）晕，神像之光环
nondescript adj．没有特征的，平凡的
somber adj．忧郁的，阴暗的
gormandize v．拼命吃，贪吃
fidgety adj．烦躁的，不安的．
evacuate v.撤退,撤离
vigilant adj．机警的，警惕的
receptacle n．容器
ford n．浅滩，水浅可涉处v．涉水
wean n．断奶，戒掉
probity n．刚直,正直
nonconformist adj．n．不遵照传统生活的（人）
lobby n．大厅，休息厅
ringlet n．卷发（
schizophrenia n.精神分裂症
cypress n．柏树
imaginary adj．虚构的
bereave v．丧亲，夺去
scathe n．v．损害，烧焦
mortise n.榫眼v.用榫接合
lobby n．大厅，休息厅
niggle v.挑剔，吹毛求疵
lingering adj．拖延的，依依不舍的
patch n．补丁，一小片（土地）
reflect v．反射，仔细考虑
unbidden adj．未经请求的，未经邀请的
mannequin n．时装模特儿，假人
scorching adj．酷热的
incense n．香，香味v．激怒
provident adj．深谋远虑的,节俭的
sceptre n．权杖，君权
formidable adj．可怕的，困难的
poser n.不易处理之事
attrition n.消磨,磨损
gilded adj．镀金的，富有的
cant n．隐语，术语
alias n．化名，别名
celibate n．adj．独身者，不结婚的．
haunt v．常到，（鬼魂）出没。（事情）萦绕心头n．常去的地方
emblematic adj．作为象征的
disputatious adj．好争辩的
reincarnate v．使化身，转生
arsenic n.砒霜，砷
precocious adj．早熟的
provoking adj．激怒人的,刺激人的
imperturbable adj．冷静的，沉着的
goad n．赶牛棒v．n．刺激，激励
exorcism n.驱鬼,伏魔
aggressive adj．好斗的，进取的
reliance n．信赖，信任
fissure n．裂缝，裂隙
austere adj.朴素的,(人)正经的
pullulate v．繁殖,剧增
myth n．神话故事
fencer n．剑客，击剑者
dipsomania n．嗜酒狂
aqueduct n．高架渠，渡槽
castigate v．惩治，严责
seduce v．勾引、诱惑
tenderfoot n.生手，新手
bulge v．n．膨胀，突出
cloying adj.甜得发腻的
barter v.以物易物,物物交换
osculation n.接吻，共同特性
hoodwink v．蒙混，欺骗
succubus n.女妖
estrange v.使疏远
confirmed adj.习惯的，积习的
bureaucracy n．官僚政治
rip v．撕裂，撕破
hump n．隆起，驼背，v．隆起
rind n（西瓜等）外皮
archer （运动或战争中的）弓箭手，射手
bulge v．n．膨胀，突出
scads n．大量，巨额
stride 　v．大步行走，阔步
enzyme n．酵素,酶
veracity n．真实性，诚实
incisor n．门牙（
sapphire n．青玉，蓝宝石，adj．天蓝色的．
remonstrance n．抗议，抱怨
analgesic n．镇痛剂，adj．止痛的
outbid v．出价多于（他人）
thatch n．茅草屋顶，茅草
delineate v．描画
loam n．沃土
mongrel n．杂种动物，混血儿
arbitrary adj．专横的，不理智的
fresco n．壁画
poser n.不易处理之事
specious adj．似是而非的，华而不实的
extol v．赞美
rupture n．v．破裂，断裂
inviolate adj．未受侵犯的，纯洁的
captious adj．吹毛求疵的
longueur n．枯燥的部分或时期
lust n．强烈的欲望
lexicographer n．词典编纂人
penitent adj．后悔的，忏悔的
loutish adj．粗鲁的
hippopotamus n．河马
contempt n．轻视，鄙视
cub n．幼兽，年轻无经验的人
snoop v．窥伺，打听，n．窥探者
rebuke v．指责，谴责
mecca n.众人渴望去的地方
concord n．和睦，公约
sourpuss n.牢骚满腹的人
halo n．（日月等）晕，神像之光环
custody n．监管，保管
loam n．沃土
subside v．（建筑物等）下陷，（天气等）平息，平静
liability n．倾向，债务
effulgent adj．光辉的，灿烂的
muniments n．契据，房契
fidget v．坐立不安n．烦躁之人
dangle v．悬挂，吊胃口
evoke v.引起，唤起
mawkish adj．自作多情的，令人作呕的
pinion v.绑住，束缚
attainment n.完成,成就
glimpse n．v．瞥见，看一眼
denomination n．命名，（长度，币值的）单位
aplomb n．沉着，镇静
hypochondria n．忧郁症，臆想病
dregs n．渣滓，糟粕
hydrate n．水化物
ogle v．送秋波，n．媚眼
vindicate n．为…平反证明…正确
gladiator n．角斗士，与野兽博斗者
preeminent adj．出类拔萃的
beseech v．祈求，恳求
somnolent adj．思睡的，催眠的
precocious adj．早熟的
queue v．n．长队，排队
nab v.逮捕，攫取
vilify v．辱骂，诽谤
rafter n．椽子
fulcrum n．杠杆支点，支柱
steeple n．尖塔，尖阁
connoisseur n．鉴赏家，行家
discharge v．流出，释放，解雇
falsification n．窜改
astrolabe n．星盘（古代星位观侧仪）
dredge v．用挖泥机疏浚，疏通
minatory adj．威胁的，恫吓的
trash n．废物，垃圾
avow v.承认,公开宣称
arthritis n关节炎
espouse v．支持，拥护
gridiron n．烤架，橄榄球场
reimburse v．偿还
venison n．鹿肉
patchwork n.拼缝物
prickly adj．多刺的,易生气的
appetite n．胃口，食欲
egocentric adj．自我中心的，利己的
protest n．v．抗议,反对
homeopathy n．顺势疗法
tadpole n，蝌蚪
encumbrance n．妨碍物，累赘
inveigle v．诱骗，诱使
portfolio n．文件夹,股份单
promiscuity n．滥交,混杂
procession n．行列,前进
equitable adj．公平的，公正的
aquatic adj．水生的，水中的
culpable adj.有罪的，该受谴责的
debut n．初次登台，初次露面
repine v．不满，心中抱怨
frail adj．脆弱的，不坚实的
lank adj．瘦削的，稀疏的
stationery n．文具
fiasco n．大失败，惨败
fag v．苦干n.苦工
expropriate v．充公，没收
fraudulent adj．欺骗的，不诚实的
buggy n．轻型马车，婴儿车
fatigue n．疲乏,劳累
ironic adj．挖苦的，出乎意料的
dislocation 脱节，动乱
expenditure n.消耗,支出
intestine n．肠
florid adj．华丽的，（脸）红润的
impart v．传授，告知
hors d’oeuvren．（法）正菜前的开胃小菜
balmy adj.(气候)温和的,芳香的
mute adj．沉默的，n．弱音器
sequestrate v．扣押，没收
freckle n．雀斑，斑点
ambrosia n.神仙食品，美味
conspectus n．概要，大纲
eulogy n.颂词，颂文
temper v．锻炼，缓和n．脾气
bouquet n．花束
appease v．使平静，安抚
remittent adj．（病）间歇性的，忽好忽坏的
deciduous adj．脱落的，落叶的
mycology n.真菌学
hummock n．小园丘
abhorrent adj．可恨的，可厌的
sabre n．军刀，击剑用刀
tutelage n．监护，指导
impetuous adj．冲动的，鲁莽的
compassionate adj.有同情心的
itinerant adj．巡回的，流动的
marquetry n.镶嵌细工
lobster n．龙虾
statuette n．小雕像
decamp v．（士兵）离营，匆忙秘密地离开
aperture n．孔隙，窄的缺口
badinage n.打趣，嘲弄
germane adj．有密切关系的，贴切的
resignation n．听从，辞职
intermediary adj．媒介的n．中间人,媒介物
duet n．二重唱
precarious adj．危险的
nausea n．作呕，恶心
blanch v．使变白，（脸色）变苍的
indocile adj．不听话的，难顺服的
imbecile n．心智能力极低的人
presenter n．主持人
bibulous adj．高度吸收的，嗜酒的
nerveless adj．无力的，无勇气的
aquatic adj．水生的，水中的
facade n．建筑物的正面,外表
scrawl v．潦草地写，乱涂
impute to归咎于
perversity n．刚愎，背理行为
populous adj．人口稠密的，人民多的
finch n．雀科鸣禽（如燕雀，金丝雀等）
intermission n．暂停,间歇
laud v．称赞
sloop n．小帆船
paradigmatic adj．作为示范的，典范的
heathen n.异教徒
yarn n．纱线
perceptive adj．感觉敏锐的
deed n．行为，（土地或建筑物的）契约、证书
glossy adj．光泽的，光滑的
chastity n．贞节，纯洁
babble v.说蠢话,牙牙学语
truancy n．逃学，旷课
ad-lib adj.即兴表演的
caper v．n．雀跃，欢蹦
spate n．大批，大量，（水）泛滥
decadent adj．颓废的，衰退的
beneficiary n．受惠者，（遗产的）受益人
ellipse n.椭圆(形)
winsome adj．媚人的，漂亮的
hardihood n．大胆，鲁莽
pulsate v．有规律的振动
stink v．n．发臭，臭味
nonentity n．无能力之人，不重要
sprawl v．n．伸展手足而卧，懒散地躺
antic adj　古怪的，笨拙的
pawnbroker n．典当商，当铺老板
stupefy v．（使）茫然，吓呆
paleography n．古文字学
collate v.对照，核对
nicotine n．尼古丁
chop n．(用斧头等)砍，(风)突然改变方向
skimp v．节省花费，吝啬
