agronomist n．农学家
blithe adj．快乐的，无忧无虑的
oath n．誓约，誓言
disputatious adj．好争辩的
fresco n．壁画
pony n．小马
temporary adj．短暂的，暂时的
mecca n.众人渴望去的地方
leaven n．发酵剂，影响力v．发酵，影响或改变
serpentine adj．似蛇般绕曲的，蜿蜒的
notability n．著名，显著
rationale n．基本原理，根据
prodigious adj．很大的,巨大的
pelf n．财富，钱
fraternity n．同行，友爱
larva n．（昆虫的）幼虫
inconsiderate adj．不体谅别人的
hypotenuse n．（直角三角形的）斜边
enkindle v．煽动,点燃(感情怒3气等)
alleviate v．缓和，减轻
senescent adj．衰老的、老化的
malevolent adj．有恶意的，恶毒的
plod v．重步走,吃力干
withdraw v．撤退，收回
custody n．监管，保管
earring n．耳环，耳饰
expeditious adj.迅速的,敏捷的
disposed adj．愿意，想干
inexplicable adj．无法解释的，难理解的
renal adj.肾脏的
commence v.开始，倡导
feigned adj．假装的，不真诚的
assail v．抨击，猛攻
flex v．弯曲
upstage adj．骄傲的，高傲的
mournful adj．悲伤的
circumlocution n.迂回累赘的陈述
peripheral adj．不重要的，外围的
sate v．使心满意足，使厌足
sanctuary n．圣堂，避难所
hermit n．隐士，修道者
immolate v．牺牲，焚祭
rat v.背叛，背信
dolt n．笨蛋，傻瓜
raid n．突然袭击
refrain v．抑制，避免n．歌曲的反复句，叠句
explicit adj.清楚明确的
decrepitude n．衰老、破旧
skinflint n．吝啬鬼
arraign v.指责，控告
magpie n．鹊，饶舌的人
cornucopia n．象征丰收的羊角（羊角装饰器内装满花、果、谷物等以示富饶）
underpin v.加固，支撑
unavailing adj．无结果的，徒劳无功的
miller n．磨坊主人
feline adj．猫科的
obfuscate v．使困惑，使迷惑
classify v.分类，归类
morbidity n．病态
inveigle v．诱骗，诱使
peculate v．挪用（公款）
wangle v.(用计谋等)得到，取得
rancor n．深仇，怨恨
ornate adj．华美的，充满装饰的
escalate v．(战争等)升级,扩大,上升
sampler n．刺绣花样，取样员
supine adj．仰卧的，懒散的
scraggy adj.瘦而多骨的
pawnbroker n．典当商，当铺老板
lean v．倾斜，斜靠adj．瘦骨嶙峋的
verse n．诗歌
drawbridge n．吊桥
palliate v．减轻（痛苦），掩饰（罪行）
jargon n．行话
histrionic adj．演戏的，剧院的
perishing adj．严寒的
encyclopedic adj．广博的，知识渊博的
mandate n．命令，指令，v．批准
flux n．变迁，不断的变化
emulsify v．使乳化
addled adj．头脑混乱的
sequential adj．连续的，一连串的
shipshape adj．整洁的，井然有序的
rigmarole n.冗长无聊的废话
taking adj．楚楚动人的
succumb v．屈从，屈服，因…死亡
scandal n．丑闻，恶意诽谤
extricate v．拯救，救出
edification n．陶冶、教诲
analgesic n．镇痛剂，adj．止痛的
humour v．纵容，迁就
grudging adj．勉强的，吝啬的
grandeur n．壮丽，伟大
requiem n．安魂弥撒
arbiter n．权威人士，泰斗
eloquent adj.雄辩的,演说动人的
niche n．（放艺术品等的）壁龛，合适的位置
patriarchy n．家长，父系社会
baron n.大财主,大老板
strip v．剥去，n．狭长的一片
fulcrum n．杠杆支点，支柱
monarch n．君主，帝王
clamp n.钳子，v.钳紧
crease n．折缝，皱痕
linear adj．线的，成直线的
sere adj．干枯的，凋萎的
equivocal adj．意义含糊的,不直率的
crochet n．钩针织物v．用钩针编织
posy n.小花束
sibylline adj．预言的
psychosis n．精神病,变态心理
recreation n．娱乐，消遣
unbidden adj．未经请求的，未经邀请的
epilogue n．收场白,尾声
exert v.运用(力量等),施加
cognomen n.姓
haft n．柄，把柄
thrall n．奴隶，农奴
absurd adj．荒谬的，可笑的
flax n．亚麻
replica n．复制品
locale n．事件发生的现场、地点
mediocrity n．平庸，碌碌之人
exclusive adj.(人)孤僻的，(物)专用的
definition n．（轮廓等）清晰，定义
yacht n．帆船，游艇
malcontented adj．不满的
pith n．精髓,要点
vertical adj．直立的，垂直的
libertine n．性行为放纵者，浪荡子
quaff v．畅饮
conspectus n．概要，大纲
lewd adj．好色的，猥亵的
domesticity n．（喜欢）家庭生活
megalomania n．自大狂
comply n.遵循
emolument n．报酬，薪水
fosse n．护城河
ogle v．送秋波，n．媚眼
modicum n．少量
knotty adj．有节疤的，困难的
enticement n．诱骗,诱人
prude n．过份守礼的人
tenuous adj．细薄的，稀薄的，空洞的
savage adj．凶猛的，野蛮的
elongate v.延长,伸长
hoodwink v．蒙混，欺骗
humidity n．湿度，湿气
halting adj．踌躇的，吞吞吐吐的
calligraphy n．书法
savant n．博学之士，大学士
decimate v．毁掉大部分，大量杀死
buggy n．轻型马车，婴儿车
palliation n．减轻，缓和
prig n．自以为比别人更有道德的人
sartorial adj．裁缝的，缝制的
incline n　斜坡v．倾斜，爱好
sturdy adj．（身体）强健的，结实的
persistent adj．固执的，坚持的
holocaust n．大屠杀，浩劫
refute v．驳斥
mote n．微粒，微尘
antigen n．抗原（注射于动物体内，能使之产生抗体的物质）
collision n.碰撞，冲突
aorta n．主动脉
demography n．人口统计，人口学
steep v．浸泡，浸透
megalomania n．自大狂
antagonist n．敌手，对手
malign v．诽谤，中伤adj．邪恶的
glucose n．葡萄糖
grandiose adj．浮夸的，夸大的
gluttony n．暴饮暴食
plankton n．浮游生物
ooze v．慢慢地流，渗出，（勇气）逐渐消失
cistern n.(抽水马桶的)贮水池
ephemeral adj．朝生暮死的，生命短暂的
digression n．离题，枝节话
text n．（演讲等）原文
refurbish v．刷新，擦亮
solicitation n．恳求，教唆
corona n．日冕（月球经过太阳前面时，太阳外围呈现的光环），冠（状物）
superb adj．上乘的，出色的
naivete n．天真，纯朴，幼稚
clamorous adj.吵闹的，喧哗的
reactivate v．恢复活力，重新活跃
laurel n．月桂树，桂冠
hiatus n．空隙，裂缝
tarnish v．n．失去光泽，晦暗
plausible adj．似乎合理的,嘴巧的
recess n．壁凹（墙上装架子，柜子等凹处），休假
posthumous adj．死后的,遗腹的
accelerate v．加速，催促
resigned adj．逆来顺受的，顺从的
ingratiate v．逢迎，讨好
trial n．审判，尝试
lyric adj．抒情的，n．抒情诗
hysteria n．歇斯底里症，过度兴奋
impetus n．推动力，刺激
polemical adj．引起论战的
explicate v.详细解说
charades n．用动作等表演的字谜游戏
frigate n.护航舰，大型驱逐舰
desideratum n．必需品，要求
bulwark n．堡垒，保障
fret v．n．（使）烦躁，焦虑
inexplicable adj．无法解释的，难理解的
recherche adj.精选的，珍贵的
perfume n．香味，香水
carve v．雕刻，（把肉等）切成片
shovel n．铲子、铁锨v．铲
cluster n.串，束，群，v.成群，成串
patchwork n.拼缝物
infallible adj．绝不会错的，绝对可靠的
rhetoric n．修辞学，浮夸的言语
monogamy n．一夫一妻制
impeccable adj．无瑕疵的
exemption n.免除
cloudburst n.大暴雨，豪雨
deadlock n.僵局，僵持
votary n．崇拜者，热心支持者
misconstrue v．误解，曲解
invoke v．祈求，恳求，（法律的）实施生效．
stodgy 　adj．艰涩难懂的，乏味的
provocative adj．激怒的、挑战的
parse n.v.从语法上分析
underpin v.加固，支撑
potable adj．适于饮用的
