sequential adj．连续的，一连串的
asphyxia n．窒息
obsequious adj．逢迎的，谄媚的
splurge n．炫耀，摆阔
gollop v．n．大口吞咽
berate v．猛烈责骂
convert v．使改变（信仰等）n．改变信仰的人
wreckage n．残骸，碎片
obscene adj.淫秽的
trudge v．跋涉
longitude n．经度
beholder h．目睹者
consternation n．大为吃惊，惊骇
forte n．长处，擅长，adj．（音乐）强音的
sonorous adj．（声音）宏亮的
degenerate v．退步，堕落
rotund adj．（人）圆胖的，（音声）洪亮的
daunt v．使胆怯，使畏缩
cursory adj．粗略的，草率的
coy adj．腼腆的，忸怩的
sprig n．嫩枝，小枝
mortise n.榫眼v.用榫接合
draconian adj.严峻的，苛刻的
rabid adj．患狂犬病的，疯的，失去理性的
denomination n．命名，（长度，币值的）单位
impeccable adj．无瑕疵的
condemn v．极力谴责，判刑（死刑等）
homiletics n．讲道术，说教术
lacerate v．撕裂，伤害
derogatory adj．不敬的，诽谤的
crumb n．饼屑，面包屑，小量
pliant adj．易受影响的,易弯的
moderate adj．不过份的，有节制的　v．减轻，节制
vicarious adj．间接的，代理的
collate v.对照，核对
prude n．过份守礼的人
officious adj．爱发命令的，好忠告人的
allergy n．过敏症，厌恶
staid adj．稳重的，沉着的
gangway n．（上下船的）跳板
choreography n．舞蹈，舞蹈编排
attune tov.使调和,习惯于
beseech v．祈求，恳求
impassive adj．无动于衷的，冷漠的
bassoon n.低音管,巴松
margarine n．人造黄油
scavenger n．食腐动物，拣破烂的人
relic n．遗物，遗迹
swell v．肿胀，肿大n．（人）丰满
emblematic adj．作为象征的
slink v．偷偷走动
truculence n．凶猛，粗暴
dilapidated adj．破旧的，倒塌的
patrician n．贵族
laxity n．松弛，放纵
bullion n．金条，银条
incinerate v．焚化，毁弃
pristine adj．太古的,纯洁的,新鲜的
tempest n．暴风雨，骚动
homogeneous adj．同类的，相似的
interposition n．插入,干涉
abduct v．绑架，拐走
testify v．见证，证实
expire v.期满,去世
plunder v．抢劫,掠夺
spruce n．云杉，adj．整洁的，潇洒的
craving n．强烈的欲望
apogee n．远地点（太阳等距离地球最远的点）
atrocity n.残暴,暴行
massive adj．巨大的，粗重的
polemical adj．引起论战的
clique n.朋党派系，小集团
peer n．同等之人，同辈
enkindle v．煽动,点燃(感情怒3气等)
pantheon n．万神殿，众神
unruly adj．粗野的，无法无天的
paroxysm n．突发，阵发
transitory adj．短暂的，＝transient
abode n．住处，住所
usurious adj．放高利贷的
liaison n．联系，暖昧关系
eugenic adj．优生(学)的
apocryphal adj　伪经的，假冒的
compulsive adj．难以抑制的
audacious adj.大胆的,愚勇的
arable adj．可耕的，适合种植的．
demolish v．摧毁，拆除
borough n.享有自治权的市镇或区
fracas n．喧嚷，吵闹
flare n．v．（火焰）摇曳，闪耀
frolic n．v．嬉戏，雀跃．
inflation n．膨胀，夸大
disburse v．支付，支出
profile n．外形,轮廓侧面像
tenure n．任期，终身职位
dalliance n．戏弄，玩弄
vendetta n．世仇，宿怨
grievance n．委屈，抱怨
rowdy adj．吵闹的，粗暴的
deflect v．偏离，转向
hurdle n．跳栏，障碍
incriminate v．连累，牵连
magnetism n．磁性，吸引力
hermit n．隐士，修道者
confide v．吐露（心事）
enclosure n．圈地，围占
beet n．甜菜
interpose v．置于…之间,使介入
entice v．纵恿，引诱
intern v．拘禁,软禁n．实习生
recessive adj．隐性遗传的，后退的
porcelain n．瓷,瓷器
longueur n．枯燥的部分或时期
teetotal adj．滴酒不沾的
phantasmal adj．幻影的，幽灵一样的
palette n．调色板
minutia n．微枝末节，细节
beverage n.（水，酒等之外的）饮料
grind v．磨碎，碾碎
slump v．猛然落下，暴跌
roost v．n．栖息，鸟巢
verbiage n．罗嗦，冗长
lugubrious adj．郁郁不乐的，悲哀的
legislature n．立法机关
banter n.v.嘲弄，戏谑
emendation n．订正，校订
perspicacious adj．独具慧眼的
inferno n．火海，地狱般的场所
rifle n．步枪，v．洗劫，抢劫．
panoply n．全副穿戴，全副甲胄
obsequies n．葬礼
decamp v．（士兵）离营，匆忙秘密地离开
pare v.削去，剥去
grindstone n．磨刀石
laud v．称赞
decrepit adj．衰老的，破旧的
nihilism n．虚无主义，无政府主义
outgoing adj．友善的，即将离去的
hatchet n．短柄小斧v．扼杀
agreement n．一致，协议
yeoman n．自耕农，乡下人
metaphysics n．形而上学，玄学
rigor n．严厉，酷厉
megalith n.巨石，远古时代的巨石碑
cur n．杂种狗，坏种
forbearance n．自制，忍耐
detergent a．净化的，n．清洁剂
subterfuge n．诡计，托辞
valiant adj．勇敢的，英勇的
appealing adj．　吸引人的，打动人心的
bankruptcy n.破产
erratic adj.反复无常的古怪的
atonement n.赎罪,弥补
susceptible adj　易受影响的，多情的
adage n．格言，古训
emergency n．紧急事件
pry v．刺探,打听,撬开
economize v．节省（钱、时间等）
intrusion n．私闯，干扰
repercussion n．反应，影响，回声
exceed v.超过,超出
usher n．领座员，招待员，v．引，领
hygiene n．卫生学，卫生的
garble v．曲解，窜改
malodorous adj．有臭味的、不合法的
almond n．杏树，杏仁
feigned adj．假装的，不真诚的
penetrate v．刺穿，渗入，了解
harangue n．长篇演说
maple n．枫树
indifferent adj．不感兴趣的，漠不关心的
plaza n．广场,集市
grotesque adj．怪诞的，古怪的
hullabaloo n.喧嚷声，吵闹声
encyclopedic adj．广博的，知识渊博的
minaret n．叫拜楼（伊斯兰教寺院的尖塔）
asphalt n.沥青
proceeds n．收入
quickie n.草草完成的劣品
stake n．柱子，赌注
perfume n．香味，香水
climacteric n.重要的转折点，危机期
churl n．粗鄙之人
swell v．肿胀，肿大n．（人）丰满
rapprochement n．和好，和睦
incivility n．无礼，粗鲁
psalm n．赞美诗,圣诗
effete adj．无生产力的，虚弱的
flay v．剥皮，诈取，严厉指责
aromatic adj．芳香的
callow adj．（鸟）未生羽毛的，（人）未成熟的。
schizophrenia n.精神分裂症
writ n．命令状，书面命令
rail n．栏杆，铁轨，v．咒骂，猛烈指责
gravity n．严肃，一本正经
smug adj．自满的，自命不凡的
smirch v．玷污，n．污点
tenor n．男高音，要点，要旨
subservient 　adj．恭顺的
recumbent adj．侧卧的，休息的
obliging adj．恳切的，热心助人的
filament n．灯丝，细丝
savant n．博学之士，大学士
polyandry n．一妻多夫制
vicissitudes n．（人生的）盛衰，变迁
contumacious adj．违抗的，不服从的
frisky adj．活泼的，快活的
caterpillar n．毛虫，蝴蝶的幼虫
embroidery n．刺绣(品),润色
jaguar n．美洲虎
detonate v．（使）爆炸，引爆
edify v．陶冶，启发
waive v．放弃，推迟考虑
peevish adj．坏脾气的，易怒的
despondent adj．失望的，意气消沉的
utilitarian adj．功利的，实利的
enact v．制定(法律),扮演(角色)
collude v.串通，共谋
obsequious adj．逢迎的，谄媚的
synapse n.突触(指一个神经元的轴突接触并影响另一个神经元的树突或胞体的部位)
raconteur n．善于讲故事的人
climacteric n.重要的转折点，危机期
nominal adj．名义上的，有名无实的
birch n．桦树，赤杨
hepatitis n．肝炎
huffy adj．愤怒的，暴躁的
solvent adj．有偿债能力的，n．溶剂
uptake n.摄取，领会
negotiable adj．可商量的，（支票）可兑现的
intersection n．横断,十字路口
allusion n．暗示
classification n.分类，分类法
inhibited adj．拘谨的，拘束的
utilize v．利用，使用
indiscriminate adj．不加选择的
grievance n．委屈，抱怨
remission n．宽恕，赦免
miscellaneous adj．多种的，混杂的
tremor n．震动，地震
inflation n．膨胀，夸大
phial n．小瓶（药水瓶）
disdain v．轻视、鄙视
lenient adj．宽大的，仁慈的
wean n．断奶，戒掉
debunk v．揭穿真相，暴露
nib n．钢笔尖
computation n．计算
attest v.证明
pluck v．拨毛n．勇气,勇敢
oar n．橹，桨，v．划（船）
pony n．小马
delimit v．定界，划界
peremptory adj．专横的，不容反抗的
bassoon n.低音管,巴松
bubble v．起泡n．气泡，水泡
rote n．死
estrange v.使疏远
feckless adj．无目标无计划的
terrain n．地势，地形
minion n．奴才，低三下四之人
vanguard n．前卫，先锋
heath n.荒地
tenor n．男高音，要点，要旨
sifter n．筛子
conspire v．阴谋，谋叛
mitigate v．减轻，缓和
fulsomeness n．虚情，谄媚
pantheon n．万神殿，众神
forge v．（迎着困难）稳步前进
balmy adj.(气候)温和的,芳香的
heinous adj．可憎的，十恶不赦的
guilt n．罪行，内疚
lyric adj．抒情的，n．抒情诗
mutilate v．残害，切断
elegy n.哀歌、挽歌
convoluted adj．旋绕的，费解的
duress n．协迫
glum adj.闷闷不乐的，阴郁的，
delinquent adj．疏忽职务的，有过失的
lance n．长矛、鱼叉
manacle n．镣铐
supercilious adj．目中无人的，高傲的
hamper v．妨碍，阻挠n．有盖提篮
scant adj．不足的，缺乏的
seam n．缝、接缝
precedent n．先
elasticity n.弹性伸缩力
anomaly n．异常、反常
temp n.临时雇员,v.临时做工
occult adj．秘密的，不公开的
minuet n．小步舞
rekindle v．重新点燃
connotative adj．有含意的，暗示的
hardihood n．大胆，鲁莽
mortise n.榫眼v.用榫接合
loot n．掠夺品，v．掠夺
severance n．切断，分离
pal n．伙伴，好朋友，v．交友
clamour n.吵闹、喧哗
chastise v．严厉惩罚，遣责
concurrent adj．同时发生的，一致的
glimmer v．发微光，n．摇曳的微光
evoke v.引起，唤起
lure n．诱惑力，引诱
exculpate v.开脱，申明无罪
forge v．（迎着困难）稳步前进
scruffy adj.肮脏的，不洁的
hazardous adj．有危险的
jerk n.v．猛然一拉
spangle n．（缝在衣服上的）金属亮片，v．闪光
identify v．认明，认出
authorize v.授权,批准
psychedelic adj．引起幻觉的,n．迷幻药
orifice n．小开口，小孔
knocker n．敲击的人，门环
drove n．畜群，人群
apprehensive adj．恐惧的，担心的
ordinance n．法令，条
discourteous adj．不恭的，不敬的
convalesce v．（病）康复，复原
recurrence adj．重现，反覆
botulism n.食物中毒
amicable adj．友好的
ruddy adj．（脸色）红润的，红色[福www哇FｖａL小cＮ说]的
waive v．放弃，推迟考虑
ankle n．脚踝
taint n．v．玷污，败坏
stalk v．隐伏跟踪（猎物）
hanger n．衣架，挂衣钩
entrust v．委托,付托
vivacious adj．活泼的，快活的
unbidden adj．未经请求的，未经邀请的
oddments n．残余物，零头
candela n.烛光(发光强度单位)
malapropism n．字的误用
quaff v．畅饮
deposition n．免职，沉积
glucose n．葡萄糖
corona n．日冕（月球经过太阳前面时，太阳外围呈现的光环），冠（状物）
reagent n．试剂（导致化学反应）
wanton adj．顽皮的，放纵的
catalysis n．催化作用
shabby adj．破烂的，卑鄙的
drawl v．慢吞吞说，拉长腔调说
terrace n．一层梯田，阳台
cession n．割让，转让
status n．身份，地位
bully v．欺负，威协
posy n.小花束
manipulative adj．操纵别人的，老于世故的
decibel n．分贝（音量的单位）
queer adj．奇怪的，疯狂的
fragmentary adj．零碎的，不完整的
malice n．恶意
ornate adj．华美的，充满装饰的
incorporeal adj．无形体的，非物质的
espionage n．间谍活动
reciprocate v．答谢，回报
celestial adj．天体的，天上的
enervate v．使虚弱,使无力
concurrent adj．同时发生的，一致的
savor n．味道，滋味，v．品尝，欣赏
turmoil n．混乱，骚乱
literal adj．精确的、忠实原义的
huddle v．挤成一堆n．一堆人（杂物）
descant n.合唱，详述
hirsute adj．多毛的
hazard n．危险
scandal n．丑闻，恶意诽谤
loathe v．赠恨，厌恶
furbish v．磨光，刷新
figment n．虚构的东西
hobble v．蹒跚，跛行
panorama n．全景，概观
pillage n．v．抢劫，掠夺
jigsaw puzzlen．拼图游戏
veracious adj．诚实的，说真话的
prune n．梅干(用李子“plum”做的干果)v.修剪,剪除
chagrin n．v．失望，懊恼
scorch v．烤焦，烧焦
subsume 　v．包含，包容
byline n．（列作者名字的）报刊文章首行
gynecocracy n．妇人政治
wrath n．愤怒，大怒
cleavage n.裂缝，分裂
ample adj．富足的，充足的
sequacious adj．前后一贯的，盲从的
construe v．解释，翻译
peruse v．细读，精读
motley adj．混杂的，杂色的
deice v.防冰，除冰
onlooker n．旁观者
clarity n.清楚
tattle v.闲谈，泄密
flaccid adj．松驰的，软弱的
moppet n.小孩，小女孩
legacy n．遗产，遗留之物
embed v.牢牢插于,嵌于
histrionic adj．演戏的，剧院的
expel v.排出,开除
gustation n．品尝，味觉
descry v．远远看到，望见
tusk n．（象）长牙
pittance n.微薄的收入，少量
sentry n．哨兵，步哨
patent adj．显而易见的n．专利权（证书）
quantum n．定量
sham n．假货，虚假，v．伪装
quisling n．卖国贼，内奸
specious adj．似是而非的，华而不实的
attenuate v.变薄,变弱
subcutaneous adj.皮下的
paleography n．古文字学
sinuous adj．蜿蜒的，迂回的
deadlock n．相持不下，僵局
immure v．监禁
resort n．度假胜地
vexation n．困扰，苦恼
prosody n．诗体学,韵律学
perishing adj．严寒的
exotic adj.珍奇的,来自异国的
henpecked adj．顺从妻子的，惧内的
rationale n．基本原理，根据
austere adj.朴素的,(人)正经的
legislature n．立法机关
ferret n．雪貂，v．搜寻
chaperon v.陪伴，伴随
raucous adj．（声音）沙哑的，粗糙的
malodorous adj．有臭味的、不合法的
catalyst n．催化剂，促使事情发展的因素
tally v．（使）一致，符合n．完全相似
footloose adj．自由自在的，无拘束的
taboo adj．讳忌的n．禁忌
discography n.唱片分类目录
neigh v.n.马嘶，马嘶声
intermingle v．混合,搀杂
consolation n．安慰，慰藉
whet v．磨快，刺激
paralyze v．使瘫痪，使无效
botanical adj．植物（学）的
predator n．食肉动物
pneumonia n．肺炎
tenure n．任期，终身职位
knowledgeable adj．有丰富知识的，博学的
puerility n．稚气,幼稚
princely adj．王子的,慷慨的
inveigle v．诱骗，诱使
aggrieved adj．（因受伤害而）愤愤不平的，痛心的
solder v．焊接，焊合
antibiotic n．抗生素，adj．抗菌的
verdigris n．铜锈，铜绿
hinder v．阻碍，妨碍
charisma n．（大众爱戴的）领袖气质，魅力
bauxite n.铝土岩(产铝的矿土、石)
scintillating adj．才气横溢的
ignominious adj．可耻的，屈辱的
depletion n．耗尽，枯竭
transcendence n．超越，卓越
truism n．自明之理，真理
turquoise n．绿松石，adj．碧绿的
papoose n.幼儿，背婴儿的袋子，(
exile v.n.放逐
oratory n.演讲术，祈祷室，小礼拜堂
unwieldy adj．笨重的，笨拙的
jilt v.抛弃，遗弃(情人或恋人)
installment n．分期付款，安装
closure n.关闭，中山
constituent n．成份，选区内的选民
tussle n．v．扭打，搏斗，争辩
accrue v．（利息等）增大，增多
emend v．订正，校订
bravado n．故作勇敢，逞能
gallant adj．勇敢的，（向女人）献殷勤的
ingratiate v．逢迎，讨好
pawn n．v．典当，抵押，n．小人物，走卒
ewer n．大口水罐
puritanical adj．极端拘谨的
renaissance n．复兴，再生
harass v．烦扰
subsume 　v．包含，包容
lark n．玩笑，嬉耍
foyer n．门厅，休息室
falsify v．窜改,说谎
dissemble v．隐藏、掩饰（感受，意图）
repose v．躺着休息，安睡
complacent adj.自满的，得意的
outlandish adj．奇怪的，古怪的
seraphic adj．如天使般的，美丽的
pageant n．壮观的游行，露天历史剧
bald adj.秃头的
charades n．用动作等表演的字谜游戏
freckle n．雀斑，斑点
reckless adj．轻率的，鲁莽的
deflection n．转向，偏斜
sapless adj．没有无气的
palaver n．v．空谈，奉承
rawhide n．（牛的）生皮
incoherent adj．（思想文字）不连贯的
juxtapose v．并排，并置
viscosity n．粘度，粘性
panoply n．全副穿戴，全副甲胄
xenophobia n．仇外，排外
reverberant adj．起回声的
detection n．查出、探获
genre n．（文艺的）类型
incessant adj．无间断的，连续的
lacework n．网状物
indoctrinate v．灌输思想
elongation n.延伸
fop n．（喜好精致服装的）花花公子．
amnesty n．大赦，特赦
overshadow v．遮蔽，使显得不重要
cuirass n.胸甲，护胸铁甲
hostage n．人质
adobe n．泥砖，土坯
anode n.(电)阳极，正极
stark adj．（外表）僵硬的，完全的
tugboat n．拖船
janitor n．管理员，管门人
plank n．厚木板,要点
guy n．（铁塔等的）支索，牵索
slate n．石板，候选人名单v．提名
allusion n．暗示
curvaceous adj．婀娜多姿的，曲线的
grill v．烤，烤问，n．烤架
legerdemain n．手法，戏法
joust v．马上长枪比武，竞争
impermeable adj．不可渗透的，不透水的
muniments n．契据，房契
bile n．胆汁
emblematic adj．作为象征的
astrolabe n．星盘（古代星位观侧仪）
astigmatism n．散光
layabout n.懒汉
symposium n．专题讨论家，研讨会
seep v．（液体等）渗漏
chink n.隙缝，裂口，n.v.丁当作响
pyromania n．纵火狂
histrionic adj．演戏的，剧院的
texture n．质地，结构
volatile adj．反复无常的，挥发性的
mediocrity n．平庸，碌碌之人
contort v．（使）扭曲
atonement n.赎罪,弥补
obscene adj.淫秽的
invidious adj．惹人反感的，招人嫉妒的
ooze v．慢慢地流，渗出，（勇气）逐渐消失
shoddy n．劣质的，冒充好货的
heritage n．遗产，继承物
pantheon n．万神殿，众神
facade n．建筑物的正面,外表
exhume v.掘出,发掘
liberality n．慷慨，心胸开阔
profundity n．深奥,深刻
agnostic adj．不可知论的
penetrating adj．敏锐的，尖锐的
concordant adj．和谐的，一致的
aphorism n．格言
strum v.(漫不经心地)弹奏
vertebrate adj．脊椎动物
gutter n．水槽，街沟
knave n.不诚实的人，无赖
trunk n．树干，大衣箱
extemporize v．即席演说
puddle n．水坑,洼
excursion n.短途旅游
lilliputian adj．小人国的，气量小的
levee n．防洪堤，堤岸
ballast n.(船等)压舱物
forfeiture n．（名誉等）丧失
entity n．实体,统一体
encomium n．赞颂，颂辞
remit v．免除，宽恕，汇款
inspiration n．（思考而得的）启示，灵感
trowel n．泥刀，小铲子
calibre n．（枪等）口径，（人或事）品质，才能
regimen n．养生法，生活规则
cursive adj．草书的
explicable adj.可解释的
conglomerate v．集聚，集团
breach v．毁坏，泄密　n．缺口
emboss v．加浮雕花纹于,使凸出
supposition n．猜想，推测
reiterate v．重申，反复地说
limousine n．轿车，小客车
catholic adj．（兴趣等）广泛的，（人）宽厚的
craven adj．懦弱的，畏缩的
ensemble n．全体,大合唱
outface v.大胆地对付，无畏面对
barbed adj.有倒钩的,讽剌的
retrogress v．倒退，退化
premiere n．首次公演
renal adj.肾脏的
accede v．应允，同意
forlorn adj．孤独的，凄凉的
lope n．轻快的步伐，v．轻快地迈着大步
degenerate v．退步，堕落
poser n.不易处理之事
unadvised adj．草率的，鲁莽的
latent adj．潜伏的
perceptive adj．感觉敏锐的
ruminate v．反刍，再嚼，深思
hybrid n．杂种，混血人
blitz n.闪电战，大量活动
lava n．熔岩
conceivable adj．想像得出的，可信的
capacity n．容量，能力
shale n．页岩
trash n．废物，垃圾
agenda n．议程
meander v．蜿蜒而流，漫步
acquiesce v．勉强同意，默认
prance v.(马)腾跃，(人)神气活现地走(
infatuated adj．迷恋（人）的
impressionable adj．易受影响的
delinquency n．失职，罪行
integrity n．正直,诚实,完整
souvenir n．纪念物，纪念品
institute v．制定，创立（社团，规章）n．学院，协会
travail n．艰苦劳动，痛苦
arabesque n．蔓藤图饰
reclaim v．纠正，开垦（土地）
exceptional adj.特别(好)的
concordant adj．和谐的，一致的
obscure adj．难解的，不清楚的v．隐藏，使…模糊
pigment n．天然色素，干粉颜料
hecatomb n．大屠杀，百牛大祭
confection n．甜食，糖果
rehabilitate v．修复恢复（职位等）
wacky adj．（行为等）古怪的，愚蠢的
stowaway 　n．（藏于轮船，飞机中的）偷乘者
portico n.(有圆柱的)门廊
virus n．病毒
induct v．使就职，使入伍
willow n．柳树
antithetic adj．对立的
cumber vt．拖累，妨碍
desirous adj．渴望的
contiguous adj．接近的，接壤的
forceps n（医用）钳子，镊子
wanderlust n．漫游癖，旅游热
stencil n．（用以刻写图案，文字的）模板v．用模板刻写
virtuoso n．演艺精湛的人，大师
voracious adj．狼吞虎咽的，贪婪的
ginger n．姜，活力
defame v．诽谤，中伤
psephology n．选举学
retentive adj．有
blizzard n．暴风雪
pastiche n.(音乐等)混合作品
syllabus n．教学纲要
wardrobe n．衣橱，全部服装
nether adj.下部的，下面的
manifest adj．明白的v．载货清单
seditious adj．煽动性的
sneaking adj．秘密的，不公开的
audacious adj.大胆的,愚勇的
cavalcade n．骑兵队
unimpeachable adj．无可指摘的，无可置疑的（
labyrinth n．迷宫
conventionality n．陈规陋习，因袭传统
irate n．发怒的．
freeway n．高速公路
antiseptic n．杀菌剂，adj　防腐的
ardent adj．热心的，热烈的
posterity n．后代,子孙
torture n．酷刑，折磨，v．对…施以苦刑
prospectus n.章程，内容简介
cosmos n．宇宙（
extirpate 消灭,根除
clemency n.仁慈，(气候)温和
baleful adj.邪恶的,恶意的
vanguard n．前卫，先锋
austerity n.朴素,艰苦
predator n．食肉动物
acquired adj．后天习得的
provocation n．激怒
pinch v．捏，掐n．一撮，一点
plank n．厚木板,要点
exploit v.剥削，开发利用
slur v．含糊不清地讲
voyeur n．窥淫狂者，窥隐私者
uncommitted adj．不受约束的，不承担责任的
sear v．（以烈火）烧灼
shrewd adj．判断敏捷的，精明的
ultimate adj．最后的，最终的
legitimate adj．合法的，正当的
lido n．浴场，公共游泳池
incumbent n．在职者，现任者
patriotism n．爱国主义，爱国心
postulate v．假定,要求
trespass n．v．侵犯，闯入私人领地
discrete adj．个别的，不连续的
dilute v．把（液体）弄稀、弄淡
friable a.易碎的
illiberal adj．气量狭窄的，吝啬的
lapidary n．宝石工，宝石专家
cleave v.劈开，分裂
meek adj.温顺的，谦和的
magpie n．鹊，饶舌的人
fathom n．英(量水深,等于1.8米)v.彻底明白,了解
incommodious adj．不方便的，狭小的
ally n．盟国，支持者
gorgon n．丑陋女人，蛇发女怪
appalling adj　骇人的，可怕的．
acerbity n．苦涩，刻薄
lethargy n．昏睡，倦怠
commotion n.骚动，动乱
characterization n．描绘、刻画
limber adj．（肌肉）松软的，柔软的
beaver n．海狸
unearth v．挖出，发现
tempestuous adj狂暴的
haemorrhage n．出血（尤指大出血
caret n．加字符号（∨，∧）
stodge n.乏味的食物，乏味的作品
abandon v．n．放弃，放纵
migrant n．移民，候鸟
tactic n．（达到目的）手段，战术
transitory adj．短暂的，＝transient
sane adj．神志清楚的，明智的
miscellaneous adj．多种的，混杂的
extenuate v．掩饰(罪行),减轻罪过
festal adj．节日的，欢乐的
drainage n．排水，污水
insipid adj．乏味的，枯燥的
eminent adj．著名的、显著的
invective n．猛烈抨击，痛骂
dividend n．（股份的）红利
oligarchy n．寡头政治
dissent v．不同意，持异议
dimple n．酒涡，笑靥
pugnacity n．好斗性
flay v．剥皮，诈取，严厉指责
deft adj．灵巧的，熟练的（a　deft　hand能手）
penalty n．刑罚，处罚
caribou n.北美驯鹿
blasphemous adj．对神不敬的
expire v.期满,去世
abrade v．磨损，擦伤
aspiration n．渴望，热望
revolt v．叛乱，造反，反感
inert adj．惰性的，行动迟钝的
chauvinism n．沙文主义，盲目爱国主义
tornado n．飓风，龙卷风
freak n．怪物，奇事adj．反常的
itinerary n．行程表，旅行路线
neophyte n．初学者，新手
maelstrom n．大漩涡，灾祸
laudatory adj．表扬的，赞扬的
minaret n．叫拜楼（伊斯兰教寺院的尖塔）
impound v.扣押，保管
friable a.易碎的
concise adj．简洁的
contingent adj．意外的，视情况条件而定的
snarled adj．纠缠不清的
valediction n．告别演说，告别词
puerility n．稚气,幼稚
mollycoddle v．过份爱惜，娇惯n．娇生惯养的人
iodine n．碘，碘酒
wag v．（狗尾巴等）摆动　n．诙谐幽默者
deceit n．欺骗，欺诈
preponderance n．优势,多数
remunerative adj．报酬高的，有利润的
cuff n．袖口，v．用手轻拍
pasteurize v．以高热杀菌，消毒
bullion n．金条，银条
jeer v．嘲笑
incongruity n．不一致
candidature n．候选人的资格
zenith n．天顶，极点
crunch n.关键时刻，危境
hideous adj．讨厌的，丑恶的
vulgar adj．无教养的，下流的
tadpole n，蝌蚪
inborn adj．天生的，天赋的
iniquitous adj．邪恶的，不公正的
prestidigitation n．变戏法,手法敏捷
taper v.逐渐尖细
chaotic adj．混乱的
barren adj.不孕的,贫瘠的
impedimenta n．随身携带物，行李
viscosity n．粘度，粘性
panacea n．万灵药
permeate v．扩散，渗透
parchment n．羊皮纸，羊皮纸手稿
bore v．n．钻孔，令人厌烦的人
blemish v．损害，玷污n．瑕疵，缺点
fleeting adj．短暂的，飞逝的
cater v.迎合，满足需要，承办(宴会等)
demobilize v．遣散（军人），复员
prickle n．(动物或植物上的)刺,棘v．刺痛
histrionics n．演戏，表演
eavesdrop v．偷听，窃听
exclude v.排斥，排除
fledged adj．羽毛长成的，成熟的
fidget v．坐立不安n．烦躁之人
abeyance n．中止，暂搁
skive v.躲避工作
affront v．侮辱，冒犯
advent n．到来，来临
matrix n．模子，矩阵
residue n．剩余（财产）
conviction n．判罪，坚信
cynical adj．愤世嫉俗的
bulb n．植物的球茎
roe n．鱼卵
apparel n．（精致的）衣服
terrace n．一层梯田，阳台
rebuke v．指责，谴责
squash v．压碎，挤压，n．南瓜
bleachers n．（球场的）露天座位
prescription n．处方(上的药)
testy adj．性急的，暴躁的
acne n.粉刺
princely adj．王子的,慷慨的
glade n．林中的空地
doleful adj．忧愁的，消沉的
shard n．（陶器等）碎片，破片
