allegiance n．忠诚，拥护
carat n．（宝石重量单位）克拉，（金子）开
maniacal adj．发狂的，狂热的
affectionate adj．挚爱的
barrage n.火力网，弹幕
cessation n．中止，（短暂的）停止
idol n．神像、偶像
exhibitionist n.喜欢出风头的人
primitive adj．原始的,简单的
antigen n．抗原（注射于动物体内，能使之产生抗体的物质）
deprivation n．剥夺，丧失
fretful adj．烦躁的
erotic adj．性爱的，色情的(作品)
shack n．简陋的小屋，棚屋
enterprising adj．有进取心的,有事业心的
shipshape adj．整洁的，井然有序的
vegetate v．象植物般生活，无所事事
juxtaposition n．并排
taut adj．拉紧的，绷紧的
glamorous adj．迷人的，富有魅力的
miller n．磨坊主人
trial n．审判，尝试
convert v．使改变（信仰等）n．改变信仰的人
astigmatism n．散光
mask n．假面具，v．隐藏（感情）
roil v.搅浑，激怒
tyrant n．暴君，残暴之人
inferno n．火海，地狱般的场所
locution n．说话的方式或语气，惯用语
heap v．n．堆，堆积，大量
callous adj．结硬块的，无情的
depose v．免职，废黜
fatuous adj．愚味而不自知的
carve v．雕刻，（把肉等）切成片
schematize v．扼要表示
scheme n．阴谋，（作品等）体系，结构
furlough n．休假
ineffaceable adj．抹不掉的，不能消除的
decadence n．衰落，颓废
tenderfoot n.生手，新手
cessation n．中止，（短暂的）停止
nipping adj．尖酸的，剌骨的
bait n.诱饵,v.逗弄
blithe adj．快乐的，无忧无虑的
rapacious adj．强夺的，贪婪的
scared adj．害怕的，恐惧的
berserk adj．狂怒的，疯狂的
wherry n.小船，舢板
aphasia n．失语症
infraction n．违法
impetuous adj．冲动的，鲁莽的
annotation n．注解
magnate n．财主，巨头
impending adj．行将发生的，逼近的
libretto n（歌剧等）歌词，剧本
radiance n．发光，喜悦
pharmaceutical adj．制药的
monotonous adj．单调的，无聊的
bucolic adj．乡村的，牧羊的
transcendence n．超越，卓越
tangent n．切线
extol v．赞美
contuse v.挫伤，捣碎
agreement n．一致，协议
truculence n．凶猛，粗暴
opulent adj．富裕的，充足的
spontaneous adj．自发的，自然的
ethos n.(个人,团体或民族)道德风貌，思潮信仰)
dissipate v．（使）驱散，浪费
profile n．外形,轮廓侧面像
sycophant n．马屁精
bumper n．汽车前后的保险杆
explicable adj.可解释的
plank n．厚木板,要点
plummet v．垂直或突然地堕下
frieze n．（在墙顶与天花板间起装饰作用的）横条，饰带
frenetic adj．狂乱的，发狂的
gnat n．对小事斤斤计较，琐事
monstrous adj．巨大的，可怕的
mortification n．耻辱，屈辱
macerate v．浸软，消瘦
derogatory adj．不敬的，诽谤的
tussle n．v．扭打，搏斗，争辩
obsolescent adj．即将过时的
effigy n．假人，模拟像
profuse adj．很多的,浪费的
velocity n．速度，迅速
pedagogy n．教育学，教学法
impartial adj．公平的，无私的
pedigree n.家谱，纯种系谱
flaunt v．炫耀，张扬
knack n．特殊能力，窍门
gloaming n．黄昏，薄暮
insignia n．徽章，袖章
anecdote n．短故事，轶事
rashness n．轻率，鲁莽
eclogue n．田园诗，牧歌
intimidate v．恐吓，协迫
grope v．摸索，探索
ascertain v．查明，确定
oxidize v．氧化，生锈
celibacy n．独身（主义）
buckle n．皮带扣环v．扣紧
stentorian adj．（指声音）极响亮的
woozy adj.糊里糊涂的，头昏的
earring n．耳环，耳饰
megalomania n．自大狂
delimit v．定界，划界
conifer n．针叶树
implosion n．向内破裂，内爆
abominate v．痛恨，痛恶
verbosity n．唠叨，冗长
thespian adj．戏剧的，演戏的
stern n．船尾
attorney n.律师
decadence n．衰落，颓废
rotund adj．（人）圆胖的，（音声）洪亮的
contumacy n．抗命，不服从
spasmodic adj．痉挛的，间歇性的
inducement n．引诱物
improvisation n．即席创作
sterile adj．不孕的，无细菌的
fervent adj．热的，热烈的
mythology n．神话，神话学
largesse n．慷慨援助，施舍
currish adj．下贱的，杂种的
complaisance n.迁就，奉承
diffusion n．传播，散布
responsive adj．敏感的，反应快的
bucolic adj．乡村的，牧羊的
paranoia n．偏执狂，多疑症
indiscernible adj．看不清的
stammer v．口吃，结巴
shred v.切成细条，撕成碎片
flora n．（某地区或时代的）植物群
compromise v．妥协，危害（
sneak v．鬼鬼祟祟而行，偷窃
osseous adj．骨的，多骨的
timber n．木材，（人）品质，素质
celebrity n．名人，知名人士
nitpick v．挑剔，吹毛求疵
raisin n.葡萄干
pasteurize v．以高热杀菌，消毒
trumpery adj．中看不中用的，无价值的
contumelious adj．无礼的，傲慢的
crag n．悬崖，峭壁
pathology n．病理学
rashness n．轻率，鲁莽
shindy n.吵闹，盛大舞会
brace v．使稳固，架稳n．支撑物
peckish a.饿的，急躁的
snigger v．n．暗笑，窃笑
sequester v．（使）隐退，隐居
asunder adv.分离,化为碎片
matriarchy n．母权制，妇女统治
aboriginal n．原始居民，土著
crusade n．为维护理想，原则而进行的运动或斗争
deposition n．免职，沉积
gloom n．黑暗，忧郁
autopsy n.验尸，解剖
traverse v．横过，扫过
magnate n．财主，巨头
sibylline adj．预言的
asunder adv.分离,化为碎片
grandstand n.正面看台，哗众取宠的表演
piracy n.非法翻印，海盗行为
taxonomy n．（动植物的）分类学
cogent adj.有说服力的
hub n．轴心，中心
appropriation n．拨款，挪用公款
refrain v．抑制，避免n．歌曲的反复句，叠句
comatose adj.昏迷的
fornicate v.私通
fracture n．骨折，折断，裂口
mutation n．突变，变异
hairy adj．毛发的，多毛的
seasoning n．调味品、佐料
hortative adj．激励的
factious adj．有派性的，偏见的
implant v．注入，灌输
unalloyed adj．未掺杂的，纯粹的
fumigate v．以烟熏消毒
whimper v．悲嗥，鸣咽
coup n.出乎意料的行动，政变
demesne n.领地，范围
declination n．倾斜，衰微
shaft n．矛柄，把柄
suggestible adj．易受影响的
intricacy n．错综复杂
bromide n．溴化物（镇静药用），平庸的人或物
down n．绒毛，汗毛
peevish adj．坏脾气的，易怒的
exalt v.(高度)赞扬,歌颂
venison n．鹿肉
travelogue n．旅行见闻，游
unfathomed adj．深不可测的，无法理解的
singe v．（轻微地）烧焦，烫焦
calcify v．使硬化，钙化
