bamboozle v.欺骗，隐瞒
iodine n．碘，碘酒
emigrate v．自本国移居他国
irate n．发怒的．
safeguard n．防卫措施，防范措施
centrifugal adj．离心的
reverberate v．起回声，反响
pan v．严厉批评，n．平底锅
manifold adj．繁多的，多种的
chassis n．(汽车的)底盘
hermit n．隐士，修道者
lineal adj．直系的，嫡系的
votary n．崇拜者，热心支持者
penance n．自我惩罚
scenario n．剧情说明书，剧本
insular adj．岛屿的，心胸狭窄的
dashing adj．有活力的，有朝气的
repatriate v．（自异国）遣返
recount v．描述，叙述
blasphemy n．亵渎，渎神
traction n．拖拉，牵引力
evasive adj.逃避的
glaring adj．耀眼的，刺目的．
rancid adj．不新鲜的，变味的
upstage adj．骄傲的，高傲的
fleeting adj．短暂的，飞逝的
postulate v．假定,要求
tramp v．重步走，长途跋涉
demolition n．破坏，拆除
forager n．为动物寻找饲料的人
repulsive adj．令人厌恶的，驱逐的
turbulent adj．凶猛的，骚乱的
desiccate v．（使）完全干涸，脱水。
remorse n．懊悔，悔恨
palings n．篱笆，木栅栏
insularity n．心胸狭窄
prelude n．序幕,前奏
reprimand n．v．训诫，谴责
pigment n．天然色素，干粉颜料
atrocious adj.残忍的,凶恶的
ascend v．上升，攀登
loll v．懒洋洋地坐或卧
cursory adj．粗略的，草率的
avenge v.为…复仇,为…报仇
oscillation n．振动，踌躇
taxonomy n．（动植物的）分类学
packed adj．充满人的，拥挤的
apron n．围裙
subtlety n．狡猾，微妙（的感情）
trend v．n．趋势，倾向
coquetry n.卖弄风情，媚态
primitive adj．原始的,简单的
dexterous adj．灵巧的，熟练的
overt adj．公开的、非秘密的
falsify v．窜改,说谎
margarine n．人造黄油
forsake v．遗弃，放弃
rebate n．折扣，回扣
fierce adj．残酷的，凶猛的．
obtrusive adj．突出的，炫耀的
spartan adj．简朴的，刻苦的
forge n．铁匠铺，v．锤炼，伪造
sheaf n．一捆、一束
protagonist n．提倡者,支持者
limn v．描述，绘画
clannish adj.排他的，门户之见的
inexplicable adj．无法解释的，难理解的
yarn n．纱线
razzle n.狂欢聚会
seneschal n.管家，总管
platonic adj．纯友谊的(爱情)
neutral adj．中间的，中立的
eclecticism n．折衷主义
mien n．风采，态度
plausible adj．似乎合理的,嘴巧的
fathom n．英(量水深,等于1.8米)v.彻底明白,了解
excursion n.短途旅游
eugenic adj．优生(学)的
inborn adj．天生的，天赋的
ignite v．发光，燃烧
indebted adj．感激的，感恩的
elitism n.精英论,优秀人士统治
file n．锉刀v．锉平
quell v．制止、镇压
plebeian n．adj．平民,平民的
nadir n．最低点，无底
rancor n．深仇，怨恨
stockade 　n．栅栏，围栏
lament v．n．悲伤、哀悼
unguent n．药膏，软膏
raid n．突然袭击
tycoon n．有钱有势的企业家，大亨
stagnant adj．不流动的，停滞的
plagiarism n．剽窃,抄袭
tedium n．单调乏味
firmament n.苍穹，天空
dehydrate v．除去水份，脱水
curmudgeon n．脾气暴躁之人
repercussion n．反应，影响，回声
vermin n．害虫，寄生虫
hound n．猎狗。v．不断骚扰
obstreperous adj．吵闹的，难管束的
shaft n．矛柄，把柄
render v．使得，给与
superfluous adj．多余的，累赘的
estimable a.值得敬重的，可估计的
transgress v．冒犯，违背
neophyte n．初学者，新手
spell n．连续的一段时间，一阵子
surfeit n．（食物）过量，过度
obtrude v．突出，强加
indomitable adj．坚强不屈的
simulate v．假装，模仿
resplendence n．灿烂，辉煌
vulpine adj．狐狸的，狡猾的
deficiency n．缺陷，不足
brink n．（峭壁的）边沿，边缘
depredation n．劫掠，蹂躏
leaflet n．传单
moiety n．一半，半份
resurrect v．使复活，挖出
cathartic n．泻药
jolt n.颠簸，震摇
lactic adj．乳汁的
conspicuous adj．显著的，显而易见的
disbursement n．支出，开支
fulsomeness n．虚情，谄媚
turbid adj．混浊的，紊乱的
herald n．传令官，预示
rail n．栏杆，铁轨，v．咒骂，猛烈指责
seedling n．幼苗
truism n．自明之理，真理
humidity n．湿度，湿气
provisional adj．暂时的,临时的
mandate n．命令，指令，v．批准
piety n．虔诚
metaphorical adj．隐喻的，比喻的
libation n．奠酒（给神献酒），饮酒
credulity n．轻信，易信
apprehensive adj．恐惧的，担心的
asphyxia n．窒息
perplexed adj．困惑的
belligerent adj．（国家等）交战的，挑斗的
imprint v．盖印，刻印
hysterical adj．歇斯底里的，情绪激动的
usurp v．篡夺，霸占
intact adj．完整的,未动过的
knotty adj．有节疤的，困难的
paucity n．小量，缺乏
acrimonious adj．尖刻的
stigmatize v．污蔑，玷污
invective n．猛烈抨击，痛骂
thrifty adj．节省的，节俭的
savant n．博学之士，大学士
beholder h．目睹者
decree n．命令，法令，v．颁布命令，公告
impartial adj．公平的，无私的
protagonist n．提倡者,支持者
skirmish n．小战，小争吵
congruent adj．全等的
shareholder n．股东
shrivel v．枯萎，皱缩
stake n．柱子，赌注
epigrammatic adj．警句的
jaunty adj．愉快的，满足的
excesses n.过份荒淫的行为
undaunted adj．不屈不挠的，无畏的
besmirch v.诽谤，玷污
fractional adj．微小的，极小的
abattoir n.屠宰场，角斗场
miniature n．小画像，缩影
trash n．废物，垃圾
terminate v．终止，结束
