comport v.举止，行为
epidemic adj．传染性的，流行性的
promenade n．v．散步,开车兜风
inexpedient adj．不适当的，不明智的
valetudinarian n．体弱的人，过份担心生病的人
indomitable adj．坚强不屈的
outskirts n．郊区，郊外
premeditated adj．预谋的,事先计划的
antithetic adj．对立的
halt v.暂停前进，停止
iridescent adj．闪光的，现晕光的
ambiguous adj．含糊的，不坦率的
taxonomy n．（动植物的）分类学
gorge n．峡谷v．贪婪地吃
statuette n．小雕像
scheme n．阴谋，（作品等）体系，结构
humble adj．卑微的，低声下气的
condescend v．屈尊，俯就
pied adj．杂色的
barter v.以物易物,物物交换
exceedingly adv.过份地
reprehensible adj．应受谴责的
idolatrous adj．偶像崇拜的
pugilism n．拳击,搏击
perspective n．（判断事物的）角度，方法，透视法
toil n．v．辛苦，辛勤劳作
revile v．辱骂，恶言相问
lactic adj．乳汁的
adamant adj．强硬的，固执的
arson n．纵火、放火
amputate v．切除
amicable adj．友好的
sable n．黑貂，adj．黑色的
encumbrance n．妨碍物，累赘
inconsiderate adj．不体谅别人的
superficial adj．表面的，肤浅的
phantom n．鬼怪，幽灵，幻象
modicum n．少量
discontented adj．不满足的，不满意的
denomination n．命名，（长度，币值的）单位
supplant v．排挤，取代
assert v．断言，主张
tedium n．单调乏味
weird adj．古怪的，荒唐的
adamant adj．强硬的，固执的
objection n．厌恶，反对
connotative adj．有含意的，暗示的
hardihood n．大胆，鲁莽
estimable a.值得敬重的，可估计的
gossamer n．蛛丝，薄纱，adj．轻而薄的
lint n．保护伤口的软布
drone v．嗡嗡地响，n．单调的低音
grandeur n．壮丽，伟大
momentary adj．短暂的，瞬间的
retention n．保留，保持
crayon n．彩色笔、粉笔或其绘画
glib adj．流利圆滑的，善辩的
rally v．n．召集，集会
virile adj．有男子气的，雄健的
typhoid n.伤寒症
subservient 　adj．恭顺的
prurience n．好色,淫乱
enfranchise v．给予选举权,释放(奴隶)
contempt n．轻视，鄙视
solvency n．溶解力，还债能力
bouquet n．花束
perceptible adj．可以感觉到的，可见的
instill v．滴注，逐渐灌输
hospitality n．好客，殷勤
purlieus n．邻近地区
saliferous adj．含盐的，产盐的
cheetah n．猎豹
protract v．延长,拖长
ephemeral adj．朝生暮死的，生命短暂的
conversant adj．精通的，熟知的
perfume n．香味，香水
twee adj.脆弱的，故作多情的
pal n．伙伴，好朋友，v．交友
standoffish adj.有点不友好的，冷淡的
malinger v．装病以逃避工作
gleeful adj．欢乐的，欣喜的
mogul n．显要人物，权势之人
impenitent adj．不悔悟的
fold n．羊栏，畜栏，v．折叠
crag n．悬崖，峭壁
precept n．箴言,格言
unfounded adj．无事实根据的
elm n．榆树
schematic adj．扼要的，图解的
ambiguity n．模棱两可
hilarity n．欢乐，热闹
doggerel n．歪诗，打油诗
cider n.苹果酒，苹果汁
hazard n．危险
nativity n．出生，诞生
prefigure v．预示,预想
credence n．相信，信任
boorish adj．粗野的
raucous adj．（声音）沙哑的，粗糙的
chunky adj．（人或动物）矮胖的
contraction n．收缩
emolument n．报酬，薪水
delinquent adj．疏忽职务的，有过失的
phrase n．警句，乐句，短语
lease n．租约，租期，v．出租
dilate v．（身体某部位）张大，扩大
audit v.审计,核对,旁听
intrusion n．私闯，干扰
munitions n．军火，弹药
convocation n．召集，会议
maltreat v．虐待
stain v．玷污，染色
synopsis n．摘要，概要
salacious adj．好色的，淫荡的．
glare v．发出眩目光芒，怒目而视
pragmatism n．实用主义
pregnant adj．怀孕的,充满的
scheme n．阴谋，（作品等）体系，结构
assertive adj．言语果断的，断言的
promulgate v．颁布,传播
logistics n．后勤学
idyll n．田园生活，田园诗
complaisant adj.顺从的，讨好的
hectic adj．兴奋的，繁忙的
intervention n．干涉
dirge n．哀歌、凄凉之曲调
speculation n．思索，推测，投机
crinkle v．（使）变皱，n．皱纹
auricular adj.耳的
usurious adj．放高利贷的
minuet n．小步舞
impermeable adj．不可渗透的，不透水的
flatcar n．平台型铁路货车
mawkish adj．自作多情的，令人作呕的
crater n．火山口，弹坑
outgoing adj．友善的，即将离去的
premium n．保险费,奖金
rib n．肋骨，伞骨
insidious adj．祸害隐伏的
permeable adj．可渗透的
attribution n.归属
spool n．（缠录音带等的）卷盘（轴）
vacuity n．（想象力等）贫乏，无聊，空白
safari n．狩猎旅行，长途考察
caricature n．讽刺画，滑稽模仿
aficionado n.爱好者
dredger n．挖泥船
patch n．补丁，一小片（土地）
vulgar adj．无教养的，下流的
flippant adj无礼的，轻率的
broil v.烤，烧
agglomerate v．凝聚，结块
spectacular adj．壮观的，引人入胜的
irreparable adj．无法修复的，不能挽回的
espy v．(从远处等)突然看到
inertia n．惰性，懒惰
latent adj．潜伏的
waspish adj．易怒的，尖刻的
tableau n．画面，活人画（舞台上活人扮的静态画面）
judicious adj．有判断力的，明智的
irrevocable adj．不能改变的，无法取消的
mourn v．哀悼，哀伤
scrumptious adj．（食物）很可口的，漂亮的
roil v.搅浑，激怒
mosaic n．镶嵌细工，马赛克
stereotype n．固定形式，老套
handle n．柄，把手，v．处理
compliment v.n.恭维，称赞
dank adj.阴湿的
lenience n.宽大，温和
fascination n．魅力,娇媚
desultory adj．不连贯的，散漫的
disgorge v．呕出，（水）流走
precede v．在…之前,早于
ponder v．仔细考虑
curb n．马勒v．控制
medium n．媒介，（细菌等）生存环境
retrieve v．寻回，取回，挽回（错误）
purblind adj．愚钝的,视力不佳的
sanction n．v．批准，认可
ankle n．脚踝
protuberant adj．突出的,隆起的
clampdown n.对言行的限制或禁止
skulduggery n．舞弊，作假
rhinestone n．水晶石，莱茵石
cupidity n．贪婪
abhorrent adj．可恨的，可厌的
endemic adj．地方性的
culpable adj.有罪的，该受谴责的
gregarious adj．群居的，爱社交的
splendor n．壮丽，辉煌
intangible adj．不可捉摸的
list v．n．倾斜
fumes n．（强烈而刺激的）气味，气体
vessel n．血管，容器，船只
synchronous adj．同时发生的，同步的
partition n．瓜分，隔开
listless adj．无精打采的
solemnity n．庄严，肃穆
trespass n．v．侵犯，闯入私人领地
installation n．就职，安装
increment n．增值，增加
hide n．兽皮
irreconcilable adj．不能妥协的，不能和解的（
humility n．谦逊，谦恭
bonny adj.健美的，漂亮的
barricade v.n.设栅阻挡,栅栏
axle n.轮轴(连接二个车轮的轴)
intact adj．完整的,未动过的
