visage n．脸，面貌
torture n．酷刑，折磨，v．对…施以苦刑
neophyte n．初学者，新手
inextricable adj．无法摆脱的，纠缠的
authorize v.授权,批准
bauxite n.铝土岩(产铝的矿土、石)
voluptuary n．耽于逸乐的人
pachyderm n．厚皮动物，厚脸皮的人
enhancement n．增加,提高
contrite adj．悔罪的，痛悔的
ferocity n．凶猛，残暴
fretful adj．烦躁的
insubordinate adj．不服从的，反抗的
immensity n．巨大之物，无限
felicitate v．祝贺、庆贺
moderator n．调解人，仲裁人
protuberant adj．突出的,隆起的
dandified adj．打扮得像花花公子的
landslide n．山崩，压倒性胜利
vista n．远景，展望
intervene v．介入,干涉
skull n．头盖骨，脑壳
edict n．法令、命令
impartial adj．公平的，无私的
finable adj．应罚款的
illiterate adj．文盲的
snobbish adj．势利眼的
priority n．在先,居前,优先权
viaduct n．高架桥
herald n．传令官，预示
glee n．欢喜，高兴
pastor n．牧师，牧人
pertinent adj．有关的，相关的
exponent n.说明者，支持者
comatose adj.昏迷的
malignity n．邪恶，恶毒
hallow v．把…视为神圣，尊敬
graft v．嫁接，移植，n．贪污
fret v．n．（使）烦躁，焦虑
stridency 　n．尖锐，刺耳
glossary n．字汇表，难词表
prosperous adj．繁荣富强的
jog v．慢而平静地前进
refulgence n．辉煌，光亮
hospitality n．好客，殷勤
pointer n．一种短毛猎犬
augmentation n.增加
condemn v．极力谴责，判刑（死刑等）
peripatetic adj．巡游的
sprinkler n．洒水装置，洒水车
divestiture n.剥夺，脱衣
imbroglio n．纠纷，纠葛
pedantry n．迂腐
narcotic n．催眠药adj．催眠的
resurrection n．复活
incursion n．侵犯，入侵
purgation n．净化,洗罪
demote v．降级，降职
malapropism n．字的误用
correspondent adj．符合的，n．
poignancy n．辛酸事,尖锐
gaunt adj．憔悴的，瘦削的
patriarchy n．家长，父系社会
mountebank n．江湖郎中，骗子
gaggle n．鹅群
taciturn adj．沉默寡言的
pugnacious adj．好斗的
mycology n.真菌学
multitude n．多数，大众，平民
