nebulous adj．模糊不清的，云状的
shrill adj．尖锐的、剌耳的
splint n．（固定断骨的）夹板，托板
retailer n．零售商
tinge v.给……染色
pertinacious adj．顽固的
derogate v．贬低，诽谤
deciduous adj．脱落的，落叶的
gargoyle n．（雕刻成怪兽状的）滴水嘴，面貌丑恶的人
rapt adj.专注的
populace n．民众,老百姓
sluggard n．懒鬼
unscathed adj．未受损伤的，未遭伤害的
foreclose v．排除，取消抵押品的赎回权
prolix adj．罗嗦的,冗长的
executor n.遗嘱执行人
incubation n．孵卵期，潜伏期
typhoid n.伤寒症
blasphemy n．亵渎，渎神
quarantine n．隔离检疫期，隔离
advisable adj．适当的，可行的
liquidate v．清除，清偿，停止
bonanza n.走运，发财
vulpine adj．狐狸的，狡猾的
fairy n.神仙,娘娘腔男人
sedate adj．安静的、镇静的
retrieval n．取回，补偿
maze n．迷宫
spruce n．云杉，adj．整洁的，潇洒的
quadrangle n．四边形
shallop n．轻舟，小舟
conflagration n．建筑物或森林大火
impertinent adj．不恰当的，粗鲁的
insufficiency n．缺乏，不足之处
ethos n.(个人,团体或民族)道德风貌，思潮信仰)
militant adj．好战的，好暴力的
vindicate n．为…平反证明…正确
infantile adj．幼稚的，幼儿的
turbulent adj．凶猛的，骚乱的
die n．金属模子，印模
effeminate adj．柔弱的，缺乏勇气的
gamut n．全音阶，（一领域的）全部知识
corny adj．平谈无奇的，乡巴佬的
errant adj．错误的，脱离正途的
edifice n．宏伟的建筑物（如宫殿，教室）
impervious adj．不能渗透的，不为所动的
detour n．弯路，绕行之路
neurology n．神经病学
comely adj.动人的，美丽的
corny adj．平谈无奇的，乡巴佬的
edification n．陶冶、教诲
gaudy adj．俗丽的
sallow n．柳树，adj．病黄色的
ponder v．仔细考虑
hobgoblin n.妖魔，恶鬼
iterate v．重做，反复重申
pithy adj．(讲话或文章)简练的
grate v．磨碎，使人烦燥
intimidation n．恐吓
burnish v．擦亮，磨光
intolerant adj不容异已的
adage n．格言，古训
contraction n．收缩
domain n．领土，领域
underhanded adj．不光明的，卑鄙的
simultaneous adj．同时发生的
garrulity n．唠叨，饶舌．
collision n.碰撞，冲突
pendulum n．摆，钟摆．
intelligible adj．可了解的,清晰的
neigh v.n.马嘶，马嘶声
condescend v．屈尊，俯就
rumple v．弄皱，弄乱
savanna n．热带或亚热带之大草原
