diatribe n．（口头或书面猛烈的）抨击，抨击性演说
legacy n．遗产，遗留之物
ineptitude n．无能，不称职
oculist n．眼科医生
interpolate v．加入(额外的事),窜改
panel n．讨论小组，仪表板
reconcile v．和解，调和
slough v．n．（蛇等）蜕皮，蜕壳
hump n．隆起，驼背，v．隆起
forgery n．伪造（物）
pistol n．手枪
insufferable adj．无法忍受的
surrogate n．代替品，代理人
straits n．困难，窘境
titanic adj．巨人的，力大无比的
detractor v．贬低者
timely adj．适时的，及时的
belligerent adj．（国家等）交战的，挑斗的
periphrasis n.绕语，迂回的话
snappy adj．精力充沛的，潇洒的
anomalous adj．反常的，不规则的
coltish adj.放浪不拘的，似小马的
plumage n．羽毛
verbose adj．冗长的，罗嗦的
monologue n．独白，个人长篇演说
exponent n.说明者，支持者
apparition n．幽灵，神奇的现象
reparable adj．能补救的，可挽回的
finch n．雀科鸣禽（如燕雀，金丝雀等）
foment v．煽动，助长（坏事）
dynamic adj．动态的，有活力的
mannequin n．时装模特儿，假人
frigidity n．寒冷，冷淡，性冷淡
rhapsody n．溢美之词，狂想曲
spurn v．拒绝，摈弃
whisper v．耳语，低声说话
radiance n．发光，喜悦
philology n．语文学，语言学
welsh v．赖债不还，失信
inexorable adj．不为所动的，坚决不变的
nautical adj．船员的，航海的
philanthropist n．慈善家
requisite nadj．必需物，必要的
pathetic adj．引起怜悯的，令人难过的
contagious adj．传染的，有感染力的
fairy n.神仙,娘娘腔男人
strait 　n．海峡，adj．狭窄的
reinstate v．恢复（原职）
discography n.唱片分类目录
wimple n.头巾，v.用头巾围
mists n．史前时代
checkmate n.(象棋中)被将死时王的位置，完全失败
scripture n．经文，圣典
stridulate v.(昆虫)唧唧鸣叫
emend v．订正，校订
benighted adj.愚昧的
dote v．溺爱，昏愦
amicable adj．友好的
saturnalia n．纵情狂欢
purport n．意义，涵义
umpire n．裁判，v．对…进行仲裁
peculate v．挪用（公款）
pitfall n．陷阱,未料到的危险或困难
encomium n．赞颂，颂辞
vanilla n．香草，香子兰
salutary adj．有益的，有益健康的
vandalism n．（对公物）恶意破坏
verbosity n．唠叨，冗长
evade v.逃避,规避
airborne adj．空气传播的，（部队）空降的
recital n．独奏，吟诵
smattering n．略知，少数
ingenuity n．巧思，聪敏
encompass v．包围、围绕
oblivious adj．不在意的，疏忽的
banner n.旗帜,横幅标语旗
infuse v．灌输，使…充满
viscosity n．粘度，粘性
coincide v.巧合，一致
adopt v．收养，采纳
mutilate v．残害，切断
excoriate v.撕去皮，严厉批评
smug adj．自满的，自命不凡的
phantom n．鬼怪，幽灵，幻象
jerk n.v．猛然一拉
impregnable adj．攻不破的，征服不了的
bazaar n.集市,商店集中区
comport v.举止，行为
guttle v．狼吞虎咽
disport v．玩耍、嬉戏
consignment n．托运，寄售
celibate n．adj．独身者，不结婚的．
ablution n．（宗教的）净礼，沐浴
restraint n．克制
cosmos n．宇宙（
cosset v.宠爱，娇养
skit n.滑稽短剧
nonflammable adj．不易燃的
asylum n.避难所,庇护所
homely adj．朴素的，不漂亮的
nestling n．尚未离巢的小鸟
disabuse v．打消（某人）的错误念头，纠正
peaky adj．憔悴的
byline n．（列作者名字的）报刊文章首行
demarcate v．划分，划界
ruffle v．变皱，弄皱，激怒
intumescence n．肿大，肿胀
eschew v．避开,戒绝
contagious adj．传染的，有感染力的
dislocate v．使脱臼，把…弄乱
symbiosis n共生，共栖
chequer v.变化，沉浮
hapless adj．不幸的
polymath n．知识广博者
asphalt n.沥青
fluffy adj．有绒毛的，空洞的
accrue v．（利息等）增大，增多
resignation n．听从，辞职
buffoon n.丑角，缺乏教养之人
crayon n．彩色笔、粉笔或其绘画
static adj．静态的，呆板的
protract v．延长,拖长
hustler n．非常活跃之人
permissive adj．过份纵容的
cornucopia n．象征丰收的羊角（羊角装饰器内装满花、果、谷物等以示富饶）
symmetry n．对称，均衡
chump n.呆子，笨蛋
investiture n．任职仪式，授权仪式
immolate v．牺牲，焚祭
prejudicial adj．有害的,引起偏见的
regiment n．（军队）团v．严格控制
fierce adj．残酷的，凶猛的．
rusticate n．过乡间生活
astigmatism n．散光
overhaul v．n．彻底检查，大修
procession n．行列,前进
incapacity n．缺乏能力
fracas n．喧嚷，吵闹
furlough n．休假
reincarnation n．化身，转世的生命
limpid adj．清澈的，透明的
gneiss n．片麻岩（一种艰硬的岩石）
prelude n．序幕,前奏
spectacular adj．壮观的，引人入胜的
demur v．表示异议，反对
travelogue n．旅行见闻，游
flimsy adj．轻而薄的，脆弱的
stamina n．体力，耐力
dilute v．把（液体）弄稀、弄淡
urbane adj．温文尔雅的，懂礼的
senility n．衰老，老化
inept adj．无能的，不适当的
delectation n．享受，愉快
requisition n．要求，请求
cower v．畏缩，蜷缩
frolicsome adj．快活的，欢乐的
mogul n．显要人物，权势之人
perplexed adj．困惑的
swot n.刻苦学习的人,v.苦读
smolder v．无火焰地闷烧，压抑
anthropology n．人类学
ascetic adj．禁欲的n．苦行者
concoction n．调配（物），谎言
repugnant adj．令人厌恶的
entity n．实体,统一体
arson n．纵火、放火
warrant n．正当理由，逮捕证
promulgate v．颁布,传播
charter n．（公司）执照，宪章
barbarity n.残忍,残暴
penance n．自我惩罚
mortification n．耻辱，屈辱
monasticism n．修道生活，禁欲主义
convertible adj．可转换的，n．敞篷车
ulcerate v．溃烂，生恶疮
steer n．公牛，食用牛
elude v.逃避,
concordant adj．和谐的，一致的
incision n．切口，切割
balderdash n.胡言乱语
ravenous adj．饿极了的，贪婪的
recriminate v．反责，反控
grovel v．摇尾乞怜，奴颜婢膝
dilapidated adj．破旧的，倒塌的
eject v.喷出、逐出
emergence n．出现
trickle v．一滴滴地流，徐徐地流
acute adj．灵敏的，（病）急性的
disbarment n．取消律师资格
star-crossed adj．时运不济的
suffuse v．（色彩等）弥漫，染遍
psychiatric adj．精神病的
temporal adj．时间的，世俗的
noose n．绳套，绞索（刑）
parley n．v．和谈，会谈．
tornado n．飓风，龙卷风
invigilate v．监考．
cajole v．（以甜言蜜语）哄骗
nemesis n．报应，天罚
hilt n．（剑或刀之）柄
libertine n．性行为放纵者，浪荡子
trim v．修剪，adj．井井有条的
strangulation 　n．扼杀，勒死
hunch n．直觉，预感
conscript v．征兵，征召
scald v．烫，用沸水消毒n．烫伤
ruminate v．反刍，再嚼，深思
moderate adj．不过份的，有节制的　v．减轻，节制
penalty n．刑罚，处罚
splurge n．炫耀，摆阔
outfox v．以机智胜过
magnanimous adj．宽宏大量的，慷慨的
destruction n．毁坏，毁灭（的原因）
engulf v．吞噬
indispensable adj．不可缺乏的
scour v．擦洗，擦亮
foppish adj．浮华的，俗丽的
elaborate adj.精致的、复杂的
piano adj．（音乐）轻柔的
guttle v．狼吞虎咽
proximity n接近,附近
impalpable adj．无法触及的，不易理解的
eject v.喷出、逐出
reverberant adj．起回声的
lingual adj．舌的，语言的
filth n．肮脏，粗语
deflated adj．灰心丧气的
reversion n．返回（原状，旧习惯），逆转
insularity n．心胸狭窄
colt n.小雄驹
mistral n．冷而干燥的强风
entomology n．昆虫学
qualm n．疑惧，紧张不安
malleable adj．可塑的，易改变的
guzzle v．大吃大喝
lacklustre adj．无光泽的，呆滞的
overwrought adj．紧张过度的，兴奋过度的
obsequious adj．逢迎的，谄媚的
tadpole n，蝌蚪
hummingbird n．蜂鸟
horticulture n．园艺学
ebullient adj．兴冲冲的，热情奔放的
suspense n．悬念，悬疑，挂念
compassion n.同情，怜悯
sterilize v．使不育，杀菌
gargoyle n．（雕刻成怪兽状的）滴水嘴，面貌丑恶的人
cadet n．军校或警官学校的学生
plummet v．垂直或突然地堕下
irresistible adj．无法抗拒的，无法抵抗的
ecdysis n．（动物）蜕皮，换羽毛
obliterate v．涂掉，擦掉
glaring adj．耀眼的，刺目的．
tedium n．单调乏味
infliction n．（强加于人身的）痛苦，刑罚
backlog n.积压未办之事
sublime adj雄伟的，崇高的，n．顶峰
sprint n．全速奔跑
cloistered adj.隐居的
imaginary adj．虚构的
anterior adj．较早的，以前的
glutton n．贪吃者
mortise n.榫眼v.用榫接合
dictum n．格言、声明
revolt v．叛乱，造反，反感
presumable adj．可能的,可假定的
hypothesis n．假设，假说
demur v．表示异议，反对
usurious adj．放高利贷的
promulgate v．颁布,传播
vermin n．害虫，寄生虫
shaft n．矛柄，把柄
antenna n．触角，无线
fallow n．adj.休闲地,休闲的
panache n.夸耀，炫耀
nativity n．出生，诞生
drizzly adj．毛毛细雨的（a　drizzly　day）
archives n．档案
hymn n．赞美诗
detriment n．损害，伤害
exude v.使慢慢流出,四溢
inkling n.暗示，细微的迹象(
confection n．甜食，糖果
dune n．沙丘
delinquent adj．疏忽职务的，有过失的
axiomatic adj.不需证明的,不言自明的
anonymous adj．匿名的
vacuous adj．发呆的，无意义的
intransigence n．不妥协，不让步
theology n．神学，宗教
unflappable adj.镇定的，从容不迫的
prurience n．好色,淫乱
infamy n．恶名昭彰
burrow n．（兔子等）所掘的地洞，v．挖洞
reaper n．收割者
rankle v．（怨恨，失望等）难以释怀
dividend n．（股份的）红利
swarm n．（蜜蜂）一群，一群（人）
turret n．塔楼，角塔
swell v．肿胀，肿大n．（人）丰满
frisky adj．活泼的，快活的
trivial adj．琐细的，平庸的
intermingle v．混合,搀杂
itinerary n．行程表，旅行路线
complimentary adj.赞赏的
broach v．开瓶，提出（题目）
rhapsodize v．过份赞美
implore v．哀求，恳求
mutton n．羊肉
beguiling adj．欺骗的，迷人的
insipid adj．乏味的，枯燥的
corroboration n．证实，支持，证据
pose v．摆姿势,造作
concession n．让步，特许权
congest v．充血，使拥挤
absolution n．赦免，免除
throaty adj．嗓子沙哑的
sculpt v．雕刻
impoverish v使成赤贫
vintner n．酒商
devastate v．摧毁，破坏
levee n．防洪堤，堤岸
hypersensitive adj．过份敏感的
cession n．割让，转让
didactic adj．教诲的、说教的
lasso n．套索（捕捉牛、马用）
concord n．和睦，公约
hunk n．大块（食物）
valiant adj．勇敢的，英勇的
stingy adj．吝啬的，小气的
uptake n.摄取，领会
euphonious adj.悦耳的
therapy n．疗法
metaphor n．隐喻，暗喻
irritate v．激怒，刺激
mutation n．突变，变异
corny adj．平谈无奇的，乡巴佬的
grandiloquent adj（语言等）夸张的，夸大的
yacht n．帆船，游艇
rapture n．狂喜，极高兴
omniscient adj．无所不知的、博识的
ligneous adj．木质的，木头的
heel n．足跟，鞋后跟，v．倾侧
ratiocination n．推理，推论
conceited adj．自负的，自高自大的
expound v．解释,阐述，提出
iris n．虹膜，彩虹
irascible adj．易发怒的．
eerie adj.胆怯的，引起恐惧的
provision n．供应,（法律等）条款
abrogate v．废止，废除
nuance n．细微的差异
genuflect v．曲膝半跪（以示敬意），屈从．
disinter v．挖出，掘土
nasal adj．鼻的，有鼻音的
vitiate v．削弱，损害
cession n．割让，转让
dilettante n．半瓶醋，业余爱好者
prudish adj．过分守礼的，假道学的
murmur v．柔声地说，喃喃而言
unwitting adj．无心的，不经意的
mutinous adj．加入叛变的，反抗的
abscond 潜逃，逃亡
provision n．供应,（法律等）条款
illegitimate adj．不合法的，私生的
millinery n．女帽及其装饰物
ravishing adj．令人陶醉的
repent v．懊悔，后悔
wavy adj．波浪形的，起伏的
hoyden n．粗野的女孩，野丫头
personage n．名人，（戏剧）角色
predator n．食肉动物
reflective adj．深思熟虑的
exile v.n.放逐
baneful adj.有害的,致祸的
oscillation n．振动，踌躇
bedlam n.喧闹的地方，骚乱
odious adj．可憎的，讨厌的
juxtapose v．并排，并置
cider n.苹果酒，苹果汁
sobriety n．节制，清醒
obese adj．极肥胖的
bout n.一回合，一阵
vacancy n．空白，空缺
heading n．标题，航向
suture n．缝线v．缝合
lionize v．崇拜，看重
gravity n．严肃，一本正经
pesticide n．杀虫剂
stun v．使昏迷，使发愣
geyser n．天然热喷泉
bamboozle v.欺骗，隐瞒
skit n.滑稽短剧
repentant adj．对…感到悔恨的
accretion n．自然的增加，增加物
extremity n．极度,绝境
tramp v．重步走，长途跋涉
osseous adj．骨的，多骨的
reincarnation n．化身，转世的生命
premiere n．首次公演
convex adj．凸出的
scruple n．v．顾忌、迟疑
malodorous adj．有臭味的、不合法的
hyperbolic adj．夸张的
seductive adj．诱人的、有魅力的
armistice n．休战，停战
homely adj．朴素的，不漂亮的
garret n．阁楼、顶楼小室
antibody n．抗体（身体中的抗病物质）
incorporeal adj．无形体的，非物质的
spool n．（缠录音带等的）卷盘（轴）
requite v．报答，报复
outset n．开始，开头
footloose adj．自由自在的，无拘束的
formative adj．形成的，影响发展的
staple n．主要产品
inviolable adj．不可侵犯的，不可亵渎的．
shrill adj．尖锐的、剌耳的
thespian adj．戏剧的，演戏的
blotto adj.烂醉的
tongs n．夹子，钳子
emancipation n.释放,解脱
acerbity n．苦涩，刻薄
cosy,cozy adj．温暖而舒适的
longueur n．枯燥的部分或时期
astigmatism n．散光
landslide n．山崩，压倒性胜利
caret n．加字符号（∨，∧）
shipwright n．造船者
mere n．小湖
blemish v．损害，玷污n．瑕疵，缺点
dimple n．酒涡，笑靥
piazza n．阳台，广场，市场
spoke n．（车轮上）幅条，阻碍物
suffice v．足够，（食物）满足
fomentation n．煽动，助长
timely adj．适时的，及时的
coagulant n.凝结剂
antic adj　古怪的，笨拙的
dawdle v．闲荡，虚度
cuticle n．表皮
spawn n．（鱼等）卵子，v．大量产卵，大量生产
tamp v．捣实，砸实
rhapsody n．溢美之词，狂想曲
grievous adj．严重伤害的，引起痛苦的
promenade n．v．散步,开车兜风
clam n.蛤，蚶
sepsis n.败血症，脓毒症
shipshape adj．整洁的，井然有序的
rhapsody n．溢美之词，狂想曲
vascular adj．血管的，脉管的
cornucopia n．象征丰收的羊角（羊角装饰器内装满花、果、谷物等以示富饶）
consolidate v．巩固，合并
tremulous adj．颤动的，不安的
crevice n．缺口，裂缝
elated adj.得意洋洋的振奋的
scathe n．v．损害，烧焦
vicelike adj.牢固的，坚实的(
poseur n．装模作样的人
plead v．恳求,提出…为理由
imprecation n．咒语，诅咒
tantrum n．勃然大怒，脾气发作
cavil v．挑毛病，吹毛求疵
feasible adj．可行的，可能的
rooster n．公鸡
appalling adj　骇人的，可怕的．
contiguous adj．接近的，接壤的
elicit v.引出探出
inconceivable adj．难以想象的，不可能的（
distinguished adj．著名的，卓越的
lathe n．车床
voluptuary n．耽于逸乐的人
compressor n．压缩机
concoct v．调制，捏造
proprietary adj．私有的
spoke n．（车轮上）幅条，阻碍物
hirsute adj．多毛的
indentation n．锯齿状，缺口
kitsch n.迎合低级趣味的拙劣作品
restraint n．克制
faucet n．水龙头
gambol n．雀跃，嬉戏
reconnaissance n．侦察，预先探索
atrocious adj.残忍的,凶恶的
solder v．焊接，焊合
moderate adj．不过份的，有节制的　v．减轻，节制
thrifty adj．节省的，节俭的
fathomless adj．深不可测的
ornithology n．鸟类学
hypnotic adj．催眠的
sublimate v．（使）升华，净化
vixen n．雌狐，泼妇
insulin n．胰岛素
pincers n．钳子，镊子
conceivable adj．想像得出的，可信的
impudent adj．鲁莽的，冒失的，无礼的
legend n．地图里的说明文字或图
barb n.(鱼钩的)倒钩
stoicism n．坚忍克己
bless v．祝福，颂扬
discrete adj．个别的，不连续的
drone v．嗡嗡地响，n．单调的低音
inviolate adj．未受侵犯的，纯洁的
limerick n．五行打油诗
incriminate v．连累，牵连
plod v．重步走,吃力干
miniature n．小画像，缩影
tout v．招徕顾客，极力赞扬
premeditated adj．预谋的,事先计划的
mogul n．显要人物，权势之人
factitious adj．人为的，不真实的
emigrate v．自本国移居他国
inveigle v．诱骗，诱使
trumpery adj．中看不中用的，无价值的
baneful adj.有害的,致祸的
meld v.合并
lava n．熔岩
impetus n．推动力，刺激
lurk v．潜伏，埋伏
portend v．预兆,预示
twit v.嘲笑，挖苦
gallantry n勇敢，殷勤
sprightly adj．愉快的，活泼的
hindrance n．妨碍，阻碍
rifle n．步枪，v．洗劫，抢劫．
jog v．慢而平静地前进
flagellate v．鞭打，鞭笞
grill v．烤，烤问，n．烤架
euphony n.悦耳的语音
periphrastic adj．迂回的，冗赘的
venial adj．（错误等）轻微的，可原谅的
disastrous adj．灾难性的
rigorous adj．严厉的，严格的．
authoritative adj.权威性的,命令式的
toady n．谄媚者，马屁精
preach v．传教,讲道
upswing n．上升，增长
willowy adj．苗条的
penitent adj．后悔的，忏悔的
humdrum adj．单调的，乏味的
abortive adj．无结果的，失败的
terse adj．简洁的，简明的
iridescent adj．闪光的，现晕光的
embryonic adj．胚胎的，萌芽期的
prerogative n．特权
dyslexia n．阅读
ingenious adj．聪明的，有发明天才的
sedentary adj．久坐的，固定不动的
transpire v.发生，蒸发，泄露
borough n.享有自治权的市镇或区
podium n．讲坛,指挥台
rectify v．改正，调正
crustacean n．甲壳类动物
perfectionist n．力求完美者，吹毛求疵者
facetious adj．轻浮的，好开玩笑的
virility n．雄劲，丈夫气
secession n．脱离、退出
acerbity n．苦涩，刻薄
tremulous adj．颤动的，不安的
estuary n.河口,三角湾
baroque n.adj.(艺术、建筑等)高度装饰的，过份雕琢的
accomplice n．同谋者，帮凶
whelm v．用…覆盖，淹没
hermit n．隐士，修道者
debutante n．初次参加社交活动的少女
dandified adj．打扮得像花花公子的
totter v．摇摇欲坠，步伐蹒跚
anticipatory adj预期的
reign n．统治时期，王朝，领域
recount v．描述，叙述
format n．样式，形式
appreciative adj．感谢的，赞赏的
mite n．极小量，小虫
spite n．怨恨，恶意
tickler n．棘手的问题，难题
potation n．畅饮,饮料
swirl n．v．旋转，漩涡
muckrake v.揭发丑闻
hiss v．作嘘声，（蛇等）发出嘶嘶声
sage adj．智慧的n．智者
itinerant adj．巡回的，流动的
phony adj．假的，伪造的
lava n．熔岩
nibble v．一点点地咬，慢慢啃
friable a.易碎的
nymph n．年轻女神，少女
cessation n．中止，（短暂的）停止
volition n．自决，自主
incumbent n．在职者，现任者
ragged adj．破烂的，（表面）凹凸不平的
laudable adj．值得称赞的
cantankerous adj．脾气坏的，好争吵的
insolate v．使曝晒
measured adj．精确的，慎重的
carnivore n．食肉动物
moult,molt v．脱毛，换羽毛
tarn n．山中的小湖或水潭
unavailing adj．无结果的，徒劳无功的
wold n.荒原，山地
hegemony n．霸权，领导权
vanity n．虚荣，自负
profile n．外形,轮廓侧面像
disintegrate v．分裂成小片，瓦解
livable adj．适于居住的，（人）可相处的
antecedence n．居先，在先
arbiter n．权威人士，泰斗
fleck n斑点，微粒
dynamo n．发电机
beverage n.（水，酒等之外的）饮料
double-cross v.欺骗，出卖
peevish adj．坏脾气的，易怒的
prude n．过份守礼的人
bile n．胆汁
steep v．浸泡，浸透
archetype n．原型，典型
parochial adj．教区的，思想狭隘的
turbid adj．混浊的，紊乱的
sanatorium n．疗养院，休养所
reliance n．信赖，信任
grimace v．做鬼脸，面部歪扭
discriminatory n．歧视的，差别待遇的
synchronize v．使同步
erudition n．博学
regiment n．（军队）团v．严格控制
irradiate v．使明亮，生辉
convertible adj．可转换的，n．敞篷车
attainment n.完成,成就
cinch n.容易做的事情，确定的事情
allegro adj.(音)轻快的，快速的
desuetude n．废止，不用
ineptitude n．无能，不称职
aphorism n．格言
abound v．充满，富于
falcon n．猎鹰
down n．绒毛，汗毛
extinction n．熄灭,消灭
queer adj．奇怪的，疯狂的
etymology n.语源学
liquor n酒精饮料
vanilla n．香草，香子兰
pell-mell adv．混乱地，匆促地
disport v．玩耍、嬉戏
salvage n．v．（从灾难中）抢救，海上救助
arabesque n．蔓藤图饰
folklore n．民俗学，民间传说
gruelling adj．繁重而累人的
upheaval n．动乱，大变动
rekindle v．重新点燃
fallow n．adj.休闲地,休闲的
brimful adj充满的、盈满的
admonish v．训诫，警告
svelte adj．（女人）体态苗条的
catholic adj．（兴趣等）广泛的，（人）宽厚的
piano adj．（音乐）轻柔的
amicable adj．友好的
yacht n．帆船，游艇
bogus adj．假装的，假的
rhapsodize v．过份赞美
polygamy n．一夫多妻制,多配偶制
introvert v．内向的人
exorcism n.驱鬼,伏魔
implosion n．向内破裂，内爆
indefinite adj．模糊的，不确定的
purgative n．泻药
malicious adj．恶意的，怨毒的
queasy adj.不喜欢的，令人作呕的(
deflect v．偏离，转向
boor n．举止粗野的人，乡下人
diffusion n．传播，散布
habitat n．自然环境，栖息地
colossal adj.巨大的，庞大的
enrapture v．使狂喜,使高兴
granulate v．使成颗粒
munitions n．军火，弹药
iguana n.美洲大蜥蜴
crossfire n．交叉火力
dither n.v.慌张，犹豫不决
retinue n．侍从，随员
eclectic adj．折衷的，综合性的
benighted adj.愚昧的
pilgrim n．朝圣客，香客
reprobate v．谴责，指责．adj．n．堕落的（人）
safeguard n．防卫措施，防范措施
cuff n．袖口，v．用手轻拍
indifferent adj．不感兴趣的，漠不关心的
pantry n．食品室
disgruntled adj.心境不佳的，不满的
chicanery n．欺诈，欺骗
admonitory adj．警告的
invalidate v．使无效力，证明无效
auction n.拍卖
torture n．酷刑，折磨，v．对…施以苦刑
compatibility n.和谐共处，不矛盾
grisly adj．恐怖的，可怕的
lapse n．失误，（时间等）流逝
berth v.(船)停泊
rickety adj.摇摇晃晃的，不牢固的
heterodox adj．异端的，非正统的
quaff v．畅饮
knotty adj．有节疤的，困难的
virus n．病毒
spawn n．（鱼等）卵子，v．大量产卵，大量生产
avenge v.为…复仇,为…报仇
yolk n.蛋黄
recalcitrant adj．固执的，顽抗的
extort v．强索(toextortmoneyfromhim)
rambunctious adj．喧闹的，放纵的
kneel v．跪下
amnesty n．大赦，特赦
puddle n．水坑,洼
cuirass n.胸甲，护胸铁甲
sustained adj．持久的，经久不衰的
flout v．蔑视，违抗
ensemble n．全体,大合唱
abduct v．绑架，拐走
plaque n.饰板，匾，(医)血小板
occult adj．秘密的，不公开的
hydrate n．水化物
equity n．公平，公正
pyromania n．纵火狂
nauseate v．使作呕，使厌恶
encroach v．侵占，蚕食
opulence n．富裕
pedestrian adj．徒步的，缺乏想像的n．行人
attire v.穿着,装扮n.衣服
hue n．色彩，色泽
enthrall v．迷惑,迷住
woe n．悲痛，苦难
scrutinize n．详细检查，细读
guzzle v．大吃大喝
folklore n．民俗学，民间传说
idolatrous adj．偶像崇拜的
corpulence n．肥胖，臃肿
chaperon v.陪伴，伴随
ingrate n．忘恩负义的人
apogee n．远地点（太阳等距离地球最远的点）
scuttle v．急赶、疾走，逃辟
placebo n．安慰剂
stencil n．（用以刻写图案，文字的）模板v．用模板刻写
acrimony n．尖刻，刻薄
dalliance n．戏弄，玩弄
truncate v．把（某物）截短，去尾
anarchy n．无政府，混乱
pageant n．壮观的游行，露天历史剧
refrain v．抑制，避免n．歌曲的反复句，叠句
abdicate v．让位，辞职，放弃
arraign v.指责，控告
shackle n．脚镣，枷锁
sheath n．（刀、剑）鞘、套
remodel v．重建，改变形状
slumberous adj．昏昏欲睡的
stash v．藏匿，隐藏
whimper v．悲嗥，鸣咽
sable n．黑貂，adj．黑色的
disband v．解散（团体）
beseech v．祈求，恳求
oblation n．宗教的供品，祭品
mallet n．木槌，大头锤
truculence n．凶猛，粗暴
cactus n．仙人掌
nonskid adj．（轮胎）防滑的
somnolent adj．思睡的，催眠的
vocalist n．流行歌手，声乐家
ensign n．舰旗(船上表示所属国家的旗帜)
porcupine n．豪猪,箭猪
locust n．蝗虫，贪吃的人
lacework n．网状物
patronage n．赞助，惠顾
attentive adj.留心听的,关心的
grumble v．喃喃诉苦，发怨言
nugatory adj．无价值的，琐碎的
hummingbird n．蜂鸟
nostrum n．秘方药，万灵丹
sift v．筛、过滤
cant n．隐语，术语
pummel v．(用拳)接连地打,打击
nostalgia n．怀旧之情，思乡病
adage n．格言，古训
preoccupied adj．心事重重的,出神的
intransigent adj．不妥协的，固执的
clemency n.仁慈，(气候)温和
