approximate adj．大约的，估计的
suture n．缝线v．缝合
hustings n.竞选演员，讲坛
console v．安慰，抚慰
aggravate v．加重，恶化
seamy adj．黑暗的、恶劣的
robe n．长袍，礼服
embolden v.给……壮胆，鼓励
tractable adj．易于驾御的，温顺的
tan v．鞣（革）
spurious adj．假的，伪造的
liken v.把……比作，比拟
empiricism n．经验主义
sonorous adj．（声音）宏亮的
clash v.冲突，撞击
nomad n．流浪者，游牧部落的人分割
fledgling n刚学飞的幼鸟，无经验的人
eucalyptus n.桉树
topsoil n．表层土
adroit adj．熟练的，灵巧的
generate v．造成，产生
insertion n．插入，插入物
membrane n．薄膜，细胞膜
paranoid adj．偏执狂的，过份怀疑的
watershed n.分水岭，流域
larva n．（昆虫的）幼虫
deceit n．欺骗，欺诈
pulsate v．有规律的振动
acerbity n．苦涩，刻薄
evoke v.引起，唤起
fanatic adj．狂热的，盲信的n.狂热者
nerveless adj．无力的，无勇气的
ferrous adj．含铁的
waffle v.胡扯，含糊其辞
exhaustion n.疲备,耗尽
extant adj．现存的，传世的
microscopic adj．极小的，显微镜的
whet v．磨快，刺激
baneful adj.有害的,致祸的
apologetic adj　道歉的，歉意的
idolater n．偶像崇拜者
jubilant adj．喜悦的，欢呼的
truce n．停战，休战（协定）
bankruptcy n.破产
pacifier n．调停者，和解人
flamboyant adj．艳丽的，炫耀的
contemplation n．沉思，思考
warden n．看守人，管理员
slither v．（蛇）滑动，扭动前进
spat n．口角，小争论
magpie n．鹊，饶舌的人
tangential adj．切线的，离题的
doff v．脱掉（外衣，帽子）
superstition n．迷信，盲目恐惧
effigy n．假人，模拟像
solemnity n．庄严，肃穆
hidebound adj．顽固的，心胸狭窄的
pageant n．壮观的游行，露天历史剧
traduce v．中伤，诽谤
primordial adj．最初的
beneficial adj．有益的，有用的
invoke v．祈求，恳求，（法律的）实施生效．
opponent n．对手，敌手
jaunt v．短程旅游
usurious adj．放高利贷的
upswing n．上升，增长
septic adj．受感染的、腐败的
safari n．狩猎旅行，长途考察
resplendent adj．华丽的，辉煌的
stoop 　v．俯身，降低身份
tarn n．山中的小湖或水潭
meditative adj．沉思的、冥想的
loot n．掠夺品，v．掠夺
voracity n．贪食，贪婪
duration n．持续的时间
composite adj．拼凑成的，混合成的
abyss n．深渊，深坑
gollop v．n．大口吞咽
heathen n.异教徒
compulsive adj．难以抑制的
laborious adj．费力的，吃力的
abound v．充满，富于
ascent n．上升攀登
hypercritical adj．苛求的，吹毛求疵的（
destruction n．毁坏，毁灭（的原因）
asseverate v.郑重声明，断言
probity n．刚直,正直
foil n．钝剑，箔，锡箔纸
appetizing adj　开胃的
decorum n．礼节，礼貌
presumption n．假定,冒昧
knit v．编结，针织
access n．通路，途径
sodden adj．浸透了的
nimble adj．敏捷的，灵活的
grill v．烤，烤问，n．烤架
diverse adj．不同的，种种的
memento n．纪念品
invoke v．祈求，恳求，（法律的）实施生效．
divulge v．泄露，透露
blackmail n．v．敲诈，勒索
chaos n．混乱
fig n．无花果，一点儿．
minnow n．鲦鱼，小淡水鱼
embroider v．刺绣，修饰
moat n．壕沟，护城河
encapsulate v．装入胶囊,压缩
maddening adj．使人恼火的，令人气恼的
hedonistic adj．享乐的
moralist n．道德学家，卫道士
jigsaw puzzlen．拼图游戏
pry v．刺探,打听,撬开
splendor n．壮丽，辉煌
seminal adj．有创意的
demolish v．摧毁，拆除
myth n．神话故事
rabble n．乌合之众，暴民，下等人
cute adj.逗人喜爱的，漂亮的
