spate n．大批，大量，（水）泛滥
sloth n．懒惰，树懒（一种动物）
veneer n（镶于劣质东西上的）镶面板，外表
royalty n．皇室，版税（付给著作人的钱）
complacent adj.自满的，得意的
entanglement n．纠缠，牵累
authoritative adj.权威性的,命令式的
sorcery n．巫术，魔法
intransigence n．不妥协，不让步
excursion n.短途旅游
rind n（西瓜等）外皮
icing n．糖衣，糖霜
rapport n．和睦，意见一致
designation n．指定，名称，称呼
marquetry n.镶嵌细工
bouquet n．花束
scarf n．围巾，披肩
oddments n．残余物，零头
discourse n．演讲，论述
holocaust n．大屠杀，浩劫
hairy adj．毛发的，多毛的
dilatory adj．慢吞吞的，磨蹭的
reparation n．赔偿，补偿
aperture n．孔隙，窄的缺口
fascinate v．迷惑,迷住
trajectory n．（抛射物）弹道轨道
emissary n．密使，特使
disjointed adj．脱节的，杂乱的
illumination n．照明，古书上的图案、装饰
usury n．放高利贷
carousal n．欢闹的酒宴
period n．句号
callous adj．结硬块的，无情的
underplay v.轻描淡写，表演不充分
minnow n．鲦鱼，小淡水鱼
escort v．护送n．护送者
tanner n．制革工人
ballast n.(船等)压舱物
lampoon n．讽刺文章v．讽刺
clement adj.仁慈的，温和的
blandishments n．甘言劝诱
omission n．遗漏，省略
chink n.隙缝，裂口，n.v.丁当作响
paleolithic adj．旧石器时代的
liken v.把……比作，比拟
steer n．公牛，食用牛
shindy n.吵闹，盛大舞会
punctilious adj．谨小慎微的
reciprocal adj．相互的，互惠的
rigidity n．固执，坚定，僵化
wrath n．愤怒，大怒
commiserate v.同情，怜悯
raid n．突然袭击
affectation n．做作，虚假
reversion n．返回（原状，旧习惯），逆转
elucidate v.阐明说明
glutton n．贪吃者
rue n．后悔，遗憾．
negate v．取消，否认
subterranean adj．地下的
percolate v．过滤出，渗透
terminate v．终止，结束
agronomist n．农学家
flair n．天赋，本领，才华
equitation n．骑术
lax adj．懒散的，松弛的
impound v.扣押，保管
preconception n．先入之见
rinse v．以清水冲洗，漂洗
sect n．（宗教等）派系
testament n．遗嘱，证明
congeal v．凝结，凝固
disbursement n．支出，开支
forestall v．先发制人，预先阻止
fulmination n．抨击，谴责
indiscriminate adj．不加选择的
expostulate v．(对人或行为的)抗议，告诫
analogy n．相似，类比
longitude n．经度
awry adj.扭曲的,走样的.
slanderous adj．诽谤的，中伤的
coterminous adj．毗连的，有共同边界的
trivial adj．琐细的，平庸的
prune n．梅干(用李子“plum”做的干果)v.修剪,剪除
exhortation n.劝告，规劝
offense n．错事，得罪
maelstrom n．大漩涡，灾祸
sinuous adj．蜿蜒的，迂回的
lancinate v．刺、戳
undulate v．波动，起伏
pergola n.棚架，凉棚
putrefaction n．腐坏，腐败
iterate v．重做，反复重申
scintillate v．闪烁、（淡吐）流露机智
pander v.迎合
animosity n．憎恶，仇恨
jinx n.不祥的人(或物)
rivulet n．小溪，小河
medium n．媒介，（细菌等）生存环境
compliment v.n.恭维，称赞
euphonious adj.悦耳的
stricture n．谴责，严厉，束缚
vehicle n．交通工具，传播媒介
porous adj．可渗透的,多孔的
chipmunk n．花粟鼠(和中象松鼠的美洲小动物)
depute v．派…为代表或代理
volatile adj．反复无常的，挥发性的
debrief v．向…询问情况，汇报情况
munitions n．军火，弹药
elocution n.演说术
psychiatry n．精神病学
broil v.烤，烧
impropriety n．不正当（的行为）
pine n．松树v．（因疾病等）憔悴，衰退
lucubrate v．刻苦攻读，埋头苦干
spoof v．揶揄，嘲讽
tacit adj．心照不宣的，静默的
bombast n．高调，夸大之辞
sewer n．排水沟，下水道
lullaby n．摇篮曲
ensnare v．诱入陷阱,进入罗网
terrace n．一层梯田，阳台
cushion n．坐垫v．减轻，缓和
concatenation n．连结，一连串
jaundiced adj．有偏见的
intermittent adj．断断续续的，间歇的
scrooge n.吝啬鬼
concurrent adj．同时发生的，一致的
insufferable adj．无法忍受的
temperance n．自制，节制，禁酒
heritage n．遗产，继承物
transfigure v．美观，改观
awry adj.扭曲的,走样的.
parochial adj．教区的，思想狭隘的
cytology n．细胞学
exacting adj.苛求的，要求严格的
fort n要塞，城堡
equivocal adj．意义含糊的,不直率的
fluster v．使困惑，慌乱
gynecocracy n．妇人政治
negligible adj．可忽略的，无关紧要的
risque adj.下流的，淫猥的
clanger n.明显的错误
insular adj．岛屿的，心胸狭窄的
precursor n．先驱,先兆
palings n．篱笆，木栅栏
myth n．神话故事
lattice n．（做篱笆或爬藤架等的）格子架
spunk n．勇气，胆量
trinket n．小装饰品，不值钱的珠宝
spelunker n.爱好探索洞穴的人
florid adj．华丽的，（脸）红润的
palliation n．减轻，缓和
cursive adj．草书的
secateurs n.整枝用的大剪刀
boggle v．畏缩不前，不敢想像
flounder n．比目鱼
caste n．社会等级，等级
cephalic adj．头的，头部的
splashy adj．大而显眼的，引人注目的
cyclone n．旋风，飓风
infelicitous adj．不妥当的，不得体的
grotesque adj．怪诞的，古怪的
overshadow v．遮蔽，使显得不重要
habituate v．使习惯于
aspirant n．有抱负者
pamper v．纵容，过分关怀
fecund adj．肥沃的,多产的
cumbersome adj．笨重的
liberality n．慷慨，心胸开阔
splinter n．尖片，裂片
apostrophe n书写中撇号（’）（表示省略或所有格）
caper v．n．雀跃，欢蹦
stunning adj．极富魅力的
scrub v．用力擦洗
blinds n．百页窗
vegetation n．植物，草木，植被
gorge n．峡谷v．贪婪地吃
frizz v.n.使成卷发，卷发
peer n．同等之人，同辈
poltroon n．懦夫
perambulate v．巡行，巡视，漫步
maul v．撕裂皮肉，伤害
lampoon n．讽刺文章v．讽刺
transparent adj．透明的
adumbrate v．（对将来事件）预示
ambush n.v.埋伏，伏击
brilliant adj．辉煌的，才气焕发的
scavenger n．食腐动物，拣破烂的人
coma n.昏迷状态
gastronomy n．美食法，美食学
omen n．征兆、预兆
succulent adj．多汁的，多水份的
vapid adj．索然无味的
deft adj．灵巧的，熟练的（a　deft　hand能手）
dislocate v．使脱臼，把…弄乱
anchorite n．隐士
granite n．花岗石gran（＝grain颗粒）＋ite→颗粒状石头→花岗岩．
pastor n．牧师，牧人
convoluted adj．旋绕的，费解的
typhoid n.伤寒症
equitation n．骑术
prosaic adj．单调的,无趣的
cuticle n．表皮
whet v．磨快，刺激
leer v．斜眼看，睨视
embezzle v.盗用,侵吞
stern n．船尾
ligature n．绑缚之物（尤指系住血管以免失血的线）
apotheosis n．神化，典范
espouse v．支持，拥护
pliers n．钳子
rambunctious adj．喧闹的，放纵的
inept adj．无能的，不适当的
scabbard n．（刀、剑）鞘，枪套
succubus n.女妖
allurement n．诱惑物
presage n．预感,不祥感v．预示
notched adj．有凹口的，有缺口的
unbidden adj．未经请求的，未经邀请的
abrade v．磨损，擦伤
discrete adj．个别的，不连续的
reparation n．赔偿，补偿
ode n．长诗，颂歌
convex adj．凸出的
prudence n．谨慎,小心
precede v．在…之前,早于
verify vt．证明，证实
enzyme n．酵素,酶
sibyl n．女预言家，女先知
ejaculate v.突然叫出或说出,射出
caucus n．政党高层会议，核心人物
pantry n．食品室
flint n．打火石，燧石
impart v．传授，告知
roundabout adj．绕远道的，转弯抹角的
sober adj．清醒的，庄重的
egress n.出去，出口
dank adj.阴湿的
emergence n．出现
limber adj．（肌肉）松软的，柔软的
venerate v．崇敬，敬仰
balm n.香油,药膏
lengthy adj．很长的，冗长的
lithe adj．柔软的，易弯曲的
implore v．哀求，恳求
heresy n．异端邪说
blase adj.对享乐感到厌倦的，无动于衷的
postulate v．假定,要求
sanctimonious adj．伪装虔诚的
antiquated adj陈旧的，过时的，
terrain n．地势，地形
oblation n．宗教的供品，祭品
rally v．n．召集，集会
junk n.废物，废旧货
portable adj．轻便的,手提式的
testimonial n．证明书，奖状
macerate v．浸软，消瘦
exhort v.力劝,勉励
fare n．交通费，食物
degenerate v．退步，堕落
retarded adj．智力迟钝的
rind n（西瓜等）外皮
subsidy n．补助金
stem n（植物的）茎，叶柄，v．阻止，遏制（水流等）
conventionality n．陈规陋习，因袭传统
narcissism n．自恋，自爱
objectionable adj．令人厌恶的
impedimenta n．随身携带物，行李
tendentious adj．有偏见的，有倾向的
sonorous adj．（声音）宏亮的
invoke v．祈求，恳求，（法律的）实施生效．
perfectionist n．力求完美者，吹毛求疵者
primitive adj．原始的,简单的
replicate v．重复，复制
spool n．（缠录音带等的）卷盘（轴）
fornicate v.私通
disinterested adj．公正的，客观的
hypercritical adj．苛求的，吹毛求疵的（
laudatory adj．表扬的，赞扬的
roguish adj．捣蛋的，无赖的
permissive adj．过份纵容的
disburse v．支付，支出
bankrupt adj.破产的
cerebrum n．大脑
vertiginous adj．令人眩晕的
cinch n.容易做的事情，确定的事情
grit n．沙粒，决心，勇气v．下定决心，咬紧牙关
compelling adj.引起兴趣的
genial adj．愉快的，脾气好的．
zealous adj．热心的，一心一意的
nadir n．最低点，无底
fluctuate v．波动，变化
surreptitious adj．鬼鬼祟祟的，保密的
gaffe n．（社交上令人不快的）失言，失态
haughty adj．傲慢的，自大的
caulk v．填塞（隙缝）使不渗水
shove v．推挤，猛推
suspense n．悬念，悬疑，挂念
oratory n.演讲术，祈祷室，小礼拜堂
didactics n．教学法
aroma n．芳香，香气
blemish v．损害，玷污n．瑕疵，缺点
concordant adj．和谐的，一致的
lucubrate v．刻苦攻读，埋头苦干
crook v．使弯曲
distillation n．蒸馏
foul adj．恶臭的，邪恶的，v．弄脏n．（体育等）犯规
piety n．虔诚
laconic adj．（用字）简洁的
stringent adj（规定）严苛的，缺钱的
haemorrhage n．出血（尤指大出血
diverse adj．不同的，种种的
clairvoyance n.超人的洞察力
spell n．连续的一段时间，一阵子
rickety adj.摇摇晃晃的，不牢固的
orthodox adj．正统的，正派的
technocrat n．技术人员，技术统治
vulgar adj．无教养的，下流的
plagiarism n．剽窃,抄袭
inflamed adj．发炎的，红肿的
relevance n．相关
pied adj．杂色的
coalesce v.联合，合并，结合
exterminate v．消灭,灭绝
deft adj．灵巧的，熟练的（a　deft　hand能手）
wrath n．愤怒，大怒
characterization n．描绘、刻画
travesty n．v．歪曲，曲解
daubster n．拙劣的画家
cathode n.(电)阴极，负极
perishing adj．严寒的
detritus n.岩屑，碎石(
transfuse v．输血，充满
gropingly adv．不确定的，摸索
venom n．毒液，恶毒，痛恨
gloat v．幸灾乐祸地看，窃喜
gargoyle n．（雕刻成怪兽状的）滴水嘴，面貌丑恶的人
vim n．精力，活力
beseech v．祈求，恳求
throaty adj．嗓子沙哑的
effusive adj．流出的，感情奔放的
concomitant adj．伴随而来的
potent adj．强有力的
stint 　v．吝惜，节省
swirl n．v．旋转，漩涡
superimpose v．加在上面，附加
comply n.遵循
exorcize v.驱魔,去除(坏念头等)
obedient adj．服从的，顺从的
preamble n．前言,序言
insane adj．疯狂的
laryngitis n．喉炎
rapacious adj．强夺的，贪婪的
nomad n．流浪者，游牧部落的人分割
relevance n．相关
lobby n．大厅，休息厅
erode v．腐蚀,侵蚀
axiom n.公理,定理
matey adj.友善的，亲密的，n.好友(
amortize v．分期偿还
saga n．英勇故事，长篇小说
nymph n．年轻女神，少女
eulogy n.颂词，颂文
broil v.烤，烧
scum n.泡沫，社会渣滓
insouciance n．漠不关心
marrow n．骨髓，精华
sonata n．奏鸣曲
sterilize v．使不育，杀菌
advisory adj．劝告的
entity n．实体,统一体
acrimonious adj．尖刻的
sieve n．筛，滤杓v．筛出、滤出
quintessence n．典型，完美的榜样，精华
dynamite n．炸药，扣人心弦的事
icing n．糖衣，糖霜
exacting adj.苛求的，要求严格的
inspection n．检查，细看
incongruity n．不一致
hypochondria n．忧郁症，臆想病
wane v．减少，衰微
lineal adj．直系的，嫡系的
dispel v．驱散，消除
bombastic adj．唱高调的
irradiate v．使明亮，生辉
detoxicate vt．除毒，解毒
florid adj．华丽的，（脸）红润的
solicit v．恳求，乞求，教唆
coffer n.保险箱
forbearing adj．忍耐的，宽容的
suffrage n．选举权，投票权
lactic adj．乳汁的
kaleidoscopic adj．千变万化的
addendum n.补遗，附录(复：addenda)
sinuous adj．蜿蜒的，迂回的
inspection n．检查，细看
desecrate v．玷辱，亵渎
trowel n．泥刀，小铲子
mellifluous adj．（音乐等）柔美流畅的
prone adj．俯卧的,易于…的
instigation n．煽动，刺激
therapy n．疗法
advisable adj．适当的，可行的
shrill adj．尖锐的、剌耳的
travail n．艰苦劳动，痛苦
detente n.(国际关系等的)缓和(
icicle n．冰柱，冰垂
consternation n．大为吃惊，惊骇
compact adj.结实的，简洁的
slink v．偷偷走动
interaction n．相互作用（影响）
glutinous adj．粘的，胶状的
clarification n.解释，澄清
vicissitudes n．（人生的）盛衰，变迁
sapling n．树苗，年轻人
prune n．梅干(用李子“plum”做的干果)v.修剪,剪除
cult n．宗派，崇拜
impetuous adj．冲动的，鲁莽的
vim n．精力，活力
charades n．用动作等表演的字谜游戏
annotate v．注解
fluster v．使困惑，慌乱
lofty adj．崇高的，高尚的lofty　sentiments．
fictitious adj．假的、虚构的
satire n．讽剌（作品）
gladiator n．角斗士，与野兽博斗者
helm n．舵，驾驶盘
unwitting adj．无心的，不经意的
litterbin n．垃圾桶
peccadillo n．小过失
intimidation n．恐吓
penchant n．爱好，嗜好
potable adj．适于饮用的
pulley n．滑轮,滑车
blasphemy n．亵渎，渎神
waffle v.胡扯，含糊其辞
agog adj．兴奋的，有强烈兴趣的
enlightenment n.教化，启蒙
discredit v．怀疑，n．丧失名誉
resurrect v．使复活，挖出
vim n．精力，活力
illiterate adj．文盲的
ignoble adj.卑鄙的，下流的
attainment n.完成,成就
caper v．n．雀跃，欢蹦
wig n．假发
abide v．容忍，忍受
audacious adj.大胆的,愚勇的
salvo n.(礼炮)齐鸣，(火炮)齐射(
grove n．小树林，树丛
reincarnation n．化身，转世的生命
perfidious adj．不忠的，背信弃义的
harangue n．长篇演说
median adj．中间的，n．（三角形）中线
sanguinary adj．有血的，血腥的
hack v．乱劈，乱砍，n．驽马
distracted adj．心烦意乱的．精神不集中
custodian n．管理员，监护人
jejune adj．空洞的，不成熟的
potent adj．强有力的
licence n．自由，放肆
niggardly adj．吝啬的，勉强的
status n．身份，地位
faddish adj．流行一时的,时尚的
pandemonium n．喧嚣，大混乱
sock v．重击，痛打
impasse n．僵局，死路
skive v.躲避工作
moderator n．调解人，仲裁人
mason n．石工，石匠
purchase n．支点(阻止东西下滑)
tonality n．音质，音调
palaver n．v．空谈，奉承
virtuoso n．演艺精湛的人，大师
immaculate adj．洁净的，无瑕的
guarded adj．谨慎的，提防的
convivial adj．欢乐的，狂欢的
fluorescent adj．萤光的，发光的
phantom n．鬼怪，幽灵，幻象
celebrity n．名人，知名人士
auditory adj.听觉的
extirpate 消灭,根除
mesa n．高台地，平项山
enunciate v．发音,(清楚地)表达
drawbridge n．吊桥
penitentiary n．监狱，感化院
erupt v．爆发,喷出火焰
animadvert v.苛责，非难
fantastic adj．怪诞的,不实际的
brazen adj．无耻的，厚脸皮的
voracity n．贪食，贪婪
fluke n．侥幸，偶然的机会
deplete v．倒空，耗尽
log n．v．日志，
imminence n．急迫，危急
ambivalent adj．（对人或物）有矛盾看法的
contentious adj．好辩的，喜争吵的
commitment n.承诺，责任
reprove v责骂，申斥
theocracy n．神权政治
belch v.打嗝，喷出
entrust v．委托,付托
eminent adj．著名的、显著的
carapace n．（蟹或龟等的）甲壳
rejuvenate v．使返老还童，回春
unscathed adj．未受损伤的，未遭伤害的
vamp n．靴面，鞋面
asthma n．哮喘症
hump n．隆起，驼背，v．隆起
underplay v.轻描淡写，表演不充分
pilgrim n．朝圣客，香客
extinct adj．绝种的,不存在的
unctuous adj．油腔滑调的
crouch v．蹲伏、弯腰
objectionable adj．令人厌恶的
revocable adj．可废除的
acquaintance n．熟知，熟人
deflection n．转向，偏斜
posterior adj．(在时间,次序上)较后的
immunize v．使免疫
platitude n．陈腔滥调
wold n.荒原，山地
licit adj．不禁止的，合法的
hoary adj．（头发）灰白的，古老的
bazaar n.集市,商店集中区
soggy adj．湿透的，濡湿的
possessed adj．疯狂的
inviting adj．诱人的，引人入胜的．
stymie v．妨碍，阻挠
ardent adj．热心的，热烈的
enthrall v．迷惑,迷住
abolition n．废除，革除
unfettered adj．无忧无虑的
locomotive adj．运动的，n．机车
metaphysics n．形而上学，玄学
interregnum n．无王时期,
plethora n．过量,过剩
slue v．（使）旋转
presupposition n．预先假定,臆测
alchemy n．炼金术
tactic n．（达到目的）手段，战术
period n．句号
ironic adj．挖苦的，出乎意料的
apparel n．（精致的）衣服
hidebound adj．顽固的，心胸狭窄的
muzzy adj．模糊不清的，昏迷的
tractable adj．易于驾御的，温顺的
striking adj．引人注目的，明显的
deify v．奉为神，崇拜
retract v．缩回，收回
pelf n．财富，钱
vigilant adj．机警的，警惕的
perverse adj．刚愎自用的，故意作对的
domesticity n．（喜欢）家庭生活
compliant adj.服从的，顺从的
ordinance n．法令，条
implicit adj．含蓄的，不言而喻的
byline n．（列作者名字的）报刊文章首行
obtrude v．突出，强加
tenacity n．坚持，固执
rustic adj．乡村的，乡土气的
elitism n.精英论,优秀人士统治
mortgage n．抵押贷款，抵押证书v．抵押
rueful adj．后悔的，遗憾的
didactic adj．教诲的、说教的
phlegmatic adj．冷静的，冷淡的
supercilious adj．目中无人的，高傲的
expenditure n.消耗,支出
exploit v.剥削，开发利用
forge n．铁匠铺，v．锤炼，伪造
incipient adj．初期的，刚出现的
laceration n．撕裂，裂口
inoculation n．接种，灌输
dolt n．笨蛋，傻瓜
domesticity n．（喜欢）家庭生活
vengeance n．报仇，报复
dispensable adj．不必要的，可有可无的
resurrect v．使复活，挖出
format n．样式，形式
raiment n．衣服
loam n．沃土
trend v．n．趋势，倾向
discontented adj．不满足的，不满意的
copyright n．版权，著作权
distraught adj．心神狂乱的
egress n.出去，出口
plumule n.(植)胚芽，(鸟)绒羽
stench n．臭气，恶臭
blatant adj．喧哗的，无耻的
abduct v．绑架，拐走
prompting n．激励,鼓舞
dislocation 脱节，动乱
emerge v．出现，露出
insistence n．坚持，强求
galactic adj．星系的，银河系的
prototype n．原型,典型
quiver n．箭筒，箭囊
constellation n．星座，星群
elapse v.(光阴)消逝
sedate adj．安静的、镇静的
wield v．支配，掌权
friable a.易碎的
cerebrum n．大脑
purebred adj．(动物)纯种的
astrolabe n．星盘（古代星位观侧仪）
condemn v．极力谴责，判刑（死刑等）
inebriate v．使醉，n．酒鬼，酒徒
glutinous adj．粘的，胶状的
lecherous adj．好色的
pragmatic adj．实际的,实用主义的
plaintive adj．可怜的,伤心的
terminology n．术语，术语学
slink v．偷偷走动
coop n．（鸡、）笼、栏
frame-up n．陷害，虚构的罪名
concordant adj．和谐的，一致的
heresy n．异端邪说
amendment n．改正，修正
amalgam n．混合物
septic adj．受感染的、腐败的
legible adj．可辩认的，易读的
subsidiary adj．辅助的，次要的
dispossessed adj．被剥夺财产的
squash v．压碎，挤压，n．南瓜
yokel n．乡巴佬
biosphere n．生命层，生物圈
vendetta n．世仇，宿怨
fussy adj．爱挑剔的
impediment n．妨碍、阻碍物
loquacious adj．多嘴的，饶舌的
forage n．（牛马的）饲料，粮草v．搜寻，翻寻
foray v．n．突袭，偷袭
vanilla n．香草，香子兰
apposite adj．适当的，恰切的．
responsive adj．敏感的，反应快的
pittance n.微薄的收入，少量
parasite n．寄生虫，食客
insurrection n．造反,叛乱
soliloquy n．自言自语，独白
bypass v．规避，绕过
mannequin n．时装模特儿，假人
caste n．社会等级，等级
prance v.(马)腾跃，(人)神气活现地走(
regulate v．管制，调整
deice v.防冰，除冰
puerile adj．幼稚的，儿童的
elasticity n.弹性伸缩力
clique n.朋党派系，小集团
stationery n．文具
singe v．（轻微地）烧焦，烫焦
sarcastic adj．讽剌的
wainscot n.护壁板，adj.用……装饰
discernment n．眼光、洞察力
contravention n．违法
manifesto n．宣言，声明
degrade v．降格，降级
effortless adj．不费力的
enactment n．颁布，扮演
hideous adj．讨厌的，丑恶的
wreathe v．完全笼罩，把…做成花环
maneuver v．n．（军队）调遣，策略，操纵
fathom n．英(量水深,等于1.8米)v.彻底明白,了解
opportune adj．合适的，适当的
negation n．取消
vertiginous adj．令人眩晕的
yokel n．乡巴佬
stipulate 　v，要求以…为条件，约定
repertoire n．（剧团等）常备剧目
temporize v．拖延
strut v.昂首阔步地走
dross n．浮渣，糟粕
calibrate v．量…口径，标准。
enticement n．诱骗,诱人
deluge n．大洪水，豪雨
expunge v．删除
ply v．(搬运工等)等候顾客,弯曲
prerogative n．特权
computation n．计算
improvise v．即席而作
peak v．憔悴，消瘦
corroboration n．证实，支持，证据
reprisal n．（政治或军事的）报复
splendor n．壮丽，辉煌
baste v.倒脂油于(烤肉上,以防烤干)
transient adj．短暂的，转瞬即逝的
seam n．缝、接缝
salutary adj．有益的，有益健康的
rend v．撕裂，猛拉
helve n．斧柄
ubiquitous adj．无所不在的，普通的
subversive adj．颠覆性的，破坏性的
delineate v．描画
puritanical adj．极端拘谨的
nerveless adj．无力的，无勇气的
invigilate v．监考．
jaunt v．短程旅游
tremendous adj．惊人的，巨大的
hydrant n．水龙头，消防栓
behold v．目睹，看见
marital adj．婚姻的
jocose adj．开玩笑的，引人发笑的
decrepit adj．衰老的，破旧的
stringent adj（规定）严苛的，缺钱的
zephyr n．和风，西风
lambaste v．痛打，痛骂
despondent adj．失望的，意气消沉的
disciplinarian n．严行纪律的人，严师
elongation n.延伸
pestle n．杵，乳钵槌
nasal adj．鼻的，有鼻音的
cohesion n.内聚力
futility n．无用，无益
dashing adj．有活力的，有朝气的
hermetic adj．密封的，炼金术的
reflection n．反射
perfume n．香味，香水
encumbrance n．妨碍物，累赘
dent n．缺口，凹痕，v．弄凹
craven adj．懦弱的，畏缩的
inveigle v．诱骗，诱使
profanity n．不敬,渎神
lacerate v．撕裂，伤害
paradox n．矛盾、似矛盾而正确的说法
surrogate n．代替品，代理人
sift v．筛、过滤
dank adj.阴湿的
haunting adj．不易忘怀的
preen v．整理羽毛,(人)打扮修饰
impostor n．冒充者，骗子
unaffected adj．自然的，不矫揉造作的
concomitant adj．伴随而来的
fume v．n．愤怒，冒烟
tapestry n．挂毯，丰富多采的画面
shear v．剪（羊毛），剪发
augment v.增大,增值
collation n.校勘，整理
mortgage n．抵押贷款，抵押证书v．抵押
protean adj.变化多端的，多才多艺的
abdicate v．让位，辞职，放弃
relic n．遗物，遗迹
implement n．工具，器具v．实现，实施
therapeutic adj．治病的
thicket n．树丛，灌木丛
boor n．举止粗野的人，乡下人
lace n．鞋带，花边
penalize v．置（某人）于不利地位，处罚
dichotomy n．二分、本质对立
gleeful adj．欢乐的，欣喜的
dyspepsia n．消化不良（
catholic adj．（兴趣等）广泛的，（人）宽厚的
peroration n．结尾，结论
lurk v．潜伏，埋伏
typhoid n.伤寒症
scared adj．害怕的，恐惧的
scalpel n．外科手术刀，解剖刀
atone v.赎罪,补偿
caucus n．政党高层会议，核心人物
motley adj．混杂的，杂色的
