gravel n．碎石，砂砾
tourniquet n．止血带
blur n．模糊不清的事物v．使…模糊
elope v.私奔
pathos n．哀婉，悲怆
suborn v．收买，贿赂
iodine n．碘，碘酒
anemia n．贫血，盆血症
soggy adj．湿透的，濡湿的
atheism n.无神论,不信神
shambles n.混乱之处，凌乱的地点
deceit n．欺骗，欺诈
culpable adj.有罪的，该受谴责的
sting v．刺痛，叮螯，n．螫刺
mire n．泥沼，困境
scum n.泡沫，社会渣滓
hydrate n．水化物
groggy adj．体弱的，不稳的
pirouette n．v(舞蹈)脚尖立地的旋转
plagiarism n．剽窃,抄袭
referee n．裁判员，仲裁者
guzzle v．大吃大喝
provisions n．粮食,食品
variegated adj．斑驳的，形形色色的
regulation n．管理，规则，法令
repatriate v．（自异国）遣返
tempest n．暴风雨，骚动
tare n．莠草，杂草
rustic adj．乡村的，乡土气的
infringement n．违反，侵害
shale n．页岩
umbrage n．不快，愤怒
malinger v．装病以逃避工作
fornicate v.私通
occult adj．秘密的，不公开的
tattered adj．衣衫褴褛的，破旧的
insuperable adj．难以克服的
elucidate v.阐明说明
pine n．松树v．（因疾病等）憔悴，衰退
swot n.刻苦学习的人,v.苦读
estate n.等级,地产
fecund adj．肥沃的,多产的
topography n．地形学，地形
onlooker n．旁观者
temporize v．拖延
doleful adj．忧愁的，消沉的
omen n．征兆、预兆
stunt v．阻碍（成长），n．特技，绝技
intangible adj．不可捉摸的
apron n．围裙
indigent adj．贫穷的，贫困的
descry v．远远看到，望见
ophthalmology n．眼科
commodious adj.宽敞的
flammable adj．易燃的
invocation n．祈祷
excavation n.挖掘，发掘，被挖掘之地
baron n.大财主,大老板
miasma n．瘴气，坏影响
piscatorial adj．捕鱼的,渔民的
eddy n．漩涡，涡流
barbed adj.有倒钩的,讽剌的
seamy adj．黑暗的、恶劣的
shrivel v．枯萎，皱缩
split v．n．分裂，裂开
hearsay n．谣传，道听途说
estrangement n.疏远
muddle n．混乱，迷惑
recessive adj．隐性遗传的，后退的
sibilant adj.发咝咝声的(
niche n．（放艺术品等的）壁龛，合适的位置
debauch v．使放荡，堕落
besiege v．围攻，困扰
lumpish adj．笨拙的
doctrinaire n．空论家，adj．教条的，迂腐的
disencumber v．排除（障碍），摆脱（负担）
entreaty n．恳求,哀求
fauna n．动物区系
forebode v．预兆，凶兆
condiment n．调味品，佐料
promiscuous adj．滥交的,杂乱的
insouciance n．漠不关心
incompatible adj．不能和谐共存的
impound v.扣押，保管
compliant adj.服从的，顺从的
apprise v．通知，告诉
sanctum n．圣地，密室
delirious adj．精神错乱的
obedient adj．服从的，顺从的
nightmare n．恶梦，可怕的事
crevice n．缺口，裂缝
ascertain v．查明，确定
elongate v.延长,伸长
laudatory adj．表扬的，赞扬的
implicit adj．含蓄的，不言而喻的
temperate adj．自制的
medium n．媒介，（细菌等）生存环境
dirge n．哀歌、凄凉之曲调
ascetic adj．禁欲的n．苦行者
gabble v．急促而不清楚地说
ornate adj．华美的，充满装饰的
adagio adj.缓慢的，宁静的
unguarded adj．不留神的，没有防备的
spoke n．（车轮上）幅条，阻碍物
loaf n．一条（面包）v．虚度光阴
wile n．诡计，花言巧语
microscopic adj．极小的，显微镜的
artifice n．巧办法，诡计
scud v．疾行，疾驶
magpie n．鹊，饶舌的人
indiscernible adj．看不清的
seminary n．神学院
perjure v．作伪证，发假誓
induct v．使就职，使入伍
livable adj．适于居住的，（人）可相处的
invincible adj．不可征服的，难以制服的
elongate v.延长,伸长
reassurance n．安慰（的话），放心
karate n．空手道
laceration n．撕裂，裂口
abominate v．痛恨，痛恶
trauma n．精神创伤，外伤
papyrus n．莎草，沙草纸
estuary n.河口,三角湾
abstruse adj．难懂的，深奥的
orthodontics n．畸齿矫正学
paranoia n．偏执狂，多疑症
tendentious adj．有偏见的，有倾向的
perturbation n．烦乱，扰乱
termite n．白蚁
rigmarole n.冗长无聊的废话
malinger v．装病以逃避工作
pawky adj.精明的，活泼的
lean v．倾斜，斜靠adj．瘦骨嶙峋的
leer v．斜眼看，睨视
disquisition n．长篇演讲，专题论文
pen n．围栏，监禁
vivacious adj．活泼的，快活的
disarray n．混乱，漫无秩序
abbreviation n．缩短，缩写
extrapolate v．预测,推测
plunder v．抢劫,掠夺
rejoinder n．回答
fresco n．壁画
involved adj．复杂的，有密切关系的
moppet n.小孩，小女孩
judicial adj．法庭的，法官的
hoop n．（桶之）箍，铁环
aromatic adj．芳香的
pliers n．钳子
accede v．应允，同意
dissent v．不同意，持异议
concise adj．简洁的
confiscate v．没收，充公
panel n．讨论小组，仪表板
haemophilia n．血友病，出血不止
celibacy n．独身（主义）
facilitate v．使容易,帮助
untoward adj．不幸的，（坏事）没料到的
mortar n．小臼，乳钵，迫击炮
notoriety n．臭名昭彰
nebula n．星云，喷雾剂
glum adj.闷闷不乐的，阴郁的，
esoteric adj．秘传的，神秘的
resignation n．听从，辞职
apathy n．漠然，冷淡
swarthy adj．（皮肤等）黝黑的
amalgam n．混合物
quest v．n．搜寻，探求
sanity n．神志清楚
reticulation n．网目，网状
naivete n．天真，纯朴，幼稚
beleaguer v．围攻
tapestry n．挂毯，丰富多采的画面
exuberant adj．(人)充满活力的(植物)茂盛的
conservatory n．温室，音乐学院
category n．类别，范畴
nonviolent adj．不使用暴力的，非暴力的
polemical adj．引起论战的
confide v．吐露（心事）
hyena n．土狼，鬣狗
grovel v．摇尾乞怜，奴颜婢膝
hinterland n．内地，穷乡僻壤
reprimand n．v．训诫，谴责
cursive adj．草书的
sagacity n．聪慧，洞察力
quixotic adj．不切实际的，空想的
chassis n．(汽车的)底盘
ruminate v．反刍，再嚼，深思
imperturbable adj．冷静的，沉着的
codicil n.遗嘱的附录，附加条款
festive adj．欢乐的，（thefestiveseason．）
perplexity n．困惑，茫然
veterinary adj．兽医的
disaster n．灾难，大不幸
makeshift n．adj．权宜之计（的），代用品
autocrat n.独裁者
stolid 　adj．无动于衷的，感情麻木的
slumberous adj．昏昏欲睡的
mare n．母马
morbid adj．病态的，不正常的
timbre n．（音乐）音色，音质
excesses n.过份荒淫的行为
packed adj．充满人的，拥挤的
lugubrious adj．郁郁不乐的，悲哀的
compact n.合同，协议
chase v．雕镂，追捕
harrowing adj．悲痛的，难受的
eulogistic adj.颂扬的,歌功颂德的
epilogue n．收场白,尾声
bower n．凉亭，树荫下凉快之处
sepulchral adj．坟墓的，阴深的
amorphous adj．无定形的，散漫的
decrepitude n．衰老、破旧
emetic n.催吐药
opulent adj．富裕的，充足的
exceptionable adj.引起反感的
contrition n．悔罪，痛悔
hoary adj．（头发）灰白的，古老的
blizzard n．暴风雪
forswear v．誓绝，放弃
renown n．名望，声誉
confluence n．合流，汇流
morose adj．脾气坏的，不高兴的
trend v．n．趋势，倾向
default n．拖债，未履行的责任
penitent adj．后悔的，忏悔的
trenchant adj．一针见血的，精辟的
cubicle n.寝室，小卧室
incision n．切口，切割
negation n．取消
submission n．服从，恭顺
infuse v．灌输，使…充满
sever v．切断，脱离
evince v.表明,表示
saturnine adj．忧郁的，阴沉的
exult v．欢腾,喜悦
bazaar n.集市,商店集中区
antenna n．触角，无线
halting adj．踌躇的，吞吞吐吐的
elated adj.得意洋洋的振奋的
peak v．憔悴，消瘦
miscellaneous adj．多种的，混杂的
grievous adj．严重伤害的，引起痛苦的
filigree n．金银丝做的工艺品
leakage n．渗漏，漏出
indescribable adj．（美得）无法形容的（
chandelier n．枝形吊灯（烛台）
hibiscus n．芙蓉，木槿
hypersensitive adj．过份敏感的
conciliation n．安慰，安抚
posy n.小花束
dejected adj．沮丧的，失望的
articulate v．清楚说话，接合
shun v．避免，闪避
flaggy adj．枯萎的，松软无力的
intern v．拘禁,软禁n．实习生
perfidious adj．不忠的，背信弃义的
boor n．举止粗野的人，乡下人
perspective n．（判断事物的）角度，方法，透视法
lucrative adj．赚钱的，有利可图的
inundate v．淹没，泛滥
bonnet n．圆帽，扁平软帽
percipient adj．洞察力强的
surrogate n．代替品，代理人
rancorous adj．怨恨的，憎恨的
wraith n．幽灵，骨瘦如柴的人
antidote n．解毒药
incurable adj．无可救药的
beguiling adj．欺骗的，迷人的
venison n．鹿肉
oleaginous adj.含油的，油腻的
chivalry n.骑士制度
capitulate v．（有条件地）投降。
prologue n．开场白,序幕
stupendous adj巨大的，大得惊人的
debunk v．揭穿真相，暴露
prostrate v.平放，征服，使……衰弱
bushed adj.疲倦的，迷路的
bounteous adj．慷慨的，丰富的
remittance n．汇款
riveting adj．非常精彩的
indigenous adj．土产的，本地的
copyright n．版权，著作权
emetic n.催吐药
abracadabra n.咒语，胡言乱语
aphorism n．格言
spindly adj．细长的，纤弱的
protocol n．外交礼节,协议
noisome adj．恶臭的，令人不快的
cynosure n．注意的焦点
limnetic adj．湖泊的
stupendous adj巨大的，大得惊人的
moron n．极蠢之人，低能儿
daub v．涂抹，乱画
offense n．错事，得罪
poltroon n．懦夫
dissenter n．持异义者
rat v.背叛，背信
seminal adj．有创意的
purgatory n.炼狱，暂时的苦难
antagonism n．对抗，敌对
humid adj．潮湿的
dimple n．酒涡，笑靥
resent v．憎恶，愤恨
wavy adj．波浪形的，起伏的
bore v．n．钻孔，令人厌烦的人
beverage n.（水，酒等之外的）饮料
bereft of丧失，失去
mellifluous adj．（音乐等）柔美流畅的
scruffy adj.肮脏的，不洁的
cavalier n．骑士，武士
oddments n．残余物，零头
limber adj．（肌肉）松软的，柔软的
admonitory adj．警告的
hedge n．修剪过的树篱，限制
noggin n.一小杯，少量的饮料
distension n．膨胀
striking adj．引人注目的，明显的
punctilious adj．谨小慎微的
repartee n．机灵的回答
implicate v．牵连（于罪行中）
willow n．柳树
heir n．继承人
diminutive adj．小巧可爱的
inanity n．无意义，无聊
stipend 　n．薪水，薪俸，养老金
ploy n．花招,手段
condemn v．极力谴责，判刑（死刑等）
impugn v．指责，对…表示怀疑
liberated adj．无拘束的，放纵的
piety n．虔诚
hullabaloo n.喧嚷声，吵闹声
immediacy n．立即、刻不容缓
legible adj．可辩认的，易读的
quotidian adj．每日的，平凡的
avocation n.副业,嗜好
revitalize v．使复活，使重新充满活力
gallant adj．勇敢的，（向女人）献殷勤的
jaunt v．短程旅游
invidious adj．惹人反感的，招人嫉妒的
enormous adj．极大的,巨大的
impropriety n．不正当（的行为）
vanquish v．征服，击溃
gloat v．幸灾乐祸地看，窃喜
celestial adj．天体的，天上的
rebuff v．断然拒绝
infamy n．恶名昭彰
pertain v．属于，关于
linguistics n．语言学
scathing n.苛刻的,严厉的
portend v．预兆,预示
serenade n．夜曲，小夜曲
rhinestone n．水晶石，莱茵石
brook n．小河
grotesque adj．怪诞的，古怪的
attentive adj.留心听的,关心的
excision n.切除,割除
curmudgeon n．脾气暴躁之人
fleck n斑点，微粒
sojourn v．n．逗留，寄居
stunning adj．极富魅力的
veer v．转向，改变（话题等）
decrepitude n．衰老、破旧
heir n．继承人
cardigan n.羊毛上衣，羊毛衫(
discomfiture n．狼狈，难堪
persevering adj．坚忍不拔的
abridgment n．删节，节本
inane adj．无意义的，空洞的
persistent adj．固执的，坚持的
grateful adj．感激的
axle n.轮轴(连接二个车轮的轴)
indigent adj．贫穷的，贫困的
prosperous adj．繁荣富强的
knit v．编结，针织
soil v．n．弄脏，污损
heading n．标题，航向
variability n．变化性，变化无常
appendage n．附加物
lassitude n．无力，没精打采
saccharin n．糖精
lapse n．失误，（时间等）流逝
boost v．往上推，增加，提高
interchangeable adj．可互换的
halt v.暂停前进，停止
scrooge n.吝啬鬼
conversion n．转变，皈依
aseptic adj．无菌的，洁净的
enticement n．诱骗,诱人
emigrate v．自本国移居他国
promiscuous adj．滥交的,杂乱的
ethos n.(个人,团体或民族)道德风貌，思潮信仰)
icicle n．冰柱，冰垂
impenitent adj．不悔悟的
tentative adj．试探性的，尝试性的
unavailing adj．无结果的，徒劳无功的
immersion n．沉入，浸入
stupendous adj巨大的，大得惊人的
adopt v．收养，采纳
safeguard n．防卫措施，防范措施
glib adj．流利圆滑的，善辩的
mordant adj．讥讽的，尖酸的
sapphire n．青玉，蓝宝石，adj．天蓝色的．
mock v．嘲笑，模仿地嘲弄
defame v．诽谤，中伤
amalgam n．混合物
pungency n．刺激性,尖刻
insufficient adj．不足的
promiscuity n．滥交,混杂
sumptuous adj.奢侈的，华丽的
dyspepsia n．消化不良（
pasty adj.浆糊的，苍白的
vixen n．雌狐，泼妇
bumper n．汽车前后的保险杆
gust n．阵风，一阵（情绪）
blasphemy n．亵渎，渎神
aftermath n．不幸事件之后果，余波
idle adj．不做事的，懒惰的v．浪费光阴
liberated adj．无拘束的，放纵的
litigious adj．好诉讼的
frailty n．脆弱，弱点
hospitality n．好客，殷勤
horizon n．地平线，（思想之）眼界
hecatomb n．大屠杀，百牛大祭
palliation n．减轻，缓和
strident 　adj．尖声的，刺耳的
cant n．隐语，术语
file n．锉刀v．锉平
rack v.折磨，使痛苦
propriety n．礼节，适当
liken v.把……比作，比拟
conifer n．针叶树
rustler n．偷牛（马）贼
defame v．诽谤，中伤
prosaic adj．单调的,无趣的
chauvinism n．沙文主义，盲目爱国主义
lido n．浴场，公共游泳池
emendation n．订正，校订
abdicate v．让位，辞职，放弃
inflammable adj．可燃的，易激怒的
erode v．腐蚀,侵蚀
gnomic adj．格言的，精辟的
fresco n．壁画
spate n．大批，大量，（水）泛滥
jumbo adj.巨大的，特大的(
dehydrate v．除去水份，脱水
instrumental adj．有帮助的，有作用的
insipid adj．乏味的，枯燥的
diminutive adj．小巧可爱的
demesne n.领地，范围
radiate v．发光，放热
pleonastic adj．赘语的,噜嗦的
strait 　n．海峡，adj．狭窄的
moralist n．道德学家，卫道士
amputate v．切除
tumultuous adj．乱哄哄的，喧哗的
faddish adj．流行一时的,时尚的
valiant adj．勇敢的，英勇的
raconteur n．善于讲故事的人
culinary adj．厨房的，烹调的
hide n．兽皮
implicate v．牵连（于罪行中）
recalcitrant adj．固执的，顽抗的
lexical adj．词汇的、词典的
chimera n．神话怪物，梦幻
dupe n．受骗的人，上当者
permeate v．扩散，渗透
crooked adj．弯曲的，扭曲的
recuperate v．恢复（健康），复原
cosy,cozy adj．温暖而舒适的
kangaroo n．袋鼠
fastidious adj．难取悦的,挑剔的
irreverent adj．不尊敬的
aberrant adj．越轨的，异常的
etymology n.语源学
rapacity n．掠夺，贪婪
minuet n．小步舞
pungent adj．刺鼻的,苛刻的
somatic adj．肉体的
gastronomy n．美食法，美食学
sprain n．v．扭伤
lucre n．钱，利益
ardent adj．热心的，热烈的
impeccable adj．无瑕疵的
honk n．汽车喇叭声，雁叫声
resonant adj．（声音）洪亮的，共鸣的
swank v．夸耀，炫耀
decry v．责难，贬低（价值）
demarcate v．划分，划界
exclude v.排斥，排除
ransom n．赎金，赎身，v．赎回，解救
momentum n．推进力，势头
induce v．诱导，引起
exclusive adj.(人)孤僻的，(物)专用的
villainous adj．邪恶的，恶毒的
karate n．空手道
relict adj．残存的
elite n.精华，中坚
wreckage n．残骸，碎片
atrocious adj.残忍的,凶恶的
lunacy n．疯狂，愚行
operetta n．小歌剧
immoral adj．不道德的，淫荡的
scalding adj．滚烫的
axiom n.公理,定理
palatial adj．宫殿般的，宏伟的
uptight adj．焦虑不安的，紧张的
benign adj．慈祥的
wherry n.小船，舢板
arcane adj．神秘的，秘密的．
eclipse n．（日，月）蚀，名声缺落，失势
limb n．肢（手或脚），翼
hectic adj．兴奋的，繁忙的
incapacity n．缺乏能力
hamper v．妨碍，阻挠n．有盖提篮
locomotion n．运动，移位
medal n．奖牌，勋章
relent v．动怜悯心，减弱
periphrasis n.绕语，迂回的话
debris n．废墟，残骸
magistracy n．地方保安官的职位
epistemology n．认识论(对知识本质的研究)
charity n．仁慈，施舍．
cronyism n.任人唯亲
comatose adj.昏迷的
tassel n．流苏，穗
disposition n．处理，天性、气质
usher n．领座员，招待员，v．引，领
consummation n．达到极点，完成
prude n．过份守礼的人
desiccant n．干燥剂
glimmer v．发微光，n．摇曳的微光
posterity n．后代,子孙
lacklustre adj．无光泽的，呆滞的
merchandise n．商品，货品
enlightenment n.教化，启蒙
stridulate v.(昆虫)唧唧鸣叫
nonplus v．使窘困，狼狈不堪
commiserate v.同情，怜悯
sect n．（宗教等）派系
amplify v．放大，详述
stoop 　v．俯身，降低身份
provender n．(牛马吃的)草料,粮秣
senescent adj．衰老的、老化的
outface v.大胆地对付，无畏面对
pontifical adj．自以为是的,武断的
seam n．缝、接缝
emetic n.催吐药
alcove n．凹室，壁龛
gustation n．品尝，味觉
expire v.期满,去世
outrageous adj．粗暴的，无礼的
poetaster n．蹩脚诗人
continence n．节制、克制力
buggy n．轻型马车，婴儿车
elitism n.精英论,优秀人士统治
styptic adj.止血的,n.止血剂
palisade n.篱笆，栅栏
autonomy n.自治,自主
penance n．自我惩罚
transmit v．传送，传播
collude v.串通，共谋
mordant adj．讥讽的，尖酸的
intrepidity n．无畏
perpetrate v．犯罪，作坏事
wily adj．狡猾的
perigee n．近地点
skunk n．臭鼬，黄鼠狼
tenderfoot n.生手，新手
scarp n．悬崖，陡坡
totalitarian adj．极权主义的
gaiety n．欢乐，快活
hubris n．过份自傲，目中无人
goad n．赶牛棒v．n．刺激，激励
dietitian n．营养学家
slough v．n．（蛇等）蜕皮，蜕壳
grasping adj．贪心的，贪婪的
proceeds n．收入
inhuman adj．残忍的
fumble v．摸索，搜寻
speciosity n．似是而非，外表美观
fractious adj．（脾气）易怒的，好争吵的
grim adj．冷酷的，可怕的
belch v.打嗝，喷出
hangar n．飞机库
decorum n．礼节，礼貌
terminable adj．可终止的
cantata n．清唱剧
hurdle n．跳栏，障碍
abbreviation n．缩短，缩写
speck n．小点，斑点，少量
denture n．假牙
enshrine v．奉为神圣,珍藏
discredit v．怀疑，n．丧失名誉
senility n．衰老，老化
perambulate v．巡行，巡视，漫步
enmity n．敌意，仇恨
malediction n．诅咒
arcane adj．神秘的，秘密的．
iguana n.美洲大蜥蜴
seamstress n．女裁缝
leer v．斜眼看，睨视
rectify v．改正，调正
furtive adj．偷偷的，秘密的
totalitarian adj．极权主义的
delinquency n．失职，罪行
pestle n．杵，乳钵槌
armada n．舰队
conjurer n．魔术师
crate n．篓，板条箱
festal adj．节日的，欢乐的
contrition n．悔罪，痛悔
vegetation n．植物，草木，植被
equanimity n．镇定，沉着
trash n．废物，垃圾
betray v．背叛，暴露
cohesion n.内聚力
subvert v．颠覆，推翻
unfettered adj．无忧无虑的
coerce v.强迫，压制
diatribe n．（口头或书面猛烈的）抨击，抨击性演说
turbulent adj．凶猛的，骚乱的
vile adj．可恨的，可耻的
glimpse n．v．瞥见，看一眼
indispensable adj．不可缺乏的
gouge n．半圆凿，v．挖出，敲竹杠
broil n.v.争吵，怒骂
parley n．v．和谈，会谈．
recede v．后退，收回（诺言）
fulmination n．抨击，谴责
brutality n．残酷，兽行
holocaust n．大屠杀，浩劫
specious adj．似是而非的，华而不实的
crescendo n（音乐）渐强，高潮
pantry n．食品室
garble v．曲解，窜改
veer v．转向，改变（话题等）
contrive v．计划，设计
coterie n．（有共同兴趣的）小团体，小圈子
poignant adj．伤心的,尖锐的
downtrodden adj.被压制的
prescribed adj．规定的
laudatory adj．表扬的，赞扬的
abet v．教唆，协助（罪犯）
analgesic n．镇痛剂，adj．止痛的
sterile adj．不孕的，无细菌的
scab n．创口上所结的疤，痂
impenetrable adj．不能穿透的，不可理解的
barrage n.火力网，弹幕
exodus v.大批离去,成群外出
ingenuity n．巧思，聪敏
exultant adj．愉悦的
ligature n．绑缚之物（尤指系住血管以免失血的线）
statutory adj．法定的，受法令所约束的
formidable adj．可怕的，困难的
melody n．旋律，歌曲
histology n．组织学（研究细胞之学科）
mortgage n．抵押贷款，抵押证书v．抵押
endorsement n．背书,赞同
expertise n.专技，专业知识
flux n．变迁，不断的变化
occurrence n．事件，发生
bug n．臭虫，窃听器
glean v．拾落穗，收集（材料等）
complaisance n.迁就，奉承
bloated adj．肿胀的
infatuated adj．迷恋（人）的
clemency n.仁慈，(气候)温和
concurrent adj．同时发生的，一致的
stench n．臭气，恶臭
objectionable adj．令人厌恶的
rustic adj．乡村的，乡土气的
stonewall v.阻碍议事，妨碍
provident adj．深谋远虑的,节俭的
behold v．目睹，看见
traumatic adj．受创伤的，外伤的
furbish v．磨光，刷新
burlesque n．讽刺或滑稽的戏剧
truce n．停战，休战（协定）
incarnate adj．具有肉体的，化身的
disaffection n．政治上不满，叛离
brutal adj．残忍的，严酷的
impedimenta n．随身携带物，行李
subpoena n．（法律）传票，v．传讯
maltreat v．虐待
plummet v．垂直或突然地堕下
abstract n．摘要
purgatory n.炼狱，暂时的苦难
incriminate v．连累，牵连
dietetics n．饮食学，营养学
morass n．沼泽地，困境v．陷入困境
canonical adj．符合规定的，经典的
blunder v．犯大错n．愚蠢之举
fabricate v．控造,制造
trash n．废物，垃圾
palatial adj．宫殿般的，宏伟的
corny adj．平谈无奇的，乡巴佬的
turpitude n．邪恶，卑鄙（行为）
hawk n．隼鹰
prorogation n.休会
tornado n．飓风，龙卷风
crafty adj．狡诈的
residue n．剩余（财产）
revoke v．废除，取消
expire v.期满,去世
applicable adj．生效的，适合的，
osmosis n．渗透，潜移默化
filibuster v．n．妨碍议事，阻挠
incarnation n．具体化，化身
flamboyant adj．艳丽的，炫耀的
altruism n．利他主义，不自私
metaphor n．隐喻，暗喻
morsel n．一小块（食物），小量
accretion n．自然的增加，增加物
elitism n.精英论,优秀人士统治
blockbuster n.轰动，巨型炸弹
enormous adj．极大的,巨大的
poise v．使相等,使平衡n．泰然自若,信心
rat v.背叛，背信
stout adj．肥胖的，强壮的
sap n．树液，活力．v．削弱，耗尽
exorcize v.驱魔,去除(坏念头等)
outstrip v．超过，跑过
nephritis n．肾炎
arduous adj．费力的，艰难的
hem n.(衣服或裙子的)褶边
deity n．神，神性
snare n．罗网，陷井
filth n．肮脏，粗语
concord n．和睦，公约
legitimate adj．合法的，正当的
hitch v．搭便车，套住
obstinate adj．固执的，倔强的
nuptials n．婚礼
condole withv．向…吊慰
frantic adj．疯狂的，狂乱的
epithet n．(贬低人的)短语或形容词
cupidity n．贪婪
perilous adj．危险的，冒险的
orthopedics n．整形手术，整形外科
scuttle v．急赶、疾走，逃辟
spawn n．（鱼等）卵子，v．大量产卵，大量生产
circumspect adj.慎重的，仔细的
wastrel n．败家子，挥霍无度的人
audit v.审计,核对,旁听
rind n（西瓜等）外皮
souse v．浸在水中，使湿透
hyphen n．连字号，即“—”
bellicose adj．好战的，好斗的
wainscot n.护壁板，adj.用……装饰
rustic adj．乡村的，乡土气的
enhancement n．增加,提高
janitor n．管理员，管门人
spoof v．揶揄，嘲讽
clientele n.(医生、律师的)顾客，(商店的)常客
entreat v．恳求
sear v．（以烈火）烧灼
fort n要塞，城堡
explicit adj.清楚明确的
benighted adj.愚昧的
tact n．机智，圆滑
rehash v.重复谈论
recidivism n．累犯，重犯
mooch v.闲荡，溜达
disaster n．灾难，大不幸
corpulence n．肥胖，臃肿
stipulation n．规定，约定
finicky adj．苛求的，过份讲究的
evoke v.引起，唤起
retailer n．零售商
improvident adj．不顾将来的，不节俭的
gutter n．水槽，街沟
rite n．（宗教的）仪式
derogatory adj．不敬的，诽谤的
perfume n．香味，香水
orthopedics n．整形手术，整形外科
congestion n．充血，拥挤
lacklustre adj．无光泽的，呆滞的
hieroglyph n．象形文字，图画文字
poky adj.(地方)狭小的,不舒适的
outstrip v．超过，跑过
doldrums n（海洋上的）无风带，情绪低沉
therapy n．疗法
parquet n．镶木地板．
