suffuse v．（色彩等）弥漫，染遍
solvency n．溶解力，还债能力
rap v.严厉指责
retrograde adj．后退的，v．倒退
purebred adj．(动物)纯种的
helping n．一份或一客食物
balk v.阻止，妨碍
addled adj．头脑混乱的
packed adj．充满人的，拥挤的
extemporize v．即席演说
monolithic adj．巨石的，巨大的
crestfallen adj．挫败的，失望的
tantrum n．勃然大怒，脾气发作
stymie v．妨碍，阻挠
abduct v．绑架，拐走
horn n．（牛羊之）角，号角
pervasive adj．遍及的，弥漫的
flamboyant adj．艳丽的，炫耀的
acute adj．灵敏的，（病）急性的
benediction n．祝福，祈祷
sketchy adj．概略的，粗略的
unexampled adj．空前的，无前
vagary n．奇想，异想天开
megalomania n．自大狂
construe v．解释，翻译
idle adj．不做事的，懒惰的v．浪费光阴
depreciate v．贬低，贬值
fickle adj．（爱情或友谊上）易变的，不坚定的
stationary adj．静止的，不动的
maxim n．格言，普遍真理
harrowing adj．悲痛的，难受的
indigent adj．贫穷的，贫困的
fructify v．结果实，成功
preponderance n．优势,多数
pith n．精髓,要点
tantalize v．挑惹，挑逗
distress n．痛苦，悲痛
necropolis n．公墓
fop n．（喜好精致服装的）花花公子．
ursine adj．熊的，像熊的
engender v．产生，引起
intervention n．干涉
antithetic adj．对立的
ocular adj．眼睛的，可见的
terminology n．术语，术语学
immunity n．免疫，豁免
hortative adj．激励的
idiocy n．愚蠢
stitch 　n．（缝纫时的）一针，一钩v．缝合
stamina n．体力，耐力
superb adj．上乘的，出色的
hierarchy n．阶层，等级制度
svelte adj．（女人）体态苗条的
gastronomy n．美食法，美食学
abdicate v．让位，辞职，放弃
dyspepsia n．消化不良（
hieroglyph n．象形文字，图画文字
bedlam n.喧闹的地方，骚乱
instrumental adj．有帮助的，有作用的
high-flown adj．夸张的，好高骛远的
lacklustre adj．无光泽的，呆滞的
speculation n．思索，推测，投机
dispossessed adj．被剥夺财产的
enigma n．谜,谜一样的人或事
inexplicable adj．无法解释的，难理解的
mitten n．（四指套在一起姆指分开的）手套
heave v．用力拉，举
fret v．n．（使）烦躁，焦虑
figment n．虚构的东西
stipple 　v．点画，点描．
chaperon v.陪伴，伴随
taut adj．拉紧的，绷紧的
technocrat n．技术人员，技术统治
pitch n．音调(音符之高低)
entomology n．昆虫学
puerile adj．幼稚的，儿童的
derelict adj．荒废的，被弃置的
atrophy n.v.萎缩,衰退
insidious adj．祸害隐伏的
posy n.小花束
repartee n．机灵的回答
enlist v.(使)入伍从军,征募
prodigy n．奇事,非凡之人,天才
pander v.迎合
erudition n．博学
senility n．衰老，老化
torture n．酷刑，折磨，v．对…施以苦刑
antecedence n．居先，在先
detached adj．分开的、超然公平的
bygone adj.过去的，昔日的
frump n.衣着守旧的人
senility n．衰老，老化
generosity n．慷慨、大方
derogate v．贬低，诽谤
sepulchral adj．坟墓的，阴深的
shroud n．寿衣，遮蔽物v．覆盖
riotous adj．暴乱的，蛮横的
contumely n．无礼，傲慢
insolent adj．粗野的，无礼的
temper v．锻炼，缓和n．脾气
callow adj．（鸟）未生羽毛的，（人）未成熟的。
stride 　v．大步行走，阔步
sensuality n．淫荡、好色
tornado n．飓风，龙卷风
epitaph n．墓志铭
mimicry n．模仿，（动物等）拟态伪装
dashing adj．有活力的，有朝气的
anathema n（基督教的）咒诅
ruminant adj．（动物）反刍的，沉思的
impute to归咎于
promenade n．v．散步,开车兜风
dither n.v.慌张，犹豫不决
prorogue v．休会,延期
fleece n．生羊皮，羊毛
barbecue n.烤肉架,烤肉
intermittent adj．断断续续的，间歇的
submerge v．沉没，淹没
huffy adj．愤怒的，暴躁的
retaliate v．报复，反击
bower n．凉亭，树荫下凉快之处
swagger v．大摇大摆地走
solder v．焊接，焊合
sable n．黑貂，adj．黑色的
barge n.平底货船,驳船
impede v．妨碍
adhere v．粘着
larch n．落叶松
enrapture v．使狂喜,使高兴
dictator n．独裁者
valour n．英勇（
sidesplitting adj．令人捧腹大笑的
sluggish adj．行动迟钝的，缓慢的
scintillate v．闪烁、（淡吐）流露机智
hucksterize v.强制推销(
scuttle v．急赶、疾走，逃辟
badinage n.打趣，嘲弄
corpulent adj．肥胖的
excesses n.过份荒淫的行为
don v．穿衣，戴帽
fret v．n．（使）烦躁，焦虑
exploration n.探险,研究
secular adj．世俗的、尘世的
mollify v．安慰，安抚
contrition n．悔罪，痛悔
desiccate v．（使）完全干涸，脱水。
ensemble n．全体,大合唱
feedback n．（信息的）反馈
distillation n．蒸馏
trammel v．n．束缚，妨碍，鱼网
fascination n．魅力,娇媚
tantalize v．挑惹，挑逗
purport n．意义，涵义
lore n．知识，全部传说
expire v.期满,去世
forgo v．放弃，抛弃
solvency n．溶解力，还债能力
subdue v．征服，压制，减轻
neurology n．神经病学
oscillate v．摆动，犹豫
stagy adj．不自然的，演戏一般的
florid adj．华丽的，（脸）红润的
nude adj．赤裸的，n．裸体者
rove v．流浪，漂泊
prosecutor n．起诉人
obviate v．排除（困难）
brook n．小河
fiendish adj．极凶恶的
maelstrom n．大漩涡，灾祸
dorsal adj．背部的，背脊的
appal v．使惊骇，使恐怖
serendipity n．善于发掘新奇事物的天赋
portentous adj．凶兆的,有危险的
purveyance n．粮食的供给
suffice v．足够，（食物）满足
poignant adj．伤心的,尖锐的
intermediary adj．媒介的n．中间人,媒介物
deterrent adj．威慑的，制止的
repletion n．充满，吃饱
currish adj．下贱的，杂种的
anticipatory adj预期的
emerge v．出现，露出
opponent n．对手，敌手
perspicacious adj．独具慧眼的
gauge n．标准规格，测量仪
obliging adj．恳切的，热心助人的
prude n．过份守礼的人
vortex n．漩涡，漩风
homogenize v．使均匀，使一致
induce v．诱导，引起
hegemony n．霸权，领导权
celibacy n．独身（主义）
commence v.开始，倡导
stupor n．昏迷，不醒人事
preclude v．避免,排除
leer v．斜眼看，睨视
abnormal adj．不正常的，变态的
cubicle n.寝室，小卧室
parquet n．镶木地板．
adamant adj．强硬的，固执的
tempest n．暴风雨，骚动
flamboyant adj．艳丽的，炫耀的
characterization n．描绘、刻画
facetious adj．轻浮的，好开玩笑的
rave n．热切赞扬，倾倒
enmity n．敌意，仇恨
dilapidated adj．破旧的，倒塌的
swig v.豪饮，大口地喝
devour v．吞食，（一口气）读完
tamp v．捣实，砸实
hot watern．困境
primeval n．原始的,早期的
hors d’oeuvren．（法）正菜前的开胃小菜
lumpish adj．笨拙的
correlate n．相关的事物
prolix adj．罗嗦的,冗长的
husk n．外壳，皮，荚
summarily adv．概括地，仓促的
temerity n．鲁莽，大胆
babble v.说蠢话,牙牙学语
baron n.大财主,大老板
reconcile v．和解，调和
prejudicial adj．有害的,引起偏见的
hybrid n．杂种，混血人
rapids n．急流，湍流
asparagus n．芦笋（可作蔬菜）
pulchritudinous adj．美丽的
voluptuous adj．撩人的，沉溺酒色的
obtuse adj．愚笨的，不锐利的
intrepid adj．无畏的，刚毅的
mock v．嘲笑，模仿地嘲弄
monastery n．男修道院，僧院
conciliation n．安慰，安抚
canopy n．蚊帐，华盖。
pinnacle n．尖塔,山峰
consanguinity n．血亲，同家
provisions n．粮食,食品
negligible adj．可忽略的，无关紧要的
tacit adj．心照不宣的，静默的
soporific adj．催眠的，n安眠药
hobgoblin n.妖魔，恶鬼
congeal v．凝结，凝固
frolicsome adj．快活的，欢乐的
gutless adj．没有勇气的，懦怯的
fiscal adj．公款的，财政的
eminent adj．著名的、显著的
compatible adj.和谐共处的，相容的
gull n海鸥，v．欺骗
approbatory adj．表示赞许的．
flux n．变迁，不断的变化
terpsichorean adj．舞蹈的
nomenclature n．术语，命名系统
encomium n．赞颂，颂辞
elitism n.精英论,优秀人士统治
soporific adj．催眠的，n安眠药
protrude v．突出,伸出
ragged adj．破烂的，（表面）凹凸不平的
frump n.衣着守旧的人
usurious adj．放高利贷的
burrow n．（兔子等）所掘的地洞，v．挖洞
sane adj．神志清楚的，明智的
disputant n．争执者，争论者
constituent n．成份，选区内的选民
guffaw n．v．哄笑，大笑
smelt v．熔解，熔炼
abduct v．绑架，拐走
override v．不理会，推翻
dunce n．蠢材，笨人
functionary n．小官，低级公务员
neurology n．神经病学
intrepidity n．无畏
voluptuary n．耽于逸乐的人
restrain v．克制，抑制
shard n．（陶器等）碎片，破片
glossy adj．光泽的，光滑的
sleek v．（使）光滑，adj．光滑的，整洁的
gull n海鸥，v．欺骗
connivance n．共谋，纵容
fawning adj．奉承的
tickler n．棘手的问题，难题
prude n．过份守礼的人
accumulate v．积聚，积累
adornment n．装饰，装饰品
wardrobe n．衣橱，全部服装
decadence n．衰落，颓废
reprimand n．v．训诫，谴责
arena n．竞技场
loquacious adj．多嘴的，饶舌的
pander v.迎合
fishery n．渔场
tardy adj．缓慢的，迟缓的
sellotape n.透明胶带
plethora n．过量,过剩
fraternity n．同行，友爱
desirable adj．值得要的，（女人）诱人的
overdose n．（药物）过度剂量
hardy adj．耐寒的、强壮的
hepatitis n．肝炎
wangle v.(用计谋等)得到，取得
comply n.遵循
elite n.精华，中坚
terminology n．术语，术语学
imperious adj．傲慢的，专横的
chivalrous adj．武士精神的，侠义的
travesty n．v．歪曲，曲解
sanctuary n．圣堂，避难所
insider n．局内人，圈内人
appal v．使惊骇，使恐怖
filigree n．金银丝做的工艺品
futility n．无用，无益
forum n．辩论的场所，讲坛
omnivorous adj．杂食的，兴趣广泛的
trivial adj．琐细的，平庸的
parse n.v.从语法上分析
plush adj．豪华的
deflection n．转向，偏斜
dappled adj．有斑点的，斑驳的
torso n．（人体的）躯干，躯干像
locution n．说话的方式或语气，惯用语
acne n.粉刺
commitment n.承诺，责任
assiduity n．勤勉
opiate n．安眠药，鸦片制剂
provender n．(牛马吃的)草料,粮秣
tribulation n．苦难，灾难
snowdrift n．雪堆
ravine n．深谷，峡谷
solace n．安慰．慰藉
anterior adj．较早的，以前的
table v．搁置，不加考虑
caste n．社会等级，等级
errand n．差使,差事
heave v．用力拉，举
asphalt n.沥青
augmentation n.增加
tempestuous adj狂暴的
cloistered adj.隐居的
sweltering adj．酷热的
lineal adj．直系的，嫡系的
malignant adj．恶毒的，充满恨意的
ritual n．仪式，
voracity n．贪食，贪婪
dilemma n．困境，左右为难
iris n．虹膜，彩虹
crestfallen adj．挫败的，失望的
indemnification n．赔偿，赔偿金
marionette n．木偶
bassoon n.低音管,巴松
truncate v．把（某物）截短，去尾
doggerel n．歪诗，打油诗
firmament n.苍穹，天空
penchant n．爱好，嗜好
characterization n．描绘、刻画
larch n．落叶松
bevy n．一群（少女或鸟）
mire n．泥沼，困境
pretence n虚伪,借口
transform v．将…变形，变化
motivation n．动机，目的
infelicitous adj．不妥当的，不得体的
hindrance n．妨碍，阻碍
mash v．捣成糊状
wiggle v．扭动，蠕动
temptation n．引诱，诱惑物
digression n．离题，枝节话
poetaster n．蹩脚诗人
cosy,cozy adj．温暖而舒适的
plangent adj．如泣如诉的,悲哀的
meteoric adj．流星的，昙花一现的
ineffable adj．妙不可言的，说不出的
flay v．剥皮，诈取，严厉指责
curator （博物馆等）馆长
dirge n．哀歌、凄凉之曲调
wastrel n．败家子，挥霍无度的人
cleaver n.切肉刀
coltish adj.放浪不拘的，似小马的
sprinkler n．洒水装置，洒水车
itinerant adj．巡回的，流动的
gilded adj．镀金的，富有的
usher n．领座员，招待员，v．引，领
temporary adj．短暂的，暂时的
humility n．谦逊，谦恭
gastric adj．胃的，胃部的
carouse v．n．狂饮寻乐
inconsolable adj．无所慰籍的，极度沮丧的
apiary n．养蜂场
bane n.祸根
rapine n.劫掠，掠夺
opacity n．不透明，暖昧
thwart v．阻挠，使…受挫
tresses n．女人的长发
shunt v．使（火车）转到另一轨道，转移方向
pedigree n.家谱，纯种系谱
booze v.痛饮，狂饮
stratum n．地层，社会阶层
poignancy n．辛酸事,尖锐
grouch n．牢骚，不满．
purge v．清洗,洗涤
redress v．n．改正，修正
notoriety n．臭名昭彰
orient adj．上升的，v．确定方向，使熟悉情况
haggard adj．憔悴的，消瘦的
drawbridge n．吊桥
prudery n．过分守礼,假正经
antigen n．抗原（注射于动物体内，能使之产生抗体的物质）
supercilious adj．目中无人的，高傲的
defection n．脱党，变节
bashful adj.害羞的,羞怯的
obstruction n．阻挠，障碍物
purblind adj．愚钝的,视力不佳的
elucidate v.阐明说明
grandeur n．壮丽，伟大
radiate v．发光，放热
disembodied adj．无实体的、空洞的
compute v．计算
reticulation n．网目，网状
obscene adj.淫秽的
stapler n．钉书机
trice n.瞬间，顷刻
instigation n．煽动，刺激
gridiron n．烤架，橄榄球场
supersede v．淘汰，取代
excruciating adj.极痛苦的
apiculture n．养蜂业
freeway n．高速公路
stalk v．隐伏跟踪（猎物）
flippancy n．无礼，言语尖刻
adulate v．谄媚，奉承
psyche n．心智,精神
pointer n．一种短毛猎犬
hustler n．非常活跃之人
eulogy n.颂词，颂文
philander v．调戏追逐女人
sluice n．水门，水闸，n．冲洗，奔流
classification n.分类，分类法
ingenuity n．巧思，聪敏
hurricane n．飓风
dorsal adj．背部的，背脊的
nihilism n．虚无主义，无政府主义
proscribe v．禁止
vicelike adj.牢固的，坚实的(
blight n．植物枯萎病v．使…枯萎
niggle v.挑剔，吹毛求疵
quaff v．畅饮
cleave v.劈开，分裂
pendulum n．摆，钟摆．
apostate n背教者，变节者
heroics n．装腔作势的演说或行为
scenario n．剧情说明书，剧本
indiscriminate adj．不加选择的
trophy n．奖品，战利品
smolder v．无火焰地闷烧，压抑
sect n．（宗教等）派系
imperative adj．急需的，必要的
hypotenuse n．（直角三角形的）斜边
jaundiced adj．有偏见的
symmetry n．对称，均衡
implosion n．向内破裂，内爆
barrage n.火力网，弹幕
dock v．剪短，扣除…的一部份
choreography n．舞蹈，舞蹈编排
gnat n．对小事斤斤计较，琐事
foil v．阻挠
implication n．牵连，暗示
touchy adj．敏感的，易发脾气的
epistle n．(长而重要的)书信
quail v．畏惧，颤抖
sterilize v．使不育，杀菌
appendage n．附加物
fidgety adj．烦躁的，不安的．
anodyne n．止痛药
jaundiced adj．有偏见的
compelling adj.引起兴趣的
subservient 　adj．恭顺的
allurement n．诱惑物
gloom n．黑暗，忧郁
carnival n．狂欢节
divagate v．（文章或谈话）离题，漂泊
unearth v．挖出，发现
carnival n．狂欢节
generator n．发电机
monastery n．男修道院，僧院
luminous adj．发光的，易懂的
penalize v．置（某人）于不利地位，处罚
blandishments n．甘言劝诱
nullify v．使无效，抵消
lobe n．耳垂，（肺，肝等的）叶
tousle v．弄乱（头发）
enfranchise v．给予选举权,释放(奴隶)
disputant n．争执者，争论者
coruscate v．闪亮，闪光
predisposition n．倾向,癖性
ascetic adj．禁欲的n．苦行者
otiose adj．不必要的，多余的
infatuated adj．迷恋（人）的
aboriginal n．原始居民，土著
bonnet n．圆帽，扁平软帽
immoral adj．不道德的，淫荡的
engaging adj．迷人的，美丽动人的
tribulation n．苦难，灾难
cistern n.(抽水马桶的)贮水池
pomposity n．自大,傲慢
hexagon n．六角形，六边形
dawdle v．闲荡，虚度
effulgent adj．光辉的，灿烂的
tantamount adj．与…相等的
lowbred adj．粗野的，鲁莽的
poignant adj．伤心的,尖锐的
taking adj．楚楚动人的
magnitude n．重要，星球的光亮度
tantrum n．勃然大怒，脾气发作
presumptuous adj．自大的,专横的,冒昧的
invidious adj．惹人反感的，招人嫉妒的
enclosure n．圈地，围占
cuddle v．n．搂抱，拥抱
rote n．死
buoy n．浮标，救生圈，v．支持，鼓励
raillery n．善意的嘲弄
forgo v．放弃，抛弃
calcify v．使硬化，钙化
polish v．把…擦光亮n．上光剂,(态度等)优雅
marital adj．婚姻的
armistice n．休战，停战
pamphlet n．小册子
watershed n.分水岭，流域
inducement n．引诱物
badge n.徽章(如校徽等)
animus n．憎恨
absinth n.苦艾酒
fragmentary adj．零碎的，不完整的
pirouette n．v(舞蹈)脚尖立地的旋转
nasal adj．鼻的，有鼻音的
offense n．错事，得罪
larynx n．喉
festive adj．欢乐的，（thefestiveseason．）
misconstrue v．误解，曲解
tassel n．流苏，穗
fealty n．效忠
eaves n．屋檐
debunk v．揭穿真相，暴露
groove n．凹线，（刻出的）线条，习惯
snoop v．窥伺，打听，n．窥探者
benefactor n．行善者，捐助者
plumule n.(植)胚芽，(鸟)绒羽
rifle n．步枪，v．洗劫，抢劫．
ostentation n．夸示，炫耀
firmament n.苍穹，天空
asunder adv.分离,化为碎片
exhort v.力劝,勉励
crater n．火山口，弹坑
rapport n．和睦，意见一致
swot n.刻苦学习的人,v.苦读
covert adj．秘密的，隐密的
illustrious adj．著名的，显赫的
concision n．简明，简洁
couch n．长沙发，睡椅
panache n.夸耀，炫耀
xerophyte n．旱生植物
mince v．切碎，小步走路
crooked adj．弯曲的，扭曲的
fertile adj．多产的，肥沃的
score n．乐谱
sallow n．柳树，adj．病黄色的
sartorial adj．裁缝的，缝制的
blowhard n．自吹自擂者
avant-garde n.先锋派(艺术流派之一)
gargantuan adj．巨大的，庞大的
canker n.溃疡，弊害
vacillate v．游移不定，踌躇
hawker n．沿街叫卖之小贩
advisable adj．适当的，可行的
scared adj．害怕的，恐惧的
palette n．调色板
numismatic adj．钱币学的
momentous adj．极重要的，严重的
frantic adj．疯狂的，狂乱的
retarded adj．智力迟钝的
quizzical adj.爱挖苦的，戏弄的
detonate v．（使）爆炸，引爆
poky adj.(地方)狭小的,不舒适的
perennial adj．终年的，永久的
adversity n．不幸，灾难
specifics n．细微问题，细节
voluminous adj．长篇的，多产的，庞大的
holster n．手枪皮套
commodious adj.宽敞的
cussed adj.执拗的，顽固的
gaucherie n．笨拙
perfunctory adj．草率的，敷衍的
denominate v．命名，取名
plankton n．浮游生物
phony adj．假的，伪造的
executor n.遗嘱执行人
wold n.荒原，山地
erode v．腐蚀,侵蚀
obscure adj．难解的，不清楚的v．隐藏，使…模糊
fleck n斑点，微粒
limbo n．不稳定，中间状态
asthma n．哮喘症
evocative adj.唤起的激起的
enhancement n．增加,提高
prosperity n．繁荣,兴旺
hilarity n．欢乐，热闹
quartet n．四重奏，四重唱
humiliate v．使屈辱，使丢脸
mute adj．沉默的，n．弱音器
churlish adj．脾气暴躁的
chirp v．(鸟或虫)唧唧叫
hold n．（船）货舱
grandiloquent adj（语言等）夸张的，夸大的
hackneyed adj．陈腐的，平常的
prop n．支撑物，靠山v．支持
revelry n．狂欢
invocation n．祈祷
rancid adj．不新鲜的，变味的
relaxation n．松弛，消遣
flagellate v．鞭打，鞭笞
proximate adj．最接近的,直接的
bacchanal n.(行为放纵的)狂欢会
surrogate n．代替品，代理人
fauna n．动物区系
pathos n．哀婉，悲怆
outset n．开始，开头
lure n．诱惑力，引诱
deice v.防冰，除冰
rigidity n．固执，坚定，僵化
immersion n．沉入，浸入
tickler n．棘手的问题，难题
inflammable adj．可燃的，易激怒的
alloy n．合金，v．混合
spat n．口角，小争论
necessitous adj．贫困的，急需的
duel n．决斗
intuitive adj．有直觉力的，直觉到的
prerogative n．特权
prate v．瞎扯,胡说
nonplus v．使窘困，狼狈不堪
detonate v．（使）爆炸，引爆
cant n．斜坡，斜面，v．使倾斜
avalanche n.雪崩
nocturnal adj．夜晚的，夜间发生的
miasma n．瘴气，坏影响
sangfroid n．沉着，临危不惧
sleek v．（使）光滑，adj．光滑的，整洁的
suspense n．悬念，悬疑，挂念
lingering adj．拖延的，依依不舍的
halt v.暂停前进，停止
narcotic n．催眠药adj．催眠的
vociferous adj．喧哗的，大叫大嚷的
coterie n．（有共同兴趣的）小团体，小圈子
smear n．油渍，污点v．弄脏，玷污
retarded adj．智力迟钝的
calculating adj．深谋远虑的，精明的。
tarpaulin n．防水布，油布
emolument n．报酬，薪水
sneaking adj．秘密的，不公开的
negligence n．疏忽，粗心
lope n．轻快的步伐，v．轻快地迈着大步
diplomatic adj．外交的，圆滑的
proclivity n．倾向,癖性
flout v．蔑视，违抗
fidelity n．忠实，忠诚
contrived adj．不自然的，人造的
ambivalent adj．（对人或物）有矛盾看法的
venality n．唯利是图
contagion n．传染（病）
inveigle v．诱骗，诱使
obese adj．极肥胖的
coax v.哄诱，巧言诱哄
concave adj．凹的
modish adj．时髦的
anthology n．诗集，文选
augury n.预言,征兆,占卜
ensign n．舰旗(船上表示所属国家的旗帜)
clarification n.解释，澄清
gnome n．地下宝藏的守护神，地精，格言
plastered adj．抹上灰泥的
down n．绒毛，汗毛
explicable adj.可解释的
chaperon v.陪伴，伴随
frisky adj．活泼的，快活的
steeple n．尖塔，尖阁
adjutant n．（军队的）副官，助手
shale n．页岩
cur n．杂种狗，坏种
scum n.泡沫，社会渣滓
paltry adj．无价值的，微不足道的
rapprochement n．和好，和睦
hilarious adj．充满欢乐的，引起大笑的
tribute n．贡物，赞辞
abbreviation n．缩短，缩写
tantalize v．挑惹，挑逗
exaction n.强求，勒索
audacity n.大胆,鲁莽
spawn n．（鱼等）卵子，v．大量产卵，大量生产
tend v．照料，看顾
abysmal adj．极深的，糟透的
authentic adj.真正的,原作的
inundation n．淹没（
crevice n．缺口，裂缝
provisional adj．暂时的,临时的
tonality n．音质，音调
duel n．决斗
haunt v．常到，（鬼魂）出没。（事情）萦绕心头n．常去的地方
amalgamate v．合并，混合
pension n．养老金，退休金
forgo v．放弃，抛弃
morphemics n．构词学
anemia n．贫血，盆血症
sobriety n．节制，清醒
grievance n．委屈，抱怨
meager adj．贫乏的，削瘦的
utensil n．工具，（厨房）用具
ample adj．富足的，充足的
penitent adj．后悔的，忏悔的
immanent adj．普遍存在的，内在的
nonchalant adj．冷漠的，满不在乎的
consolation n．安慰，慰藉
amendment n．改正，修正
sanction n．v．批准，认可
chagrin n．v．失望，懊恼
taunt v．嘲笑，讥笑
remainder n．剩余物
culinary adj．厨房的，烹调的
buffoon n.丑角，缺乏教养之人
frenetic adj．狂乱的，发狂的
fake v．伪造，佯装
charisma n．（大众爱戴的）领袖气质，魅力
pare v.削去，剥去
contemptible adj．令人轻视的
peak v．憔悴，消瘦
bonnet n．圆帽，扁平软帽
delineate v．描画
onus n．义务，责任
tango n．探戈舞
repeal v．废除（法律）
rashness n．轻率，鲁莽
princely adj．王子的,慷慨的
interplay n．相互影响
belligerent adj．（国家等）交战的，挑斗的
abracadabra n.咒语，胡言乱语
languor n．身心疲惫
devastating adj．破坏性的
ensemble n．全体,大合唱
apparel n．（精致的）衣服
desirable adj．值得要的，（女人）诱人的
numinous adj．庄严的，神圣的
asset n．财产，可取之处
pedant n．迂腐之人，书呆子
nexus n．（看法等的）连系，连结
unseemly adj．不适当，不宜
linguistics n．语言学
showpiece n．陈列品、精品、样品
intimidate v．恐吓，协迫
verse n．诗歌
crayon n．彩色笔、粉笔或其绘画
castigation n．申斥，强烈反对
disseminate v．散布，传播
simian adj．猿的、猴的n．类人猴
necropolis n．公墓
portable adj．轻便的,手提式的
auspicious adj.幸运的,吉兆的
necromancy n．巫术，通灵术
gaggle n．鹅群
vociferous adj．喧哗的，大叫大嚷的
instill v．滴注，逐渐灌输
scruple n．v．顾忌、迟疑
alchemy n．炼金术
mask n．假面具，v．隐藏（感情）
niggard n．吝啬鬼
appropriation n．拨款，挪用公款
negation n．取消
pacifier n．调停者，和解人
laudable adj．值得称赞的
ballroom n.大午厅
ignorance n．无知
phantasmal adj．幻影的，幽灵一样的
paradigmatic adj．作为示范的，典范的
rummage n．翻寻
pith n．精髓,要点
razzle n.狂欢聚会
ineluctable adj．难免的，不能逃避的
