reproof n．斥责，责备
excogitate v.想出,设计(计划,办法)
occult adj．秘密的，不公开的
amass v．积聚
dyspepsia n．消化不良（
revelry n．狂欢
nondescript adj．没有特征的，平凡的
benignity n．温和，仁慈
nebula n．星云，喷雾剂
indenture n．契约，合同
boggle v．畏缩不前，不敢想像
drabness n．乏味
viscous adj．粘的
frantic adj．疯狂的，狂乱的
peroration n．结尾，结论
slumberous adj．昏昏欲睡的
fabricate v．控造,制造
sloth n．懒惰，树懒（一种动物）
fledgling n刚学飞的幼鸟，无经验的人
mace n．权杖
conceited adj．自负的，自高自大的
chimerical adj．荒诞不经的，梦幻的
hoarse adj．嘶哑的，粗嗄的
detoxicate vt．除毒，解毒
liturgical adj．礼拜式的
illegible adj．难读的，难认的
bravado n．故作勇敢，逞能
evanescent adj.短暂的,瞬息的
snatch n．v．强夺，攫取
crescendo n（音乐）渐强，高潮
refulgent adj．辉煌的，灿烂的
glider n滑翔机（
jest v．n．说笑，玩笑
elite n.精华，中坚
militant adj．好战的，好暴力的
thespian adj．戏剧的，演戏的
presto n．(音乐)快拍,急速
skive v.躲避工作
bauxite n.铝土岩(产铝的矿土、石)
steep v．浸泡，浸透
kennel n．狗舍，狗窝
excise v.切除,删去
embellish v.装饰润饰
beacon n.信号灯,闪光灯
astrology n．占星学，占星术
labour v．困难地做，太冗长地解释
sedentary adj．久坐的，固定不动的
packed adj．充满人的，拥挤的
petrify v．石化，吓呆
exultant adj．愉悦的
embezzle v.盗用,侵吞
devastate v．摧毁，破坏
downcast adj．意志消沉的，朝下的
shareholder n．股东
divagate v．（文章或谈话）离题，漂泊
wallow v．n．（猪等）在泥水中打滚，沉溺于
browse v．n．吃嫩叶或草，浏览
ken n．知识，眼界
suffuse v．（色彩等）弥漫，染遍
slaver v．流口水，渴望n．口水
mast n．船桅，旗杆
dissimulate v．隐藏、掩饰
litigious adj．好诉讼的
incense n．香，香味v．激怒
temperance n．自制，节制，禁酒
precipitate v．加速,促成adj．匆忙的,鲁莽的
fondle v．抚弄，抚摸
synonymous adj．同义的
estuary n.河口,三角湾
glutton n．贪吃者
distraught adj．心神狂乱的
floppy adj．松软的，衰弱的
die n．金属模子，印模
skulduggery n．舞弊，作假
lounger n．游手好闲之人
vaccination n．预防注射，种痘
upbraid v．斥责，责骂
ambivalence n．矛盾心理
cripple n．跛子，v．（使）残废
seamstress n．女裁缝
muster v．召集，聚集
necromancy n．巫术，通灵术
sloven n．不修边幅的人
snob n．势利小人
purloin v．偷窃
guzzle v．大吃大喝
choppy adj.波涛汹涌的
allergy n．过敏症，厌恶
languor n．身心疲惫
authentic adj.真正的,原作的
lunatic n．疯子，adj．极蠢的
wither v．枯萎，凋零
acclamation n．欢呼
gamut n．全音阶，（一领域的）全部知识
irritate v．激怒，刺激
regenerate adj．改过自新的，新生的
pastoral adj．田园生活的，宁静的
interlace v．编织,交错
cringing adj．n．谄媚（的），奉承（的）
graze v．（动物）吃草，放牧
maroon v.使(人)处于孤独无助之境(
persistent adj．固执的，坚持的
legacy n．遗产，遗留之物
ambidextrous adj．十分灵巧的
gratification n．满足，喜悦
mordant adj．讥讽的，尖酸的
pedagogy n．教育学，教学法
pliant adj．易受影响的,易弯的
morbid adj．病态的，不正常的
spawn n．（鱼等）卵子，v．大量产卵，大量生产
bounteous adj．慷慨的，丰富的
antic adj　古怪的，笨拙的
glisten v．闪烁，闪耀．
spate n．大批，大量，（水）泛滥
cynicism n．愤世嫉俗，犬儒主义
primer n．启蒙书,识字课本
attainment n.完成,成就
ransack v.彻底搜索，洗劫
equitation n．骑术
paganism n．异教（信仰）
reassurance n．安慰（的话），放心
jesuitical adj.阴险的，虚伪的
somatic adj．肉体的
carnage n．大屠杀，残杀
egocentric adj．自我中心的，利己的
oafish adj．呆子的，白痴的
backlog n.积压未办之事
gynecocracy n．妇人政治
neigh v.n.马嘶，马嘶声
gauge n．标准规格，测量仪
tyrannical adj．暴虐的，残暴的
bestow v．给予，赐赠
interrogate v．审问,审讯
revenue n．收入，国家的税收
spark n．火花，火星
designation n．指定，名称，称呼
hide n．兽皮
avaricious a.贪婪的,贪心的
circumlocution n.迂回累赘的陈述
allocation n．拨给，分配
ambidextrous adj．十分灵巧的
tepid adj．微温的
vista n．远景，展望
knowledgeable adj．有丰富知识的，博学的
panacea n．万灵药
scour v．四处搜索
foliage n．叶子（总称）
precedent n．先
enigma n．谜,谜一样的人或事
kitsch n.迎合低级趣味的拙劣作品
hummingbird n．蜂鸟
layman n．普通信徒，门外汉
cede v．割让（土地，权利）
aorta n．主动脉
preliterate adj．无文字
appetite n．胃口，食欲
poetaster n．蹩脚诗人
solecism n．文法错误，举止失礼
anonymity n．无名、匿名
inoculation n．接种，灌输
ecstasy n．狂喜，心醉神怡
fertile adj．多产的，肥沃的
awry adj.扭曲的,走样的.
tilt v．（使）倾斜n．倾斜，斜坡
cloying adj.甜得发腻的
kinetic adj．运动的
frigate n.护航舰，大型驱逐舰
perforate v．打洞
capacious adj．容量大的，宽敞的，
abstemious adj．有节制的，节俭的
filch v．偷（不贵重的东西）
obstruct v．阻塞，截断
sepsis n.败血症，脓毒症
opprobrious adj．辱骂的，恶名声的
