fiend n．恶魔，魔鬼
exalt v.(高度)赞扬,歌颂
obtrusive adj．突出的，炫耀的
hedonistic adj．享乐的
improvisation n．即席创作
denizen n．居民，外籍居民
vaccination n．预防注射，种痘
lyric adj．抒情的，n．抒情诗
rumpus n.吵闹，喧闹
abundance n．充裕，多量
domesticity n．（喜欢）家庭生活
elm n．榆树
bygone adj.过去的，昔日的
carnation n．康乃馨（一种花）
testimonial n．证明书，奖状
traumatic adj．受创伤的，外伤的
taut adj．拉紧的，绷紧的
rigorous adj．严厉的，严格的．
fief n.封地，活动范围
taper v.逐渐尖细
bogus adj．假装的，假的
refute v．驳斥
urbane adj．温文尔雅的，懂礼的
prevail v．战胜,盛行
inhibited adj．拘谨的，拘束的
sensual adj．肉欲的、淫荡的
dynamo n．发电机
wield v．支配，掌权
outgoing adj．友善的，即将离去的
incontinent adj．无力控制（自己）的，纵欲的
embryonic adj．胚胎的，萌芽期的
colander n.滤器，漏勺
sluggish adj．行动迟钝的，缓慢的
canyon n．峡谷
obstruction n．阻挠，障碍物
verisimilitude n．逼真，可能性
manifest adj．明白的v．载货清单
approbation n．称赞，认可，
forerunner n．预兆，前兆，先驱．
precognition n．预感,早知
dictum n．格言、声明
simper v．傻笑、假笑
attribution n.归属
desirable adj．值得要的，（女人）诱人的
resurrect v．使复活，挖出
pretentious adj．做作的,自抬身价的
bonanza n.走运，发财
cuirass n.胸甲，护胸铁甲
valiant adj．勇敢的，英勇的
fragile adj．易碎的，易坏的
aviary n.大鸟笼,鸟舍
implosion n．向内破裂，内爆
sultry adj．闷热的，（人）风骚的
synchronous adj．同时发生的，同步的
singularity n．卓越，奇异
salvo n.(礼炮)齐鸣，(火炮)齐射(
jettison v．向外抛弃，n．抛弃的货物
full-fledged adj．羽毛丰满的，成熟的
delineate v．描画
turquoise n．绿松石，adj．碧绿的
porcupine n．豪猪,箭猪
tyrant n．暴君，残暴之人
pillory n．颈手枷，示众，嘲弄
explicable adj.可解释的
prevaricate v．支吾其词,说谎
couch n．长沙发，睡椅
subsume 　v．包含，包容
raconteur n．善于讲故事的人
ablution n．（宗教的）净礼，沐浴
provident adj．深谋远虑的,节俭的
trajectory n．（抛射物）弹道轨道
electorate n.(全体)选民
grope v．摸索，探索
ecstasy n．狂喜，心醉神怡
disparage v．贬抑，轻蔑
scuttle v．急赶、疾走，逃辟
barometer n.气压计,晴雨表
resort n．度假胜地
retaliate v．报复，反击
quagmire n．沼泽地，困境
nonchalance n．无动于衷，冷淡
accomplice n．同谋者，帮凶
mattress n．床垫
conceited adj．自负的，自高自大的
extant adj．现存的，传世的
oblique adj．间接的，斜的
aghast adj．惊骇的，吓呆的
interpolation n．插入,窜改
blotto adj.烂醉的
reverent adj．恭敬的，虔诚的．
adherent n．拥护者，党徒
nonflammable adj．不易燃的
pedigree n.家谱，纯种系谱
sarcastic adj．讽剌的
preponderance n．优势,多数
emerge v．出现，露出
sediment n．沉淀物，渣
ballast n.(船等)压舱物
interrelate v．互相关连,相关
cadge v.行乞，乞求
rapacity n．掠夺，贪婪
swindle v．诈骗，骗取
temptation n．引诱，诱惑物
savant n．博学之士，大学士
retreat v．n．撤退，逃避，隐居
promulgate v．颁布,传播
denture n．假牙
wane v．减少，衰微
prim n．端庄的,整洁的
recreant n．懦夫，叛徒adj．胆怯的
tyrant n．暴君，残暴之人
caper v．n．雀跃，欢蹦
flag v．衰退，枯萎
vying adj．竞争的
expeditious adj.迅速的,敏捷的
galactic adj．星系的，银河系的
clumsy adj.笨拙的，拙劣的
lank adj．瘦削的，稀疏的
debunk v．揭穿真相，暴露
chastise v．严厉惩罚，遣责
dilute v．把（液体）弄稀、弄淡
brimful adj充满的、盈满的
legend n．地图里的说明文字或图
fussy adj．爱挑剔的
marginal adj．书页空白处的，不重要的
cuirass n.胸甲，护胸铁甲
outbid v．出价多于（他人）
impulse n．冲动，刺激
enmesh v．(通常被动)绊住,陷入网
contrived adj．不自然的，人造的
expiration n.期满,终止
despoil v．夺取，抢夺
greenhouse n．花房，温室
pawn n．v．典当，抵押，n．小人物，走卒
noose n．绳套，绞索（刑）
bibulous adj．高度吸收的，嗜酒的
campanology n.钟学(研究铸钟及鸣钟术)
haggle v．争论，讨价还价
emolument n．报酬，薪水
feint v．n．佯攻，佯击
pathetic adj．引起怜悯的，令人难过的
delectable adj．赏心悦目的，愉悦的
invigorate v．鼓舞，激励
hatchet n．短柄小斧v．扼杀
rapids n．急流，湍流
entitle v．使有权(做某事)
reassurance n．安慰（的话），放心
confirmed adj.习惯的，积习的
wraith n．幽灵，骨瘦如柴的人
polish v．把…擦光亮n．上光剂,(态度等)优雅
suggestible adj．易受影响的
sartorial adj．裁缝的，缝制的
hood n．头巾，兜帽
parquetry n．镶木地板艺术或图案
maim v．使残废
expenditure n.消耗,支出
notorious adj．臭名昭著的，著名的
compel v.强迫，引起
