blotto adj.烂醉的
sediment n．沉淀物，渣
integrate v．使成整体
electorate n.(全体)选民
traverse v．横过，扫过
inundate v．淹没，泛滥
pretence n虚伪,借口
apocalyptic adj预示灾祸的，启示的
idol n．神像、偶像
aggressive adj．好斗的，进取的
acclamation n．欢呼
orient adj．上升的，v．确定方向，使熟悉情况
idolatrous adj．偶像崇拜的
expend v.花费,用光
sturdy adj．（身体）强健的，结实的
pomp n．盛况,不必要的炫耀
conjecture v．n．推测，臆测
embed v.牢牢插于,嵌于
febrile adj．发烧的，热病的
shirk v．逃避，规避
nebula n．星云，喷雾剂
spellbind v.吸引，迷惑
meddlesome adj．爱管闲事的
minatory adj．威胁的，恫吓的
poignancy n．辛酸事,尖锐
mordant adj．讥讽的，尖酸的
palings n．篱笆，木栅栏
potent adj．强有力的
flawless adj．完美的，无瑕疵的
symmetrical adj．对称的
exhibitionism n.风头主义
washout n.冲刷，失败
indiscriminate adj．不加选择的
sequacious adj．前后一贯的，盲从的
tonality n．音质，音调
poke v．刺,戳,嘲弄
exaggeration n.夸张
veracity n．真实性，诚实
mishap n．不幸，坏运气
fell n．兽皮，v．砍伐
infuriate v．使（人）极为愤怒
entangle v．使纠缠，卷入
delectable adj．赏心悦目的，愉悦的
broach v．开瓶，提出（题目）
rigor n．严厉，酷厉
girdle n．腰带，转绕物v．环绕
tremulous adj．颤动的，不安的
pest n．害虫，讨厌的人或物
lucrative adj．赚钱的，有利可图的
licence n．自由，放肆
forlorn adj．孤独的，凄凉的
corporate adj．团体的，共同的
motley adj．混杂的，杂色的
amenable adj．愿服从的，通情达理的
servile adj．奴性的，百依百顺的
alienated adj．疏远的，被隔开的
jejune adj．空洞的，不成熟的
measles n．麻疹
sundry 各式各样，各种的
ecstatic adj．狂喜的，心花怒放的
stun v．使昏迷，使发愣
immutable adj．不变的
mirth n．欢乐，欢笑
aberrant adj．越轨的，异常的
deign v．屈尊，惠允（做某事）
dreary adj．沉闷的，乏味的
solo adj．单独的，n．独唱
precarious adj．危险的
flux n．变迁，不断的变化
thrust v．猛力推，刺，戳
sustenance n．食物，粮食，生计
bum v.流浪，乞讨，adj.差劲的
elasticity n.弹性伸缩力
subversive adj．颠覆性的，破坏性的
rummage n．翻寻
wainscot n.护壁板，adj.用……装饰
hyperbole n．夸张法
subsidy n．补助金
polish v．把…擦光亮n．上光剂,(态度等)优雅
coax v.哄诱，巧言诱哄
sever v．切断，脱离
blunder v．犯大错n．愚蠢之举
succulent adj．多汁的，多水份的
lease n．租约，租期，v．出租
impending adj．行将发生的，逼近的
terpsichorean adj．舞蹈的
hoyden n．粗野的女孩，野丫头
debacle n．解冻，崩溃．
sophism n．诡辩
scotch v．镇压、粉碎
jazzy adj．吸引人的，花哨的
deportment n（尤指少女的）风度，举止
modicum n．少量
foil v．阻挠
pollen n．花粉
maestro n．音乐大师
virility n．雄劲，丈夫气
scythe n．大镰刀
sleight n．巧妙手法，巧计，灵巧（分割
wrangle v．争论，激辩，吵架
libido n．性欲，生命力
arson n．纵火、放火
coma n.昏迷状态
divergence n．分歧，分开
petrify v．石化，吓呆
flail n．连枷（打谷工具）v．打，打击
servile adj．奴性的，百依百顺的
obfuscate v．使困惑，使迷惑
imperturbable adj．冷静的，沉着的
coop n．（鸡、）笼、栏
sculpt v．雕刻
chastity n．贞节，纯洁
felicitous adj．（话语等）适当的，得体的
interdict v．禁止,切断(补给线)n．禁令
compellation n.姓名，头衔
glider n滑翔机（
neigh v.n.马嘶，马嘶声
muddle n．混乱，迷惑
familiarity n．精通,亲近,不拘礼仪
flint n．打火石，燧石
swot n.刻苦学习的人,v.苦读
outrage n．残暴、暴行
begrudge v．吝啬，勉强给
accumulate v．积聚，积累
provocative adj．激怒的、挑战的
wanderlust n．漫游癖，旅游热
munitions n．军火，弹药
incorporate v．合并，并入
tiff v．n．吵嘴，呕气
dejection n．沮丧，颓丧
precipice n．悬崖
cumbersome adj．笨重的
knack n．特殊能力，窍门
incontinent adj．无力控制（自己）的，纵欲的
indispensable adj．不可缺乏的
scramble v．攀登，争夺
symmetry n．对称，均衡
inquisitive adj．过份好问的，好奇的
orotund adj．（声音）宏亮的，说大话的
indented adj．锯齿状的
genuflect v．曲膝半跪（以示敬意），屈从．
coterminous adj．毗连的，有共同边界的
locale n．事件发生的现场、地点
fiat n．命令，决断
